id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mean,L_mean,L_gap_mean,h_mean,f_mean,alpha_mean,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,U_sd,L_sd,L_gap_sd,h_sd,f_sd,alpha_sd,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,125886,10893.5,1.33433,1.48764,0.134592,1.14821,125886,10893.5,1.33433,1.48764,0.127363,1.14943,125886,10893.5,1.33433,1.48764,0.118598,1.14943,0.00601994,0.000585429,7.14635e-08,5.16191e-08,0.0473682,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,125886,10893.5,1.33433,1.48764,0.106935,1.14821,125886,10893.5,1.33433,1.48764,0.0994958,1.14943,125886,10893.5,1.33433,1.48764,0.089454,1.14943,0.00338291,0.000572561,5.37269e-08,8.1617e-08,0.0320496,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,125886,10893.5,1.33433,1.48764,0.102052,1.14821,125886,10893.5,1.33433,1.48764,0.100251,1.14943,125886,10893.5,1.33433,1.48764,0.0882859,1.14943,0.00840071,0.00012207,2.10734e-08,4.21468e-08,0.0450474,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,125886,10893.5,1.33433,1.48764,0.107926,1.14821,125886,10893.5,1.33433,1.48764,0.105446,1.14943,125886,10893.5,1.33433,1.48764,0.0962491,1.14943,0.00308816,0.000711786,2.58096e-08,5.16191e-08,0.0452379,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,125886,10893.5,1.33433,1.48764,0.108868,1.14821,125886,10893.5,1.33433,1.48764,0.100206,1.14943,125886,10893.5,1.33433,1.48764,0.0925236,1.14943,0.00338291,0.000488281,4.47035e-08,6.32203e-08,0.0355038,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,125886,10893.5,1.33433,1.48764,0.102575,1.14821,125886,10893.5,1.33433,1.48764,0.100487,1.14943,125886,10893.5,1.33433,1.48764,0.0916043,1.14943,0.00585938,0.000488281,2.58096e-08,8.42937e-08,0.0316446,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,125886,10893.5,1.33433,1.48764,0.11663,1.14821,125886,10893.5,1.33433,1.48764,0.104643,1.14943,125886,10893.5,1.33433,1.48764,0.0968965,1.14943,0.0100543,0.00059802,1.49012e-08,8.42937e-08,0.0375257,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,125886,10893.5,1.33433,1.48764,0.114809,1.14821,125886,10893.5,1.33433,1.48764,0.125626,1.14943,125886,10893.5,1.33433,1.48764,0.107916,1.14943,0.00828641,0.000472776,3.65002e-08,5.5755e-08,0.0543708,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,125886,10893.5,1.33433,1.48764,0.258596,1.14821,125886,10893.5,1.33433,1.48764,0.248181,1.14943,125886,10893.5,1.33433,1.48764,0.229976,1.14943,0.00534885,0.000836872,6.82857e-08,5.96046e-08,0.0878466,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,125886,10893.5,1.33433,1.48764,0.129958,1.14821,125886,10893.5,1.33433,1.48764,0.13738,1.14943,125886,10893.5,1.33433,1.48764,0.123572,1.14943,0.00138107,0.000244141,6.49527e-08,0,0.0498949,0,True,70.0|274,411
