parameter,value,CV
U_run_id_1159,125886.449999996,
U_run_id_1197,125886.450000039,
U_run_id_152,125886.44999998,
U_run_id_411,125886.44999992,
U_run_id_705,125886.450000001,
L_mab_virus_22.0|103_run_id_1159,9555.69672600097,
L_mab_virus_22.0|103_run_id_1197,10896.1390003685,
L_mab_virus_22.0|103_run_id_152,10627.428866388,
L_mab_virus_22.0|103_run_id_411,10448.5637867491,
L_mab_virus_22.0|103_run_id_705,10448.0106031413,
L_mab_virus_22.0|292_run_id_1159,10895.6862209784,
L_mab_virus_22.0|292_run_id_1197,12236.1284953459,
L_mab_virus_22.0|292_run_id_152,11967.4183613654,
L_mab_virus_22.0|292_run_id_411,11788.5532817264,
L_mab_virus_22.0|292_run_id_705,11788.0000981187,
L_mab_virus_22.0|322_run_id_1159,9824.49555466664,
L_mab_virus_22.0|322_run_id_1197,11164.9378290342,
L_mab_virus_22.0|322_run_id_152,10896.2276950537,
L_mab_virus_22.0|322_run_id_411,10717.3626154147,
L_mab_virus_22.0|322_run_id_705,10716.809431807,
L_mab_virus_28.0|103_run_id_1159,9555.54109210953,
L_mab_virus_28.0|103_run_id_1197,10895.9833664771,
L_mab_virus_28.0|103_run_id_152,10627.2732324966,
L_mab_virus_28.0|103_run_id_411,10448.4081528576,
L_mab_virus_28.0|103_run_id_705,10447.8549692499,
L_mab_virus_28.0|292_run_id_1159,10896.0468116407,
L_mab_virus_28.0|292_run_id_1197,12236.4890860083,
L_mab_virus_28.0|292_run_id_152,11967.7789520278,
L_mab_virus_28.0|292_run_id_411,11788.9138723888,
L_mab_virus_28.0|292_run_id_705,11788.3606887811,
L_mab_virus_28.0|322_run_id_1159,9824.29113064462,
L_mab_virus_28.0|322_run_id_1197,11164.7334050122,
L_mab_virus_28.0|322_run_id_152,10896.0232710317,
L_mab_virus_28.0|322_run_id_411,10717.1581913927,
L_mab_virus_28.0|322_run_id_705,10716.605007785,
L_mab_virus_6.0|233_run_id_1159,10002.763335049,
L_mab_virus_6.0|233_run_id_1197,11343.2056094166,
L_mab_virus_6.0|233_run_id_152,11074.4954754361,
L_mab_virus_6.0|233_run_id_411,10895.6303957971,
L_mab_virus_6.0|233_run_id_705,10895.0772121894,
L_mab_virus_65.0|103_run_id_1159,9555.60214888806,
L_mab_virus_65.0|103_run_id_1197,10896.0444232556,
L_mab_virus_65.0|103_run_id_152,10627.3342892751,
L_mab_virus_65.0|103_run_id_411,10448.4692096362,
