id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,219.628808
9|411|9|411|sample|3|274|3|274|70.0,182.548437
9|411|9|411|sample|5|274|5|274|70.0,217.876444
9|411|9|411|sample|6|274|6|274|70.0,298.951664
9|411|9|411|sample|8|274|8|274|70.0,242.956030
9|411|9|411|sample|7|274|7|274|70.0,805.725927
9|411|9|411|sample|9|274|9|274|70.0,191.927333
9|411|9|411|sample|10|274|10|274|70.0,184.607840
9|411|9|411|sample|12|274|12|274|70.0,184.935396
9|411|9|411|sample|11|274|11|274|70.0,200.698943
9|411|9|411|cc|1|1|274|1|274|69.0,19.620384
9|411|9|411|cc|2|1|274|1|274|69.0,16.090520
9|411|9|411|cc|3|1|274|1|274|69.0,11.861738
9|411|9|411|cc|4|1|274|1|274|69.0,77.473090
9|411|9|411|cc|5|1|274|1|274|69.0,52.159028
9|411|9|411|cc|6|1|274|1|274|69.0,-16.575910
9|411|9|411|cc|7|1|274|1|274|69.0,29.460974
9|411|9|411|cc|8|1|274|1|274|69.0,12.152303
9|411|9|411|vc|1|2|274|2|274|69.0,133.509451
9|411|9|411|vc|2|2|274|2|274|69.0,-5.893547
9|411|9|411|vc|3|2|274|2|274|69.0,22.983007
9|411|9|411|vc|4|2|274|2|274|69.0,22.966301
9|411|9|411|vc|5|2|274|2|274|69.0,26.206717
9|411|9|411|vc|6|2|274|2|274|69.0,45.622935
9|411|9|411|vc|7|2|274|2|274|69.0,19.950775
9|411|9|411|vc|8|2|274|2|274|69.0,42.960602
14|705|14|705|sample|3|233|3|233|6.0,162.466473
14|705|14|705|sample|4|233|4|233|6.0,500.853956
14|705|14|705|sample|5|233|5|233|6.0,133.470892
14|705|14|705|sample|6|233|6|233|6.0,171.161711
14|705|14|705|sample|7|233|7|233|6.0,133.788518
14|705|14|705|sample|8|233|8|233|6.0,368.678197
14|705|14|705|sample|10|233|10|233|6.0,173.237570
14|705|14|705|sample|9|233|9|233|6.0,159.616861
14|705|14|705|sample|12|233|12|233|6.0,163.509827
14|705|14|705|sample|11|233|11|233|6.0,178.663081
14|705|14|705|cc|1|1|233|1|233|69.0,12.086313
14|705|14|705|cc|2|1|233|1|233|69.0,11.732913
14|705|14|705|cc|3|1|233|1|233|69.0,69.879690
14|705|14|705|cc|4|1|233|1|233|69.0,10.083521
14|705|14|705|cc|5|1|233|1|233|69.0,43.643536
14|705|14|705|cc|6|1|233|1|233|69.0,10.614241
14|705|14|705|cc|7|1|233|1|233|69.0,-18.225138
14|705|14|705|cc|8|1|233|1|233|69.0,220.217617
14|705|14|705|vc|1|2|233|2|233|69.0,27.652929
14|705|14|705|vc|2|2|233|2|233|69.0,88.084139
14|705|14|705|vc|3|2|233|2|233|69.0,90.858500
14|705|14|705|vc|4|2|233|2|233|69.0,533.734753
14|705|14|705|vc|5|2|233|2|233|69.0,24.200796
14|705|14|705|vc|6|2|233|2|233|69.0,83.109641
14|705|14|705|vc|7|2|233|2|233|69.0,545.348634
14|705|14|705|vc|8|2|233|2|233|69.0,193.216680
8|152|8|152|sample|8|322|8|322|65.0,189.735718
8|152|8|152|sample|7|322|7|322|65.0,188.847794
8|152|8|152|sample|6|322|6|322|65.0,160.690230
8|152|8|152|sample|5|322|5|322|65.0,194.216364
8|152|8|152|sample|12|322|12|322|28.0,192.829033
8|152|8|152|sample|11|322|11|322|28.0,284.639963
8|152|8|152|sample|10|322|10|322|28.0,245.842266
8|152|8|152|sample|9|322|9|322|28.0,189.566355
8|152|8|152|sample|3|322|3|322|22.0,189.890386
8|152|8|152|sample|4|322|4|322|22.0,187.130626
