id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,125886,1289.4,1.33433,1.48764,0.26851,0.923035,125886,1278,1.33433,1.48764,0.253947,0.922085,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,125886,1289.4,1.33433,1.48764,0.152557,0.923035,125886,1278,1.33433,1.48764,0.148744,0.922085,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,125886,1289.4,1.33433,1.48764,0.32187,0.923035,125886,1278,1.33433,1.48764,0.324804,0.922085,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,125886,1289.4,1.33433,1.48764,0.410326,0.923035,125886,1278,1.33433,1.48764,0.35575,0.922085,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,125886,1289.4,1.33433,1.48764,0.201629,0.923035,125886,1278,1.33433,1.48764,0.195675,0.922085,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,125886,1289.4,1.33433,1.48764,0.194698,0.923035,125886,1278,1.33433,1.48764,0.182537,0.922085,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,125886,1289.4,1.33433,1.48764,0.321551,0.923035,125886,1278,1.33433,1.48764,0.296124,0.922085,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,125886,1289.4,1.33433,1.48764,0.409501,0.923035,125886,1278,1.33433,1.48764,0.36222,0.922085,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,125886,1289.4,1.33433,1.48764,0.253369,0.923035,125886,1278,1.33433,1.48764,0.248349,0.922085,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,125886,1289.4,1.33433,1.48764,0.230582,0.923035,125886,1278,1.33433,1.48764,0.221849,0.922085,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,5.51594e+11,0.923035,125886,1278,35.6488,-0.46168,1,0.922085,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,7.47457e+10,0.923035,125886,1278,35.6488,-0.46168,1.0031,0.922085,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,3.25163e+12,0.923035,125886,1278,35.6488,-0.46168,1,0.922085,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,8.64805e+10,0.923035,125886,1278,35.6488,-0.46168,1.00018,0.922085,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,3.50128e+11,0.923035,125886,1278,35.6488,-0.46168,0.99908,0.922085,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,1.48999e+13,0.923035,125886,1278,35.6488,-0.46168,0.99931,0.922085,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,8.44346e+11,0.923035,125886,1278,35.6488,-0.46168,0.907961,0.922085,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,125886,1289.4,35.6488,-0.46168,2.40805e+13,0.923035,125886,1278,35.6488,-0.46168,1.32693,0.922085,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,2.98521e+14,0.923035,125886,1278,35.6488,-0.46168,1,0.922085,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,3.01168e+11,0.923035,125886,1278,35.6488,-0.46168,0.999756,0.922085,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,7.79356e+09,0.923035,125886,1278,35.6488,-0.46168,0.999615,0.922085,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,2.01989e+10,0.923035,125886,1278,35.6488,-0.46168,1.1243,0.922085,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,1.08457e+08,0.923035,125886,1278,35.6488,-0.46168,0.99526,0.922085,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,1.25116e+11,0.923035,125886,1278,35.6488,-0.46168,1,0.922085,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,2.45267e+13,0.923035,125886,1278,35.6488,-0.46168,1.00597,0.922085,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,125886,1289.4,35.6488,-0.46168,5.93749e+10,0.923035,125886,1278,35.6488,-0.46168,1.85935,0.922085,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,125886,659.851,8.26254,0.0656482,1.32295e-13,1.7745,125886,659.318,8.26254,0.0656482,4.28599e-15,1.77437,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,125886,659.851,8.26254,0.0656482,4.54718e-14,1.7745,125886,659.318,8.26254,0.0656482,1.25885e-15,1.77437,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,125886,659.851,8.26254,0.0656482,5.19849e-15,1.7745,125886,659.318,8.26254,0.0656482,4.74115e-16,1.77437,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,125886,659.851,8.26254,0.0656482,9.67667e-14,1.7745,125886,659.318,8.26254,0.0656482,4.92566e-16,1.77437,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,125886,659.851,8.26254,0.0656482,1.21609e-14,1.7745,125886,659.318,8.26254,0.0656482,0,1.77437,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,125886,659.851,8.26254,0.0656482,1.18624e-14,1.7745,125886,659.318,8.26254,0.0656482,4.94372e-16,1.77437,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,125886,659.851,5.70497,2.16929,0.0504416,1.7745,125886,659.318,5.70497,2.16929,0.047485,1.77437,True,6.0|233,705
