parameter,value,CV
U_pop,125886.45000038,
beta_U_run_id_1197,-2.18075001612306e-07,
beta_U_run_id_152,-7.54225766286254e-07,
beta_U_run_id_411,-4.30620275437832e-07,
beta_U_run_id_705,-1.19529431685805e-07,
L_pop,659.317614119535,
beta_L_run_id_1197,0.755996269656845,
beta_L_run_id_152,142.158866400182,
beta_L_run_id_411,618.678131729566,
beta_L_run_id_705,5.23148853668612e-09,
L_gap_pop,2.39473650543367e-05,
beta_L_gap_goes_down_True,-0.370393784013386,
beta_L_gap_mab_virus_22_0_292,12.7252544031877,
beta_L_gap_mab_virus_22_0_322,11.5371122093627,
beta_L_gap_mab_virus_28_0_103,8.38656239315432,
beta_L_gap_mab_virus_28_0_292,12.0282967683244,
beta_L_gap_mab_virus_28_0_322,12.1915154535202,
beta_L_gap_mab_virus_6_0_233,12.7513839528759,
beta_L_gap_mab_virus_65_0_103,11.8681543377014,
beta_L_gap_mab_virus_65_0_292,9.33596910454054,
beta_L_gap_mab_virus_65_0_322,8.64526799843267,
beta_L_gap_mab_virus_69_0_103,12.8846518089994,
beta_L_gap_mab_virus_69_0_233,12.0073816926254,
beta_L_gap_mab_virus_69_0_274,14.2133687672842,
beta_L_gap_mab_virus_69_0_292,11.4213058347658,
beta_L_gap_mab_virus_69_0_322,11.6533717863596,
beta_L_gap_mab_virus_70_0_274,11.2984748293959,
h_pop,0.0949421009132179,
beta_h_goes_down_True,2.10364382845597,
beta_h_mab_virus_22_0_292,-0.206612798236813,
beta_h_mab_virus_22_0_322,-1.08815496325786,
beta_h_mab_virus_28_0_103,-0.219469413322551,
beta_h_mab_virus_28_0_292,-0.0496640082746467,
beta_h_mab_virus_28_0_322,-1.03290334582901,
beta_h_mab_virus_6_0_233,-0.0292939226968043,
beta_h_mab_virus_65_0_103,-0.17536016841288,
beta_h_mab_virus_65_0_292,-0.112635372631301,
beta_h_mab_virus_65_0_322,-1.06491860202265,
beta_h_mab_virus_69_0_103,0.886744500363418,
beta_h_mab_virus_69_0_233,1.13376114690907,
beta_h_mab_virus_69_0_274,-0.556622188566877,
beta_h_mab_virus_69_0_292,1.41952076281529,
beta_h_mab_virus_69_0_322,0.593564664365056,
beta_h_mab_virus_70_0_274,-0.71094253574862,
f_pop,1,
alpha_pop,0.628113915838333,
beta_alpha_run_id_1197,0.151546671036489,
beta_alpha_run_id_152,-0.000331305761747465,
beta_alpha_run_id_411,0.293970734467979,
beta_alpha_run_id_705,1.14625885153696,
omega_U,2.77289301895983e-08,2.20269379186677e-11
omega_L_gap,2.22400932458903e-08,2.1073424255447e-06
omega_h,2.64701214782715e-08,2.78802777942176e-05
omega_f,12.1942555333501,1.94879460568446e+34
a,106.255637139932,
b,0.317099208843132,
