parameter,value,CV
U_run_id_1159,125886.44999995,
U_run_id_1197,125886.449999934,
U_run_id_152,125886.449999744,
U_run_id_411,125886.449999955,
U_run_id_705,125886.449999919,
L_run_id_1159,541.237885744418,
L_run_id_1197,427.92325658635,
L_run_id_152,541.237885385599,
L_run_id_411,728.344465299161,
L_run_id_705,541.226727298221,
L_gap_goes_down_False_mab_virus_22.0|103,2.3947371173934e-05,
L_gap_goes_down_False_mab_virus_22.0|292,8.04943019275296,
L_gap_goes_down_False_mab_virus_22.0|322,2.45336201634136,
L_gap_goes_down_False_mab_virus_28.0|103,0.10507396387233,
L_gap_goes_down_False_mab_virus_28.0|292,4.00940814845891,
L_gap_goes_down_False_mab_virus_28.0|322,4.72024971494879,
L_gap_goes_down_False_mab_virus_6.0|233,8.26253619937079,
L_gap_goes_down_False_mab_virus_65.0|103,3.41610669287134,
L_gap_goes_down_False_mab_virus_65.0|292,0.271529556305999,
L_gap_goes_down_False_mab_virus_65.0|322,0.136097321035876,
L_gap_goes_down_False_mab_virus_69.0|103,9.44040769168594,
L_gap_goes_down_False_mab_virus_69.0|233,3.92642435012475,
L_gap_goes_down_False_mab_virus_69.0|274,35.6488434273314,
L_gap_goes_down_False_mab_virus_69.0|292,2.18508270467149,
L_gap_goes_down_False_mab_virus_69.0|322,2.75583276134418,
L_gap_goes_down_False_mab_virus_70.0|274,1.93251379065805,
L_gap_goes_down_True_mab_virus_22.0|103,1.65347708756406e-05,
L_gap_goes_down_True_mab_virus_22.0|292,5.55783275541762,
L_gap_goes_down_True_mab_virus_22.0|322,1.69395540414719,
L_gap_goes_down_True_mab_virus_28.0|103,0.0725496717366374,
L_gap_goes_down_True_mab_virus_28.0|292,2.76834749836151,
L_gap_goes_down_True_mab_virus_28.0|322,3.25915721377549,
L_gap_goes_down_True_mab_virus_6.0|233,5.70497454254972,
L_gap_goes_down_True_mab_virus_65.0|103,2.35869486646834,
L_gap_goes_down_True_mab_virus_65.0|292,0.187481079525377,
L_gap_goes_down_True_mab_virus_65.0|322,0.0939701482794131,
L_gap_goes_down_True_mab_virus_69.0|103,6.51825108572114,
L_gap_goes_down_True_mab_virus_69.0|233,2.71105026594799,
L_gap_goes_down_True_mab_virus_69.0|274,24.6142031111167,
L_gap_goes_down_True_mab_virus_69.0|292,1.50871849789485,
L_gap_goes_down_True_mab_virus_69.0|322,1.90280022593914,
L_gap_goes_down_True_mab_virus_70.0|274,1.33432903805856,
alpha_run_id_1159,0.275217476531572,
alpha_run_id_1197,-0.172408730573146,
alpha_run_id_152,0.0427438565621082,
alpha_run_id_411,0.205938584722728,
alpha_run_id_705,0.908110782320571,
omega_U,7.37918689125277e-08,5.8617801131541e-11
omega_L_gap,7.33929516749514e-08,7.30004829997771e-06
omega_h,4.18582015487847e-07,0.000440887435651129
omega_f,18.329164487657,8.96213708253196e+74
a,2.22044604925031e-16,
b,0.728517926064905,
