id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-2.9713e-09,-3.59119e-09,-3.39103e-10,2.15955e-09,-18.216,0,0,0,0,1.23823e-12,-19.2546,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-4.28859e-09,-5.03369e-10,-1.69059e-09,-6.67303e-09,-17.7862,0,0,0,3.33067e-16,1.36043e-12,-18.7111,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,2.54952e-09,-1.13e-09,1.03419e-09,-9.61193e-09,-16.4995,0,2.91038e-11,0,-1.11022e-15,8.782e-13,-17.241,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-2.82901e-09,-2.11887e-10,1.56704e-09,2.40053e-08,-14.7041,0,0,0,2.33147e-15,9.38236e-13,-15.5309,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-2.08296e-10,7.69309e-10,1.01004e-09,2.69833e-08,-20.0636,0,1.45519e-11,-1.09139e-11,-3.68544e-12,4.16071e-11,-20.5039,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,4.2872e-09,-3.61769e-09,3.95872e-10,1.44403e-08,-19.6816,0,0,0,0,1.269e-12,-20.1046,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-5.43194e-10,-3.22507e-10,1.43938e-09,-9.94425e-09,-15.849,0,0,0,-2.55351e-15,7.25933e-13,-16.615,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-9.71952e-10,-1.003e-09,4.81829e-10,2.17941e-08,-15.6707,0,0,7.27596e-12,2.10942e-15,8.30683e-13,-16.0311,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-6.66772e-09,-4.28478e-10,-1.73231e-09,-4.0876e-08,-14.5421,0,2.91038e-11,0,0,1.22818e-12,-15.0599,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,7.06641e-11,3.78118e-09,3.3079e-10,2.06973e-09,-16.8152,0,4.36557e-11,2.54659e-11,2.7397e-12,-8.56356e-11,-17.6391,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,2.47121e-10,2.23843e-09,2.94224e-10,2.47478e-08,-1.19421,0,-2.91038e-11,0,0,-1.74721e-14,1.48943e-06,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,2.01224e-09,-6.55702e-10,4.14225e-10,-3.88025e-09,0.300077,0,0,7.27596e-12,-6.68798e-13,-5.70918e-13,0.306986,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-1.39902e-10,-2.29858e-09,-1.00806e-09,9.47449e-09,0.357137,0,0,3.63798e-12,2.37899e-12,5.40435e-11,0.359547,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,3.70256e-09,-2.34424e-09,1.69283e-10,3.42785e-09,-1.21567,0,0,0,4.44089e-16,-1.25872e-14,-4.27527e-07,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,4.0115e-09,-2.90737e-09,1.93301e-10,1.31641e-08,1.43158,0,0,0,0,1.49464e-14,-7.24869e-07,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-2.61239e-09,1.80146e-09,1.38576e-09,-2.06372e-09,1.33949,0,0,0,0,-1.96648e-14,-2.68326e-06,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-3.19717e-09,1.06215e-09,-4.58008e-10,1.71692e-08,0.92195,0,1.16415e-10,1.56433e-10,5.22866e-11,-3.65634e-10,0.912291,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-4.43577e-09,-3.46848e-09,1.03986e-09,7.43697e-09,1.01065,0,0,0,4.44089e-16,-9.03444e-15,-9.96816e-07,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1.14174e-09,1.58119e-09,-3.6634e-10,-5.04663e-09,1.5802,0,0,0,1.33227e-15,-2.11081e-14,1.25668e-06,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,3.68658e-10,-1.53876e-09,6.28527e-10,1.74474e-08,1.09568,0,-2.91038e-11,7.27596e-12,-4.44089e-16,-8.89566e-15,-1.37625e-07,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-3.7672e-09,-9.72912e-10,-6.20159e-10,9.01334e-09,-0.525507,0,0,0,3.65663e-12,2.92548e-11,-0.534175,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,2.36672e-10,3.77146e-10,-7.3666e-10,3.86057e-09,0.156268,0,0,0,2.91323e-13,5.22025e-12,0.159445,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-2.69752e-09,-2.645e-09,-1.60301e-09,-1.74604e-10,0.741048,0,-2.91038e-11,0,2.22045e-15,-1.17267e-14,1.78714e-07,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-4.58982e-09,1.65117e-09,-1.62002e-10,2.5766e-08,0.486754,0,0,1.81899e-12,6.42419e-12,3.19229e-10,0.0019173,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,-3.02418e-09,4.31235e-09,-1.70766e-10,-5.96963e-09,0.545577,0,0,0,3.79252e-13,2.68341e-13,0.555175,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-3.35713e-10,-8.04204e-10,4.65964e-10,4.32748e-09,0.795849,0,0,7.27596e-12,7.4607e-14,1.18171e-11,0.816123,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,1.99839e-09,3.56351e-10,-6.11935e-10,-9.44148e-09,-45.6958,0,0,-7.27596e-12,-1.22746e-12,1.17163e-11,-41.1424,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,-3.36333e-09,-2.8136e-09,2.92368e-09,5.87951e-10,-45.431,0,0,3.63798e-12,-8.13571e-13,-6.40882e-12,-43.0984,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,2.36605e-09,-1.33743e-09,-8.57746e-10,-9.85589e-09,-48.3041,0,0,0,3.16103e-12,1.64771e-11,-44.0078,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,-6.08707e-10,1.00362e-09,-8.58266e-10,9.08228e-09,-46.6848,0,0,0,3.59623e-12,6.45682e-12,-43.8187,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,-2.43075e-09,-1.86994e-09,-1.12726e-09,-4.17846e-09,-47.2165,0,0,0,-5.67546e-13,1.57893e-11,-44.747,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,-4.98959e-09,-1.54374e-09,2.83274e-10,1.24299e-08,-48.0239,0,0,0,-3.22498e-12,-9.60718e-12,-43.9925,0,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,-7.58978e-09,-4.33561e-09,-9.15947e-10,1.7847e-08,-45.4328,0,0,0,-1.84852e-12,9.77616e-11,-41.9937,0,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,4.44299e-09,6.32987e-09,9.03798e-10,4.82499e-09,-48.2913,0,0,-3.63798e-12,-3.7792e-13,3.80358e-11,-43.9739,0,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,3.22663e-09,1.98626e-09,-1.69699e-09,-1.76038e-08,-26.1719,0,0,1.81899e-12,1.0616e-12,-2.48837e-11,-26.4698,0,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,-1.8219e-10,-1.6282e-09,9.12719e-11,2.66761e-09,-31.2382,0,0,1.45519e-11,-9.83214e-13,-2.08408e-11,-30.0971,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,3.01399e-10,-1.17817e-09,-7.3216e-10,8.14045e-09,-0.21842,0,0,0,6.72795e-14,-1.00809e-11,-0.224001,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,-2.57196e-09,-8.93928e-10,1.29876e-10,3.82016e-10,-0.82499,0,5.82077e-11,-3.63798e-12,-1.5008e-11,4.06338e-10,-0.826238,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,2.36437e-09,-1.90434e-09,9.24122e-11,-1.33952e-09,0.727977,0,1.45519e-11,3.63798e-12,-3.73745e-12,-1.06239e-10,0.745063,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,-3.25072e-09,-2.35181e-10,-6.93445e-10,-9.46556e-09,-0.458507,0,0,-3.63798e-12,-1.77969e-12,-3.22081e-11,-0.464416,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,5.28817e-11,7.61494e-10,-7.48378e-11,-1.18866e-08,3.0928,0,0,3.63798e-12,-4.44089e-16,1.3281e-14,7.04837e-07,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,5.576e-10,2.41313e-09,3.30935e-10,4.84451e-09,0.753797,0,0,-7.27596e-12,4.44089e-16,1.3739e-15,-2.70426e-06,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,-5.13942e-09,3.59239e-10,4.40209e-11,-1.49208e-09,1.74754,0,0,-3.63798e-12,8.88178e-16,-1.33643e-14,1.75437e-06,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,-6.12636e-11,2.08637e-09,-8.44682e-11,6.6575e-09,0.267131,0,0,0,2.75779e-13,-5.40429e-12,0.272386,0,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,-2.26212e-09,1.40043e-09,-3.12147e-10,5.00185e-09,0.377835,0,0,1.09139e-11,1.05449e-12,4.01589e-11,0.386083,0,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,-2.08177e-09,8.80027e-10,-1.9155e-10,3.08726e-08,1.49274,0,0,0,1.33205e-12,2.85734e-11,0.000436304,0,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,1.96183e-09,-1.39304e-09,-5.51905e-11,-1.45455e-08,0.672839,0,0,7.27596e-12,-4.07008e-13,-9.09663e-11,0.682705,0,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,2.93436e-09,2.70314e-09,-6.41717e-10,3.05895e-09,-1.92021,0,0,0,8.88178e-16,3.56659e-15,1.40279e-06,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,-1.54699e-09,-2.72759e-09,-6.4236e-11,9.28811e-09,0.906693,0,0,1.81899e-12,7.70273e-13,2.2145e-11,0.918755,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,-1.56547e-09,-1.38115e-09,3.26048e-10,6.96106e-09,0.558815,0,0,0,4.44089e-16,1.26982e-14,-1.0742e-06,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,7.80565e-11,-1.85002e-10,-8.75969e-10,1.28402e-08,-0.384544,0,0,0,7.01661e-13,-1.4016e-11,-0.390679,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,-6.38451e-10,8.46292e-10,1.60477e-09,3.40076e-09,-0.561894,0,0,3.63798e-12,4.77218e-12,-1.03067e-10,-0.570533,0,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,6.57339e-10,4.27211e-10,1.11269e-09,-2.16963e-08,-9.8671,0,0,0,0,1.39454e-12,-10.5973,0,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,5.43054e-09,4.06886e-09,-1.23692e-09,1.1149e-08,-8.65723,0,0,0,1.33227e-15,1.34807e-12,-10.5768,0,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,-2.67095e-09,-2.70968e-09,8.39978e-10,-1.04806e-08,-7.21175,0,0,0,3.77476e-14,-3.57728e-13,-9.83928,0,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-1.04734e-08,-1.51271e-09,-6.33063e-10,2.53912e-09,-7.64126,0,0,0,1.77636e-15,1.19084e-12,-9.61405,0,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-6.12444e-09,-3.23731e-09,-3.1254e-10,1.13162e-08,-5.40875,0,0,0,2.20712e-13,7.82778e-12,-8.22678,0,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-7.84241e-09,5.75958e-10,-4.08812e-10,-8.7447e-09,-9.30689,0,0,0,2.75335e-13,-6.57127e-13,-10.9152,0,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,4.92379e-09,1.65481e-09,-1.70019e-10,-1.56095e-08,-8.89403,0,0,-3.63798e-12,-1.17995e-12,1.90186e-11,-11.1105,0,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,2.71414e-09,5.64723e-10,2.80716e-10,-1.82289e-08,-9.72493,0,0,-1.81899e-12,-1.05471e-12,2.50284e-11,-11.6108,0,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,1.88683e-09,-2.48911e-09,-1.41884e-09,-1.39926e-09,-8.08976,0,-1.45519e-11,0,1.55431e-15,1.33087e-12,-10.78,0,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,1.74367e-09,-8.85226e-10,-1.22291e-09,9.21622e-09,-9.49609,0,-1.45519e-11,0,-2.22045e-16,1.3749e-12,-10.7141,0,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,9.7783e-10,-1.06029e-09,-4.58554e-10,1.1101e-09,-1.58425,0,1.01863e-10,0,-8.88178e-16,1.76109e-14,-5.96632e-07,0,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,1.5223e-09,3.90592e-09,2.40109e-10,-2.32922e-09,-0.83101,0,-1.30967e-10,-5.82077e-11,-4.44089e-16,3.60822e-15,1.57981e-07,0,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,1.47455e-09,1.76644e-09,-9.8479e-10,-1.99249e-09,-0.163034,0,0,-5.45697e-12,1.35136e-12,-3.33632e-11,-0.166564,0,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,1.0712e-09,-3.01036e-09,8.4791e-10,-3.49203e-09,-0.664618,0,0,3.63798e-12,-3.41727e-13,-3.03928e-11,0.00278023,0,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,1.5361e-09,6.76169e-10,2.43847e-10,1.64812e-09,0.17061,0,0,0,-2.44249e-13,-4.73241e-12,0.175151,0,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,1.71553e-09,5.60394e-10,-1.94325e-10,-6.42582e-09,2.48663,0,0,0,6.72795e-14,7.57479e-12,-0.000291928,0,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,1.35051e-09,-1.48463e-09,1.61036e-09,-1.72619e-08,1.50676,0,-4.36557e-11,-1.81899e-12,-1.116e-12,1.93028e-12,1.51466,0,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,-3.08908e-10,1.1468e-09,4.92931e-11,-4.27089e-09,-2.59027,0,-1.45519e-11,0,-8.88178e-16,1.68754e-14,-1.13831e-07,0,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,-2.35217e-09,-5.68289e-10,2.4035e-10,5.0911e-10,0.327296,0,-1.45519e-11,0,-1.11022e-15,-5.06539e-15,-6.82015e-07,0,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-4.2126e-09,-2.75515e-09,4.4678e-10,1.2653e-08,0.513333,0,1.45519e-11,3.63798e-12,4.44089e-16,3.95517e-15,2.67399e-07,0,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-1.35973e-09,2.36186e-09,8.31588e-10,-1.71275e-10,-0.903838,0,2.47383e-10,-2.18279e-11,-4.05453e-13,-1.71686e-10,-0.00728474,0,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,4.75702e-10,5.17517e-10,6.29398e-10,-8.47336e-09,0.419742,0,0,1.81899e-12,-6.76348e-13,-3.07588e-11,0.426413,0,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,-6.15459e-09,-3.99008e-09,-2.05704e-11,-1.01752e-08,-2.16917,0,0,-3.63798e-12,-2.39253e-12,-4.3318e-11,0.000330141,0,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,1.05257e-09,-4.77208e-10,-8.37578e-11,-1.11296e-08,-1.13237,0,-1.45519e-11,0,4.44089e-16,3.15165e-14,6.24952e-07,0,False,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,-5.37891e-09,-4.13864e-09,1.31381e-09,-9.98178e-09,-1.15739,0,1.45519e-11,0,-1.4202e-12,5.10081e-11,-0.00457121,0,False,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,-2.02557e-09,5.18809e-10,-1.34863e-10,2.8513e-08,-1.63261,0,-1.45519e-11,1.81899e-12,2.61569e-13,-9.94103e-12,0.00142782,0,False,69.0|322,152
8|1159|8|1159|sample|8|292|8|292|65.0,-8.97271e-11,1.53762e-09,5.86892e-10,2.09678e-09,-3.36005,0,0,5.45697e-12,1.33227e-15,1.10691e-12,-5.91883,0,True,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,-5.63063e-09,-1.37263e-09,-1.19821e-09,-1.30211e-08,-1.90224,0,0,0,2.39808e-14,-5.06113e-12,-5.35422,0,True,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,-2.92889e-09,2.83369e-09,-2.79331e-10,1.00098e-08,1.20652,0,0,0,-3.89466e-13,5.81983e-12,-2.99016,0,True,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,3.66839e-09,7.61971e-10,1.75899e-09,-1.31838e-08,1.15607,0,0,-1.81899e-12,-8.88178e-16,7.21354e-13,-2.60857,0,True,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,1.47821e-09,-2.93087e-09,6.69427e-10,7.65653e-09,-4.7632,0,0,0,-1.23013e-13,3.65606e-12,-6.90809,0,True,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,2.77741e-09,2.8964e-09,-3.17014e-10,6.1986e-09,-1.73446,0,0,0,-5.28466e-14,-4.84557e-12,-5.51851,0,True,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,6.88073e-10,-2.09551e-10,4.8384e-10,1.45404e-08,-3.49819,0,0,0,3.193e-13,-6.77533e-12,-6.22979,0,True,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,-1.99417e-09,-2.66551e-09,-8.21204e-10,1.32168e-08,-4.90969,0,-1.45519e-11,-1.81899e-12,-1.05582e-12,-5.43746e-12,-7.42455,0,True,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,-2.41154e-09,3.9841e-09,-8.96551e-10,9.30853e-10,2.92019,0,0,0,-1.4877e-13,8.81846e-12,-1.19862,0,True,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,5.50822e-09,1.40758e-09,1.26593e-09,9.15749e-09,3.92935,0,0,-1.81899e-12,4.44089e-16,8.56523e-13,-1.23306,0,True,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,3.79997e-09,1.95677e-09,1.01121e-09,-9.96741e-09,-0.576002,0,0,5.45697e-12,4.44089e-16,1.29202e-14,-3.31304e-07,0,False,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,-6.01009e-09,-4.85605e-10,-1.36966e-09,1.42467e-08,0.886553,0,0,0,-2.85327e-14,1.93474e-12,0.000194424,0,False,69.0|292,1159
