rep,id,U,L,L_gap,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,125886,10896.4,1.33433,1.48764,0.136649,1.15021,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,125886,10896.4,1.33433,1.48764,0.0544307,1.15021,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,125886,10896.4,1.33433,1.48764,0.174168,1.15021,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,125886,10896.4,1.33433,1.48764,0.0858394,1.15021,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,125886,10896.4,1.33433,1.48764,0.0761604,1.15021,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,125886,10896.4,1.33433,1.48764,0.0733675,1.15021,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,125886,10896.4,1.33433,1.48764,0.283801,1.15021,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,125886,10896.4,1.33433,1.48764,0.0776499,1.15021,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,125886,10896.4,1.33433,1.48764,0.249868,1.15021,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,125886,10896.4,1.33433,1.48764,0.166237,1.15021,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,5.15071e-07,1.15021,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,2.90491e+08,1.15021,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,0.00221118,1.15021,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,4.75717,1.15021,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,637.733,1.15021,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,3.26201e-09,1.15021,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,5624.11,1.15021,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,125886,10893.6,35.6488,-0.46168,2.04457e-10,1.15021,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,2.30533e-08,1.15021,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,6.56748e+08,1.15021,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,2.46047e-07,1.15021,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,46838.9,1.15021,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,0.0308911,1.15021,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,8212.08,1.15021,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,1.07358e-14,1.15021,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,125886,10893.6,35.6488,-0.46168,6.26693,1.15021,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,125885,10895.1,8.26254,0.0656479,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,125885,10895.1,8.26254,0.0656479,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,125885,10895.1,8.26254,0.065648,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,125885,10895.1,8.26254,0.065648,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,125885,10895.1,8.26254,0.0656479,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,125885,10895.1,8.26254,0.0656479,0,1.98271,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,125884,10895.1,5.70498,2.16929,6.85795e-15,1.98271,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,125884,10895.1,5.70498,2.16929,6.26574e-06,1.98271,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,125884,10895.1,5.70498,2.16929,1.74098e-05,1.98271,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,125884,10895.1,5.70498,2.16929,9.02133e-15,1.98271,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,2.50832e+11,1.98271,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,410.22,1.98271,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,4.64535e-11,1.98271,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,0,1.98271,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,3.98009e-05,1.98271,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,7.68739e-15,1.98271,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,125884,10893.3,3.92642,1.2287,3.26272e-08,1.98271,False,69.0|233,705
