rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,270.253,1.48468,0.812249,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|2|1|162,272.208,1.48469,0.812263,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|3|1|162,271.884,1.48469,0.812238,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|4|1|162,268.845,1.4847,0.81225,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|5|1|162,269.132,1.4847,0.812254,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|6|1|162,277.863,1.48469,0.812242,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|7|1|162,278.327,1.48468,0.812251,2414810.0,17.3662,False,69.0|162,84
1,8|84|cc|8|1|162,267.678,1.48469,0.812264,2414810.0,17.3662,False,69.0|162,84
1,8|84|sample|10|162,272.019,0.188652,200.034,2414810.0,17.3662,True,32.0|162,84
1,8|84|sample|11|162,278.618,0.678782,10.4477,2414810.0,17.3662,True,22.0|162,84
1,8|84|sample|12|162,266.34,0.678761,10.4476,2414810.0,17.3662,True,22.0|162,84
1,8|84|sample|3|162,267.444,-0.125782,2912.59,2414810.0,17.3662,True,55.0|162,84
1,8|84|sample|4|162,276.435,-0.125794,2912.54,2414810.0,17.3662,True,55.0|162,84
1,8|84|sample|5|162,277.636,-0.125777,2912.53,2414810.0,17.3662,True,55.0|162,84
1,8|84|sample|6|162,279.196,-0.125804,2912.49,2414810.0,17.3662,True,55.0|162,84
1,8|84|sample|7|162,268.913,0.188647,200.03,2414810.0,17.3662,True,32.0|162,84
1,8|84|sample|8|162,275.227,0.188659,200.032,2414810.0,17.3662,True,32.0|162,84
1,8|84|sample|9|162,266.268,0.188634,200.034,2414810.0,17.3662,True,32.0|162,84
1,8|84|vc|1|2|162,269.298,1.48469,0.812265,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|2|2|162,263.626,1.48469,0.812239,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|3|2|162,264.405,1.4847,0.812248,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|4|2|162,267.044,1.48469,0.812241,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|5|2|162,268.931,1.48469,0.812253,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|6|2|162,275.982,1.48469,0.812265,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|7|2|162,268.95,1.48469,0.812257,2414810.0,17.3662,False,69.0|162,84
1,8|84|vc|8|2|162,264.744,1.48466,0.812259,2414810.0,17.3662,False,69.0|162,84
1,8|719|cc|1|1|274,267.154,1.17312,1.98584,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|2|1|274,273.545,1.17312,1.98584,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|3|1|274,273.659,1.17312,1.98583,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|4|1|274,275.451,1.17312,1.98581,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|5|1|274,274.703,1.17309,1.98581,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|6|1|274,265.285,1.17313,1.98582,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|7|1|274,270.461,1.17311,1.98585,2414810.0,56.6756,False,69.0|274,719
1,8|719|cc|8|1|274,263.348,1.17312,1.98587,2414810.0,56.6756,False,69.0|274,719
1,8|719|sample|10|274,272.701,0.593319,33.8991,2414810.0,56.6756,True,32.0|274,719
1,8|719|sample|11|274,275.531,1.41107,12.4155,2414810.0,56.6756,True,22.0|274,719
1,8|719|sample|12|274,270.91,1.41105,12.4156,2414810.0,56.6756,True,22.0|274,719
1,8|719|sample|3|274,279.743,-0.120855,3143.37,2414810.0,56.6756,True,55.0|274,719
1,8|719|sample|4|274,271.508,-0.120866,3143.31,2414810.0,56.6756,True,55.0|274,719
1,8|719|sample|5|274,276.698,-0.120868,3143.39,2414810.0,56.6756,True,55.0|274,719
1,8|719|sample|6|274,268.459,-0.120854,3143.35,2414810.0,56.6756,True,55.0|274,719
1,8|719|sample|7|274,275.995,0.593313,33.8996,2414810.0,56.6756,True,32.0|274,719
1,8|719|sample|8|274,270.598,0.593314,33.8993,2414810.0,56.6756,True,32.0|274,719
1,8|719|sample|9|274,267.808,0.593339,33.8997,2414810.0,56.6756,True,32.0|274,719
1,8|719|vc|1|2|274,273.451,1.17312,1.98584,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|2|2|274,276.16,1.17311,1.98586,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|3|2|274,274.218,1.17311,1.98586,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|4|2|274,265.792,1.17312,1.98585,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|5|2|274,273.988,1.17311,1.98586,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|6|2|274,276.469,1.17313,1.98587,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|7|2|274,271.443,1.1731,1.98589,2414810.0,56.6756,False,69.0|274,719
1,8|719|vc|8|2|274,270.521,1.17309,1.98586,2414810.0,56.6756,False,69.0|274,719
1,8|488|cc|1|1|322,270.182,1.43068,2.2873,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|2|1|322,273.188,1.43065,2.2873,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|3|1|322,272.657,1.43067,2.28731,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|4|1|322,279.8,1.43066,2.28728,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|5|1|322,272.539,1.43066,2.28732,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|6|1|322,272.487,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|7|1|322,277.665,1.43067,2.28731,2414810.0,55.9561,False,69.0|322,488
1,8|488|cc|8|1|322,270.94,1.43066,2.28724,2414810.0,55.9561,False,69.0|322,488
1,8|488|sample|10|322,272.378,-0.111008,77011.0,2414810.0,55.9561,True,32.0|322,488
1,8|488|sample|11|322,273.09,0.729287,24.8541,2414810.0,55.9561,True,22.0|322,488
1,8|488|sample|12|322,279.658,0.729287,24.854,2414810.0,55.9561,True,22.0|322,488
1,8|488|sample|3|322,270.911,-0.272055,3062.71,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|4|322,279.033,-0.27206,3062.73,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|5|322,273.529,-0.272052,3062.68,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|6|322,271.365,-0.27207,3062.71,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|7|322,267.223,-0.111016,77011.5,2414810.0,55.9561,True,32.0|322,488
1,8|488|sample|8|322,263.545,-0.111012,77007.8,2414810.0,55.9561,True,32.0|322,488
1,8|488|sample|9|322,271.864,-0.110989,77010.4,2414810.0,55.9561,True,32.0|322,488
1,8|488|vc|1|2|322,257.967,1.43066,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|2|2|322,278.843,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|3|2|322,260.401,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
