id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,-1.10386e-06,0,0,0,0,-1.52447e-08,0,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,1.97076e-07,0,0,0,0,2.03623e-08,0,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,3.82237e-06,0,0,0,0,-4.91161e-08,0,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,-1.24639e-06,0,0,0,0,-5.92672e-09,0,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,1.67801e-07,0,0,0,0,-8.91271e-09,0,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,-2.64034e-06,0,0,0,0,1.7295e-08,0,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,-1.97782e-06,0,0,0,0,2.18405e-08,0,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,-2.79695e-06,0,0,0,0,1.25161e-08,0,0,0,0,False,69.0|162,84
8|84|sample|10|162,2.92878e-06,0,0,0,0,1.94318e-08,0,0,0,0,True,32.0|162,84
8|84|sample|11|162,2.13619e-07,0,0,0,0,1.8701e-08,0,0,0,0,True,22.0|162,84
8|84|sample|12|162,2.22963e-06,0,0,0,0,1.10965e-08,0,0,0,0,True,22.0|162,84
8|84|sample|3|162,-9.69885e-07,0,0,0,0,-2.11539e-08,0,0,0,0,True,55.0|162,84
8|84|sample|4|162,-3.77932e-08,0,0,0,0,-2.49476e-08,0,0,0,0,True,55.0|162,84
8|84|sample|5|162,9.91156e-07,0,0,0,0,1.61224e-08,0,0,0,0,True,55.0|162,84
8|84|sample|6|162,8.85577e-07,0,0,0,0,-1.14662e-08,0,0,0,0,True,55.0|162,84
8|84|sample|7|162,9.2039e-07,0,0,0,0,-1.88828e-08,0,0,0,0,True,32.0|162,84
8|84|sample|8|162,-2.4682e-07,0,0,0,0,-2.42563e-08,0,0,0,0,True,32.0|162,84
8|84|sample|9|162,-8.52392e-07,0,0,0,0,-2.36521e-08,0,0,0,0,True,32.0|162,84
8|84|vc|1|2|162,1.13437e-06,0,0,0,0,-3.99297e-09,0,0,0,0,False,69.0|162,84
8|84|vc|2|2|162,-6.00737e-07,0,0,0,0,-1.82512e-08,0,0,0,0,False,69.0|162,84
8|84|vc|3|2|162,1.30792e-07,0,0,0,0,4.69151e-09,0,0,0,0,False,69.0|162,84
8|84|vc|4|2|162,2.49733e-07,0,0,0,0,2.24061e-08,0,0,0,0,False,69.0|162,84
8|84|vc|5|2|162,-1.46273e-06,0,0,0,0,-1.98169e-08,0,0,0,0,False,69.0|162,84
8|84|vc|6|2|162,-1.94466e-06,0,0,0,0,-4.62318e-08,0,0,0,0,False,69.0|162,84
