id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,445.217,10.4461,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|2|1|162,445.217,9.46346,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|3|1|162,445.217,10.2382,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|4|1|162,445.217,9.66782,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|5|1|162,445.217,10.0757,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|6|1|162,445.217,10.1706,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|7|1|162,445.217,10.2737,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|cc|8|1|162,445.217,9.93643,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|sample|10|162,445.218,0.972159,6.88014,49944.2,13.4011,447.039,0.98368,6.8799,50189.4,13.3988,True,32.0|162,84
8|84|sample|11|162,445.218,0.787871,6.88014,49944.2,13.4011,447.039,0.813812,6.8799,50189.4,13.3988,True,22.0|162,84
8|84|sample|12|162,445.218,0.888168,6.88014,49944.2,13.4011,447.039,0.870784,6.8799,50189.4,13.3988,True,22.0|162,84
8|84|sample|3|162,445.218,0.368935,6.88014,49944.2,13.4011,447.039,0.389889,6.8799,50189.4,13.3988,True,55.0|162,84
8|84|sample|4|162,445.218,0.408492,6.88014,49944.2,13.4011,447.039,0.409742,6.8799,50189.4,13.3988,True,55.0|162,84
8|84|sample|5|162,445.218,0.447567,6.88014,49944.2,13.4011,447.039,0.475073,6.8799,50189.4,13.3988,True,55.0|162,84
8|84|sample|6|162,445.218,0.453181,6.88014,49944.2,13.4011,447.039,0.441821,6.8799,50189.4,13.3988,True,55.0|162,84
8|84|sample|7|162,445.218,0.735876,6.88014,49944.2,13.4011,447.039,0.851967,6.8799,50189.4,13.3988,True,32.0|162,84
8|84|sample|8|162,445.218,0.937983,6.88014,49944.2,13.4011,447.039,0.891737,6.8799,50189.4,13.3988,True,32.0|162,84
8|84|sample|9|162,445.218,0.990055,6.88014,49944.2,13.4011,447.039,0.988405,6.8799,50189.4,13.3988,True,32.0|162,84
8|84|vc|1|2|162,445.217,9.88457,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
