rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,-8.31843e-06,-3.17722,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,-1.42444e-05,0.915273,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,-4.84476e-06,-3.0951,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,-3.61017e-06,3.29281,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,4.39102e-06,-0.522235,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,-1.58052e-05,7.00624,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,2.97852e-06,-3.03101,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,-1.0486e-05,6.04058,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,-1.1245e-05,1.15764,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,1.36086e-05,-2.25836,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,1.35311e-06,1.9674,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,8.79575e-08,1.52197,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,-8.78226e-06,2.66327,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,5.61258e-06,0.715481,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,6.20635e-06,2.41747,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,-2.16718e-05,8.12473,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,3.88467e-06,3.62958,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,-5.25857e-07,2.08843,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,2.38559e-07,-6.96303,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,-5.79094e-06,-3.57348,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,-1.35563e-05,2.1518,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,-7.04251e-06,0.16758,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,4.64133e-06,1.25566,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,3.9906e-06,-6.02261,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,-1.17899e-05,1.10207,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,4.26848e-06,-2.3802,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,-5.15576e-06,-0.439933,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,-8.40385e-06,-1.03941,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,-5.5095e-06,5.39882,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,-2.93577e-05,2.74184,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,8.04278e-07,-1.48349,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,1.14744e-05,2.93062,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,3.09372e-06,4.79152,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,6.63855e-06,14.1241,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,-1.22012e-05,5.53362,0,0,True,32.0|274,719
1,8|719|sample|11|274,0,8.81436e-06,8.94281,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,3.8036e-06,-3.13007,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,2.59368e-06,-1.93333,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,-9.36421e-06,-0.0932832,0,0,True,55.0|274,719
1,8|719|sample|5|274,0,2.85514e-06,2.60598,0,0,True,55.0|274,719
1,8|719|sample|6|274,0,-7.51338e-06,-3.59443,0,0,True,55.0|274,719
1,8|719|sample|7|274,0,4.28902e-07,1.96455,0,0,True,32.0|274,719
1,8|719|sample|8|274,0,-4.57503e-06,-0.13619,0,0,True,32.0|274,719
1,8|719|sample|9|274,0,3.13755e-06,4.56213,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,0,-9.83826e-06,-6.99584,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,0,2.17762e-05,-5.33057,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,0,-1.60534e-06,-10.0236,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,0,-1.09329e-05,-1.90589,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,0,-1.72917e-05,1.4064,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,0,-9.27686e-06,6.25859,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,0,-7.55835e-06,1.51367,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,0,1.09384e-05,-0.208912,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,0,7.15908e-06,6.37661,0,0,False,69.0|322,488
1,8|488|cc|2|1|322,0,-9.59809e-06,4.84484,0,0,False,69.0|322,488
1,8|488|cc|3|1|322,0,-1.26528e-05,-1.16519,0,0,False,69.0|322,488
1,8|488|cc|4|1|322,0,-5.90401e-06,-5.43378,0,0,False,69.0|322,488
1,8|488|cc|5|1|322,0,2.92225e-05,-2.32023,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,0,-9.16886e-06,0.130142,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,0,4.63227e-06,-2.12705,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,0,3.80651e-06,-3.08093,0,0,False,69.0|322,488
1,8|488|sample|10|322,0,-9.86305e-06,5.73362,0,0,True,32.0|322,488
1,8|488|sample|11|322,0,-4.56684e-06,4.99649,0,0,True,22.0|322,488
1,8|488|sample|12|322,0,-2.2887e-05,2.10069,0,0,True,22.0|322,488
1,8|488|sample|3|322,0,-1.3981e-05,1.53303,0,0,True,55.0|322,488
1,8|488|sample|4|322,0,1.33981e-05,0.249557,0,0,True,55.0|322,488
1,8|488|sample|5|322,0,-6.13514e-06,-4.78774,0,0,True,55.0|322,488
1,8|488|sample|6|322,0,-1.86111e-05,-0.515175,0,0,True,55.0|322,488
1,8|488|sample|7|322,0,1.30538e-05,-3.87852,0,0,True,32.0|322,488
1,8|488|sample|8|322,0,-4.85903e-06,1.93066,0,0,True,32.0|322,488
1,8|488|sample|9|322,0,4.64717e-06,0.723291,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,0,1.27076e-05,0.321567,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,0,8.77827e-06,-0.55295,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,0,-1.37893e-05,9.33137,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,0,2.06676e-05,-1.60572,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,0,1.54504e-05,2.77458,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,0,1.86827e-05,4.654,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,0,1.29352e-05,-3.23549,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,0,-9.76584e-06,2.07073,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,0,-3.29237e-06,-9.40967,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,0,2.71435e-06,1.27406,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,0,1.4915e-05,-0.618983,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,0,1.5386e-06,-0.714561,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,0,7.53869e-06,-2.53246,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,0,-4.7458e-06,3.63852,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,0,2.98666e-05,0.337541,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,0,4.24286e-06,-0.283929,0,0,False,69.0|69,847
1,8|847|sample|10|69,0,1.59113e-05,3.68379,0,0,True,32.0|69,847
1,8|847|sample|11|69,0,2.17368e-05,-1.16481,0,0,True,22.0|69,847
1,8|847|sample|12|69,0,-5.27185e-06,0.577854,0,0,True,22.0|69,847
1,8|847|sample|3|69,0,-6.12336e-06,0.326444,0,0,True,55.0|69,847
1,8|847|sample|4|69,0,-5.39992e-06,0.916453,0,0,True,55.0|69,847
1,8|847|sample|5|69,0,1.16499e-05,-4.98734,0,0,True,55.0|69,847
1,8|847|sample|6|69,0,-1.29249e-05,3.19213,0,0,True,55.0|69,847
1,8|847|sample|7|69,0,-2.99985e-05,2.25953,0,0,True,32.0|69,847
1,8|847|sample|8|69,0,-1.62809e-05,1.80508,0,0,True,32.0|69,847
1,8|847|sample|9|69,0,-5.84469e-06,1.10209,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,0,-2.36101e-06,-1.81758,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,0,8.68305e-06,-1.41929,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,0,-1.07404e-05,1.39448,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,0,-1.80171e-05,-8.43347,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,0,4.82878e-06,8.38648,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,0,-1.08955e-05,0.711106,0,0,False,69.0|69,847
1,8|847|vc|7|2|69,0,2.09121e-05,-0.535057,0,0,False,69.0|69,847
1,8|847|vc|8|2|69,0,-6.32804e-08,-1.03788,0,0,False,69.0|69,847
1,8|474|cc|1|1|276,0,8.1712e-07,-6.05581,0,0,False,69.0|276,474
1,8|474|cc|2|1|276,0,8.75113e-06,-3.87266,0,0,False,69.0|276,474
1,8|474|cc|3|1|276,0,1.97049e-05,-1.05878,0,0,False,69.0|276,474
1,8|474|cc|4|1|276,0,1.50065e-05,-6.66565,0,0,False,69.0|276,474
1,8|474|cc|5|1|276,0,9.50123e-08,7.35603,0,0,False,69.0|276,474
1,8|474|cc|6|1|276,0,-1.17053e-05,-6.63623,0,0,False,69.0|276,474
1,8|474|cc|7|1|276,0,1.16117e-05,0.1783,0,0,False,69.0|276,474
1,8|474|cc|8|1|276,0,1.29882e-05,3.69718,0,0,False,69.0|276,474
1,8|474|sample|10|276,0,-1.16287e-05,-0.285219,0,0,True,32.0|276,474
1,8|474|sample|11|276,0,1.31828e-05,2.48667,0,0,True,22.0|276,474
1,8|474|sample|12|276,0,8.30049e-06,-4.95783,0,0,True,22.0|276,474
1,8|474|sample|3|276,0,1.4426e-05,-4.74662,0,0,True,55.0|276,474
1,8|474|sample|4|276,0,-2.23963e-06,3.18526,0,0,True,55.0|276,474
1,8|474|sample|5|276,0,-4.6345e-06,1.73405,0,0,True,55.0|276,474
1,8|474|sample|6|276,0,-6.01829e-06,1.3019,0,0,True,55.0|276,474
1,8|474|sample|7|276,0,-1.13135e-06,1.05185,0,0,True,32.0|276,474
1,8|474|sample|8|276,0,-2.42073e-05,2.97685,0,0,True,32.0|276,474
1,8|474|sample|9|276,0,-2.51701e-07,3.13444,0,0,True,32.0|276,474
1,8|474|vc|1|2|276,0,-1.46875e-06,-9.59729,0,0,False,69.0|276,474
1,8|474|vc|2|2|276,0,9.78466e-06,3.6312,0,0,False,69.0|276,474
1,8|474|vc|3|2|276,0,-6.80355e-06,-9.51021,0,0,False,69.0|276,474
1,8|474|vc|4|2|276,0,6.7912e-06,3.57536,0,0,False,69.0|276,474
1,8|474|vc|5|2|276,0,2.55297e-05,3.56243,0,0,False,69.0|276,474
1,8|474|vc|6|2|276,0,5.85991e-06,1.63043,0,0,False,69.0|276,474
1,8|474|vc|7|2|276,0,-5.18737e-06,-5.52234,0,0,False,69.0|276,474
1,8|474|vc|8|2|276,0,-8.95015e-06,2.08927,0,0,False,69.0|276,474
1,8|462|cc|1|1|292,0,1.02015e-05,-6.83156,0,0,False,69.0|292,462
1,8|462|cc|2|1|292,0,-8.40945e-06,3.72078,0,0,False,69.0|292,462
1,8|462|cc|3|1|292,0,-2.26214e-06,0.280284,0,0,False,69.0|292,462
1,8|462|cc|4|1|292,0,2.7604e-05,-4.4205,0,0,False,69.0|292,462
1,8|462|cc|5|1|292,0,3.49512e-06,-0.224554,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,0,1.3873e-05,0.0457245,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,0,-1.67646e-06,-0.416015,0,0,False,69.0|292,462
