id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,272.788,9.36315,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|2|1|162,273.067,9.54563,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|3|1|162,273.111,9.61729,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|4|1|162,272.946,9.25274,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|5|1|162,272.951,9.51281,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|6|1|162,272.81,9.31959,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|7|1|162,272.678,9.69963,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|cc|8|1|162,272.946,9.04384,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|sample|10|162,274.359,0.98642,6.9657,50304.6,13.4672,274.422,0.966978,6.97852,50066.6,13.4598,True,32.0|162,84
8|84|sample|11|162,274.681,0.76883,6.9657,50304.6,13.4672,274.422,0.806094,6.97852,50066.6,13.4598,True,22.0|162,84
8|84|sample|12|162,274.276,0.903175,6.9657,50304.6,13.4672,274.422,0.863175,6.97852,50066.6,13.4598,True,22.0|162,84
8|84|sample|3|162,274.068,0.35674,6.9657,50304.6,13.4672,274.428,0.38703,6.97852,50066.6,13.4598,True,55.0|162,84
8|84|sample|4|162,274.615,0.364451,6.9657,50304.6,13.4672,274.427,0.406828,6.97852,50066.6,13.4598,True,55.0|162,84
8|84|sample|5|162,274.498,0.43904,6.9657,50304.6,13.4672,274.427,0.470242,6.97852,50066.6,13.4598,True,55.0|162,84
8|84|sample|6|162,275.065,0.42673,6.9657,50304.6,13.4672,274.427,0.437948,6.97852,50066.6,13.4598,True,55.0|162,84
8|84|sample|7|162,274.946,0.773047,6.9657,50304.6,13.4672,274.425,0.84335,6.97852,50066.6,13.4598,True,32.0|162,84
8|84|sample|8|162,274.422,0.866946,6.9657,50304.6,13.4672,274.425,0.881209,6.97852,50066.6,13.4598,True,32.0|162,84
8|84|sample|9|162,274.241,0.945112,6.9657,50304.6,13.4672,274.423,0.972304,6.97852,50066.6,13.4598,True,32.0|162,84
8|84|vc|1|2|162,273.248,9.41765,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|2|2|162,273.138,9.55363,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|3|2|162,273.061,9.17614,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|4|2|162,272.858,9.50329,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|5|2|162,272.722,9.4651,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|6|2|162,272.683,9.10688,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|7|2|162,273.182,9.13695,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|84|vc|8|2|162,272.836,9.38321,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|162,84
8|719|cc|1|1|274,272.894,8.96417,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|2|1|274,273.025,9.61135,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|3|1|274,272.665,9.30415,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|4|1|274,273.001,9.49984,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|5|1|274,272.924,9.09694,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|6|1|274,273.018,9.11481,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|7|1|274,272.965,9.52982,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|cc|8|1|274,273.074,9.51031,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|sample|10|274,274.592,1.51243,6.9657,50304.6,13.4672,274.427,1.55185,6.97852,50066.6,13.4598,True,32.0|274,719
8|719|sample|11|274,273.772,1.83223,6.9657,50304.6,13.4672,274.429,1.88127,6.97852,50066.6,13.4598,True,22.0|274,719
8|719|sample|12|274,274.433,2.17667,6.9657,50304.6,13.4672,274.43,2.0487,6.97852,50066.6,13.4598,True,22.0|274,719
8|719|sample|3|274,274.26,0.412731,6.9657,50304.6,13.4672,274.427,0.374331,6.97852,50066.6,13.4598,True,55.0|274,719
8|719|sample|4|274,274.615,0.379016,6.9657,50304.6,13.4672,274.427,0.370253,6.97852,50066.6,13.4598,True,55.0|274,719
8|719|sample|5|274,274.338,0.487204,6.9657,50304.6,13.4672,274.426,0.547352,6.97852,50066.6,13.4598,True,55.0|274,719
8|719|sample|6|274,274.432,0.564479,6.9657,50304.6,13.4672,274.425,0.560191,6.97852,50066.6,13.4598,True,55.0|274,719
8|719|sample|7|274,274.598,1.48608,6.9657,50304.6,13.4672,274.425,1.50825,6.97852,50066.6,13.4598,True,32.0|274,719
8|719|sample|8|274,274.974,1.5914,6.9657,50304.6,13.4672,274.426,1.51671,6.97852,50066.6,13.4598,True,32.0|274,719
8|719|sample|9|274,274.099,1.59577,6.9657,50304.6,13.4672,274.428,1.56587,6.97852,50066.6,13.4598,True,32.0|274,719
8|719|vc|1|2|274,272.841,9.36113,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|2|2|274,272.84,9.19595,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|3|2|274,273.138,9.27424,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|4|2|274,272.801,9.37623,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|5|2|274,273.343,9.50368,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|6|2|274,272.816,9.2309,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|7|2|274,273.089,9.57578,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|719|vc|8|2|274,272.814,9.42107,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|274,719
8|488|cc|1|1|322,272.752,9.24436,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|2|1|322,272.895,9.36949,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|3|1|322,272.753,9.60978,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|4|1|322,272.832,9.40107,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|5|1|322,272.969,9.25548,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|6|1|322,273.231,8.93337,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|7|1|322,273.092,9.68091,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|cc|8|1|322,272.783,9.28017,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|sample|10|322,274.271,0.549614,6.9657,50304.6,13.4672,274.426,0.575817,6.97852,50066.6,13.4598,True,32.0|322,488
8|488|sample|11|322,274.521,1.18154,6.9657,50304.6,13.4672,274.429,1.15136,6.97852,50066.6,13.4598,True,22.0|322,488
8|488|sample|12|322,274.805,1.19594,6.9657,50304.6,13.4672,274.436,1.19405,6.97852,50066.6,13.4598,True,22.0|322,488
8|488|sample|3|322,274.732,0.208479,6.9657,50304.6,13.4672,274.429,0.223564,6.97852,50066.6,13.4598,True,55.0|322,488
8|488|sample|4|322,274.726,0.188518,6.9657,50304.6,13.4672,274.429,0.209293,6.97852,50066.6,13.4598,True,55.0|322,488
8|488|sample|5|322,274.389,0.237122,6.9657,50304.6,13.4672,274.429,0.26411,6.97852,50066.6,13.4598,True,55.0|322,488
8|488|sample|6|322,274.398,0.232366,6.9657,50304.6,13.4672,274.429,0.264488,6.97852,50066.6,13.4598,True,55.0|322,488
8|488|sample|7|322,273.327,0.558858,6.9657,50304.6,13.4672,274.426,0.593292,6.97852,50066.6,13.4598,True,32.0|322,488
8|488|sample|8|322,274.858,0.631527,6.9657,50304.6,13.4672,274.426,0.599365,6.97852,50066.6,13.4598,True,32.0|322,488
8|488|sample|9|322,274.122,0.569191,6.9657,50304.6,13.4672,274.427,0.568629,6.97852,50066.6,13.4598,True,32.0|322,488
8|488|vc|1|2|322,272.967,9.37906,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|2|2|322,272.83,9.49401,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|3|2|322,272.982,9.51485,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|4|2|322,272.853,9.44118,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|5|2|322,273.135,9.34153,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|6|2|322,273.106,9.31919,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|7|2|322,272.936,9.34949,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|488|vc|8|2|322,273.043,9.50789,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|322,488
8|847|cc|1|1|69,273.077,9.62001,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|2|1|69,273.043,9.33627,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|3|1|69,273.233,9.55296,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|4|1|69,273.021,9.79224,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|5|1|69,272.917,9.45497,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|6|1|69,272.848,9.25997,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|7|1|69,272.989,9.17049,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|cc|8|1|69,272.962,9.02987,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|sample|10|69,274.714,4.39874,6.9657,50304.6,13.4672,274.437,4.80768,6.97852,50066.6,13.4598,True,32.0|69,847
8|847|sample|11|69,274.327,1.11306,6.9657,50304.6,13.4672,274.422,1.1117,6.97852,50066.6,13.4598,True,22.0|69,847
8|847|sample|12|69,274.846,1.04418,6.9657,50304.6,13.4672,274.421,1.05388,6.97852,50066.6,13.4598,True,22.0|69,847
8|847|sample|3|69,274.398,0.58127,6.9657,50304.6,13.4672,274.426,0.547321,6.97852,50066.6,13.4598,True,55.0|69,847
8|847|sample|4|69,273.613,0.517322,6.9657,50304.6,13.4672,274.426,0.543624,6.97852,50066.6,13.4598,True,55.0|69,847
8|847|sample|5|69,274.478,0.434806,6.9657,50304.6,13.4672,274.427,0.46621,6.97852,50066.6,13.4598,True,55.0|69,847
8|847|sample|6|69,274.214,0.462728,6.9657,50304.6,13.4672,274.426,0.477548,6.97852,50066.6,13.4598,True,55.0|69,847
8|847|sample|7|69,273.996,3.38396,6.9657,50304.6,13.4672,274.437,3.56306,6.97852,50066.6,13.4598,True,32.0|69,847
8|847|sample|8|69,274.453,3.63368,6.9657,50304.6,13.4672,274.437,3.79719,6.97852,50066.6,13.4598,True,32.0|69,847
8|847|sample|9|69,274.462,4.05058,6.9657,50304.6,13.4672,274.44,4.53892,6.97852,50066.6,13.4598,True,32.0|69,847
8|847|vc|1|2|69,272.892,9.3666,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
