id,importanceSampling
8|84|cc|1|1|162,15.824073
8|84|cc|2|1|162,15.784451
8|84|cc|3|1|162,15.851815
8|84|cc|4|1|162,15.896901
8|84|cc|5|1|162,15.932788
8|84|cc|6|1|162,15.936937
8|84|cc|7|1|162,15.942997
8|84|cc|8|1|162,15.742235
8|84|sample|10|162,187.311299
8|84|sample|11|162,187.170252
8|84|sample|12|162,183.136748
8|84|sample|3|162,192.241121
8|84|sample|4|162,191.524909
8|84|sample|5|162,188.017119
8|84|sample|6|162,188.217598
8|84|sample|7|162,192.624653
8|84|sample|8|162,192.374728
8|84|sample|9|162,189.292385
8|84|vc|1|2|162,25.071492
8|84|vc|2|2|162,25.217192
8|84|vc|3|2|162,25.219635
8|84|vc|4|2|162,25.197699
8|84|vc|5|2|162,25.212579
8|84|vc|6|2|162,25.223685
8|84|vc|7|2|162,25.215253
8|84|vc|8|2|162,25.084688
8|719|cc|1|1|274,15.768348
8|719|cc|2|1|274,15.822746
8|719|cc|3|1|274,15.909946
8|719|cc|4|1|274,16.066456
8|719|cc|5|1|274,15.989909
8|719|cc|6|1|274,16.076213
8|719|cc|7|1|274,16.129796
8|719|cc|8|1|274,16.034081
8|719|sample|10|274,189.237869
8|719|sample|11|274,187.418955
8|719|sample|12|274,188.456948
8|719|sample|3|274,193.222792
8|719|sample|4|274,192.945804
8|719|sample|5|274,190.569754
8|719|sample|6|274,191.189729
8|719|sample|7|274,191.40391
8|719|sample|8|274,190.831297
8|719|sample|9|274,189.112973
8|719|vc|1|2|274,25.233007
8|719|vc|2|2|274,25.372876
8|719|vc|3|2|274,25.365866
8|719|vc|4|2|274,25.363625
8|719|vc|5|2|274,25.359109
8|719|vc|6|2|274,25.364638
8|719|vc|7|2|274,25.35758
8|719|vc|8|2|274,25.229255
8|488|cc|1|1|322,15.929714
8|488|cc|2|1|322,16.107343
8|488|cc|3|1|322,15.874001
8|488|cc|4|1|322,15.820325
8|488|cc|5|1|322,15.804347
8|488|cc|6|1|322,15.922991
8|488|cc|7|1|322,15.996118
8|488|cc|8|1|322,15.873125
8|488|sample|10|322,182.433925
8|488|sample|11|322,184.400389
8|488|sample|12|322,184.201865
8|488|sample|3|322,195.821073
8|488|sample|4|322,196.005925
8|488|sample|5|322,193.968797
8|488|sample|6|322,193.592819
8|488|sample|7|322,189.51256
8|488|sample|8|322,189.579774
8|488|sample|9|322,183.437432
8|488|vc|1|2|322,25.397175
8|488|vc|2|2|322,25.536168
8|488|vc|3|2|322,25.524731
8|488|vc|4|2|322,25.530239
8|488|vc|5|2|322,25.523606
8|488|vc|6|2|322,25.511368
8|488|vc|7|2|322,25.522231
8|488|vc|8|2|322,25.38399
8|847|cc|1|1|69,15.87822
