id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,0.0127682,0,0,0,0,2.52247e-07,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,-0.212848,0,0,0,0,1.98162e-07,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,0.154346,0,0,0,0,-4.37184e-07,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-0.0840588,0,0,0,0,3.00607e-07,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,-0.0375338,0,0,0,0,-3.69501e-07,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,-0.24289,0,0,0,0,3.15019e-07,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,-0.0793687,0,0,0,0,-3.44003e-07,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,0.0918588,0,0,0,0,2.24893e-07,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,-1.00696,0,0,0,0,-1.00492,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,-1.395,0,0,0,0,-1.37485,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,-1.20402,0,0,0,0,-1.14734,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,-2.53184,0,0,0,0,-2.53151,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,-2.47694,0,0,0,0,-2.4495,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,-3.21552,0,0,0,0,-3.12561,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,-3.22912,0,0,0,0,-3.22971,0,0,True,55.0|162,84
8|84|sample|7|162,0,0,-1.22629,0,0,0,0,-1.20911,0,0,True,32.0|162,84
8|84|sample|8|162,0,0,-1.18262,0,0,0,0,-1.13251,0,0,True,32.0|162,84
8|84|sample|9|162,0,0,-1.08418,0,0,0,0,-1.0168,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,0,0.0494851,0,0,0,0,-3.66258e-07,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,0,0.0833015,0,0,0,0,-1.30178e-07,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,0,-0.277333,0,0,0,0,-2.21446e-07,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,0,0.158516,0,0,0,0,4.61435e-08,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,0,0.15023,0,0,0,0,-4.48416e-07,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,0,0.088449,0,0,0,0,-3.47577e-08,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,0,-0.173018,0,0,0,0,-2.79925e-07,0,0,False,69.0|162,84
8|84|vc|8|2|162,0,0,0.347197,0,0,0,0,-2.22165e-07,0,0,False,69.0|162,84
8|719|cc|1|1|274,0,0,0.0441613,0,0,0,0,2.96981e-07,0,0,False,69.0|274,719
8|719|cc|2|1|274,0,0,-0.0898927,0,0,0,0,-9.69603e-08,0,0,False,69.0|274,719
8|719|cc|3|1|274,0,0,-0.0174424,0,0,0,0,-1.58293e-07,0,0,False,69.0|274,719
8|719|cc|4|1|274,0,0,0.00345892,0,0,0,0,3.59285e-07,0,0,False,69.0|274,719
8|719|cc|5|1|274,0,0,0.180985,0,0,0,0,-6.82827e-09,0,0,False,69.0|274,719
8|719|cc|6|1|274,0,0,0.247184,0,0,0,0,3.19551e-08,0,0,False,69.0|274,719
8|719|cc|7|1|274,0,0,0.0392035,0,0,0,0,-2.77313e-07,0,0,False,69.0|274,719
8|719|cc|8|1|274,0,0,0.136441,0,0,0,0,-4.06819e-07,0,0,False,69.0|274,719
8|719|sample|10|274,0,0,-0.209163,0,0,0,0,-0.15023,0,0,True,32.0|274,719
8|719|sample|11|274,0,0,0.0667464,0,0,0,0,0.102006,0,0,True,22.0|274,719
8|719|sample|12|274,0,0,0.0726263,0,0,0,0,0.100633,0,0,True,22.0|274,719
8|719|sample|3|274,0,0,-2.27417,0,0,0,0,-2.29253,0,0,True,55.0|274,719
8|719|sample|4|274,0,0,-2.34349,0,0,0,0,-2.32114,0,0,True,55.0|274,719
8|719|sample|5|274,0,0,-2.29404,0,0,0,0,-2.23022,0,0,True,55.0|274,719
8|719|sample|6|274,0,0,-2.23043,0,0,0,0,-2.14138,0,0,True,55.0|274,719
8|719|sample|7|274,0,0,-0.195984,0,0,0,0,-0.149446,0,0,True,32.0|274,719
8|719|sample|8|274,0,0,-0.13943,0,0,0,0,-0.132224,0,0,True,32.0|274,719
8|719|sample|9|274,0,0,-0.187054,0,0,0,0,-0.135107,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,0,0.140767,0,0,0,0,1.5028e-08,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,0,-0.157342,0,0,0,0,1.7909e-08,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,0,-0.117963,0,0,0,0,-1.85295e-07,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,0,-0.0493714,0,0,0,0,7.1635e-08,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,0,0.103786,0,0,0,0,1.68943e-09,0,0,False,69.0|274,719
