parameter,value,CV
L_pop,402.58956754647,
m_pop,1.80071530748416,
e_pop,6.08544186265194,
beta_e_mab_virus_55_0_65,-2.87886753602408e-05,
beta_e_mab_virus_55_0_69,5.07967643168143e-05,
beta_e_mab_virus_55_0_319,-3.72980634052079e-06,
beta_e_mab_virus_55_0_162,3.94499604789684e-05,
beta_e_mab_virus_55_0_218,-3.24528999268293e-05,
beta_e_mab_virus_55_0_174,-1.37602794226403e-05,
beta_e_mab_virus_55_0_322,-7.04762289010168e-07,
beta_e_mab_virus_55_0_292,-7.93418672714416e-05,
beta_e_mab_virus_55_0_274,-1.29828118598489e-05,
beta_e_mab_virus_55_0_103,-1.00438005620041,
beta_e_mab_virus_55_0_276,-4.32234623640546e-07,
beta_e_mab_virus_32_0_65,-8.21171639552656e-06,
beta_e_mab_virus_32_0_69,-1.83055005661051e-05,
beta_e_mab_virus_32_0_319,-9.12633107612024e-06,
beta_e_mab_virus_32_0_162,-0.842093975292371,
beta_e_mab_virus_32_0_218,-1.16567579599102e-05,
beta_e_mab_virus_32_0_174,-2.42764916940355e-05,
beta_e_mab_virus_32_0_322,1.39017341438618,
beta_e_mab_virus_32_0_292,-2.13249266135904e-05,
beta_e_mab_virus_32_0_274,-3.77924734716436e-06,
beta_e_mab_virus_32_0_103,-9.9774563997616e-06,
beta_e_mab_virus_32_0_276,2.06063428128693,
beta_e_mab_virus_22_0_65,-2.43109011766088e-07,
beta_e_mab_virus_22_0_69,1.50454459189982e-05,
beta_e_mab_virus_22_0_319,1.55329955742919e-05,
beta_e_mab_virus_22_0_162,-1.69696956981429e-05,
beta_e_mab_virus_22_0_218,-5.89402257072957e-06,
beta_e_mab_virus_22_0_174,2.02072619982988,
beta_e_mab_virus_22_0_322,0.000136145669898232,
beta_e_mab_virus_22_0_292,-0.59234190022835,
beta_e_mab_virus_22_0_274,-4.18607786986138e-05,
beta_e_mab_virus_22_0_103,1.92098024697908,
beta_e_mab_virus_22_0_276,-1.91901464799536e-05,
beta_e_mab_virus_69_0_65,-8.8278990116746e-05,
beta_e_mab_virus_69_0_69,-0.000104529793223486,
beta_e_mab_virus_69_0_319,4.28202915605177e-07,
beta_e_mab_virus_69_0_162,0.000214086766919431,
beta_e_mab_virus_69_0_218,-4.15470630671934e-05,
beta_e_mab_virus_69_0_174,-0.000147597272668007,
beta_e_mab_virus_69_0_322,-0.000101366482398555,
beta_e_mab_virus_69_0_292,-6.08599636951929e-05,
beta_e_mab_virus_69_0_274,3.85155638327656e-05,
beta_e_mab_virus_69_0_103,-0.000193951568994685,
beta_e_mab_virus_69_0_276,-5.67283148468816e-05,
alpha_pop,197407.378016722,
beta_alpha_run_id_84,-1.48997809912501e-05,
beta_alpha_run_id_719,-3.84227142481587e-05,
beta_alpha_run_id_488,-6.20413583955879e-05,
beta_alpha_run_id_847,-7.71648623721595e-05,
beta_alpha_run_id_474,0.000378054539756046,
beta_alpha_run_id_462,1.59786810579119e-05,
beta_alpha_run_id_75,-2.13811701144238e-05,
beta_alpha_run_id_291,-6.39485856123726e-05,
beta_alpha_run_id_77,-0.00233275065716496,
beta_alpha_run_id_322,-4.50180585592987e-05,
beta_alpha_run_id_963,-0.00015773653344162,
beta_alpha_run_id_1241,0.000152269936809935,
beta_alpha_run_id_1056,0.000105002834704594,
beta_alpha_run_id_1159,0.000475669491220008,
beta_alpha_run_id_1017,-0.000279159794668381,
beta_alpha_run_id_1197,-0.000329121460518581,
beta_alpha_run_id_745,1.92429122935523e-05,
beta_alpha_run_id_1043,0.000157887848921255,
beta_alpha_run_id_1260,-0.000212026136288389,
beta_alpha_run_id_1042,-6.17661426596307e-05,
beta_alpha_run_id_863,1.77672386537258e-05,
beta_alpha_run_id_152,-0.00041553067599143,
k_pop,14.7058047070779,
beta_k_run_id_84,-0.000220072470517477,
beta_k_run_id_719,1.10726245866861e-05,
beta_k_run_id_488,-6.22863651582112e-06,
beta_k_run_id_847,-1.02107444060203e-05,
beta_k_run_id_474,5.35303726670954e-05,
beta_k_run_id_462,3.39514862378576e-05,
beta_k_run_id_75,-0.000116867606672053,
beta_k_run_id_291,9.45261399082393e-06,
beta_k_run_id_77,-0.000123006355097749,
beta_k_run_id_322,-0.000153528772917473,
beta_k_run_id_963,-1.23904731215364e-05,
beta_k_run_id_1241,7.299664433441e-05,
beta_k_run_id_1056,0.000139328367261929,
beta_k_run_id_1159,1.12832010353169e-05,
beta_k_run_id_1017,0.000166932468563691,
beta_k_run_id_1197,0.000129606258360895,
beta_k_run_id_745,-8.55253630616312e-06,
beta_k_run_id_1043,-8.61681352356476e-06,
beta_k_run_id_1260,1.92539430667924e-07,
beta_k_run_id_1042,8.02523462376623e-05,
beta_k_run_id_863,-0.000183578792521422,
beta_k_run_id_152,-1.17872944224317e-05,
omega_m,0.942116228955484,52.3189992909954
a,491.626906052349,
b,0.354904286573262,
