rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,474.605,1.37469,9.25239,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|2|1|162,474.605,1.37469,0.663154,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|3|1|162,474.605,1.37469,32.8315,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|4|1|162,474.605,1.37469,95.8,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|5|1|162,474.605,1.37469,16.6801,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|6|1|162,474.605,1.37469,9.95436,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|7|1|162,474.605,1.37469,16.9311,67107.4,14.4741,False,69.0|162,84
1,8|84|cc|8|1|162,474.605,1.37469,6.2259,67107.4,14.4741,False,69.0|162,84
1,8|84|sample|10|162,474.605,1.37477,3.1433,67107.4,14.4741,True,32.0|162,84
1,8|84|sample|11|162,474.605,1.37473,2.05447,67107.4,14.4741,True,22.0|162,84
1,8|84|sample|12|162,474.605,1.37473,3.16366,67107.4,14.4741,True,22.0|162,84
1,8|84|sample|3|162,474.605,0.817894,0.786468,67107.4,14.4741,True,55.0|162,84
1,8|84|sample|4|162,474.605,0.817894,1.54601,67107.4,14.4741,True,55.0|162,84
1,8|84|sample|5|162,474.605,0.817894,0.984886,67107.4,14.4741,True,55.0|162,84
1,8|84|sample|6|162,474.605,0.817894,0.837928,67107.4,14.4741,True,55.0|162,84
1,8|84|sample|7|162,474.605,1.37477,2.58506,67107.4,14.4741,True,32.0|162,84
1,8|84|sample|8|162,474.605,1.37477,2.72711,67107.4,14.4741,True,32.0|162,84
1,8|84|sample|9|162,474.605,1.37477,3.06977,67107.4,14.4741,True,32.0|162,84
1,8|84|vc|1|2|162,474.605,1.37469,4.12991,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|2|2|162,474.605,1.37469,5.22568,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|3|2|162,474.605,1.37469,263.072,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|4|2|162,474.605,1.37469,32.8029,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|5|2|162,474.605,1.37469,11.7902,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|6|2|162,474.605,1.37469,18.436,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|7|2|162,474.605,1.37469,31.9966,67107.4,14.4741,False,69.0|162,84
1,8|84|vc|8|2|162,474.605,1.37469,11.7001,67107.4,14.4741,False,69.0|162,84
1,8|719|cc|1|1|274,474.605,1.37472,80.3833,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|2|1|274,474.605,1.37472,4.183,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|3|1|274,474.605,1.37472,48.2611,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|4|1|274,474.605,1.37472,36.7197,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|5|1|274,474.605,1.37472,0.589594,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|6|1|274,474.605,1.37472,0.138443,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|7|1|274,474.605,1.37472,3.54108,67107.4,14.4742,False,69.0|274,719
1,8|719|cc|8|1|274,474.605,1.37472,61.1985,67107.4,14.4742,False,69.0|274,719
1,8|719|sample|10|274,474.605,1.37472,5.79145,67107.4,14.4742,True,32.0|274,719
1,8|719|sample|11|274,474.602,1.3747,9.41443,67107.4,14.4742,True,22.0|274,719
1,8|719|sample|12|274,474.602,1.3747,6.68327,67107.4,14.4742,True,22.0|274,719
1,8|719|sample|3|274,474.605,1.37463,1.00782,67107.4,14.4742,True,55.0|274,719
1,8|719|sample|4|274,474.605,1.37463,0.735238,67107.4,14.4742,True,55.0|274,719
1,8|719|sample|5|274,474.605,1.37463,0.882736,67107.4,14.4742,True,55.0|274,719
1,8|719|sample|6|274,474.605,1.37463,1.05492,67107.4,14.4742,True,55.0|274,719
1,8|719|sample|7|274,474.605,1.37472,5.91878,67107.4,14.4742,True,32.0|274,719
1,8|719|sample|8|274,474.605,1.37472,6.97434,67107.4,14.4742,True,32.0|274,719
1,8|719|sample|9|274,474.605,1.37472,8.53234,67107.4,14.4742,True,32.0|274,719
1,8|719|vc|1|2|274,474.605,1.37472,7.59871,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|2|2|274,474.605,1.37472,0.952587,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|3|2|274,474.605,1.37472,1.87866,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|4|2|274,474.605,1.37472,69.3217,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|5|2|274,474.605,1.37472,4.25188,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|6|2|274,474.605,1.37472,1.28827,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|7|2|274,474.605,1.37472,4.80975,67107.4,14.4742,False,69.0|274,719
1,8|719|vc|8|2|274,474.605,1.37472,18.345,67107.4,14.4742,False,69.0|274,719
1,8|488|cc|1|1|322,474.605,1.37473,0.617615,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|2|1|322,474.605,1.37473,1.06344,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|3|1|322,474.605,1.37473,0.319576,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|4|1|322,474.605,1.37473,20.7042,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|5|1|322,474.605,1.37473,105.545,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|6|1|322,474.605,1.37473,23.7575,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|7|1|322,474.605,1.37473,21.3114,67107.4,14.4741,False,69.0|322,488
1,8|488|cc|8|1|322,474.605,1.37473,26.9868,67107.4,14.4741,False,69.0|322,488
1,8|488|sample|10|322,474.606,0.501127,18.2159,67107.4,14.4741,True,32.0|322,488
1,8|488|sample|11|322,474.605,1.3747,6.359,67107.4,14.4741,True,22.0|322,488
1,8|488|sample|12|322,474.605,1.3747,6.3804,67107.4,14.4741,True,22.0|322,488
1,8|488|sample|3|322,474.605,1.37467,0.315354,67107.4,14.4741,True,55.0|322,488
1,8|488|sample|4|322,474.605,1.37467,0.300307,67107.4,14.4741,True,55.0|322,488
1,8|488|sample|5|322,474.605,1.37467,0.254554,67107.4,14.4741,True,55.0|322,488
1,8|488|sample|6|322,474.605,1.37467,0.203502,67107.4,14.4741,True,55.0|322,488
1,8|488|sample|7|322,474.606,0.501127,14.0688,67107.4,14.4741,True,32.0|322,488
1,8|488|sample|8|322,474.606,0.501127,10.9018,67107.4,14.4741,True,32.0|322,488
1,8|488|sample|9|322,474.606,0.501127,16.5803,67107.4,14.4741,True,32.0|322,488
1,8|488|vc|1|2|322,474.605,1.37473,5.30138,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|2|2|322,474.605,1.37473,0.155368,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|3|2|322,474.605,1.37473,0.630635,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|4|2|322,474.605,1.37473,8.2973,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|5|2|322,474.605,1.37473,2.66455,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|6|2|322,474.605,1.37473,4.56446,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|7|2|322,474.605,1.37473,142.24,67107.4,14.4741,False,69.0|322,488
1,8|488|vc|8|2|322,474.605,1.37473,258.574,67107.4,14.4741,False,69.0|322,488
1,8|847|cc|1|1|69,474.604,1.37472,52.5984,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|2|1|69,474.604,1.37472,5.27165,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|3|1|69,474.604,1.37472,0.936978,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|4|1|69,474.604,1.37472,2.4161,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|5|1|69,474.604,1.37472,7.74487,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|6|1|69,474.604,1.37472,408.898,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|7|1|69,474.604,1.37472,2.59432,67107.4,14.4742,False,69.0|69,847
1,8|847|cc|8|1|69,474.604,1.37472,884.051,67107.4,14.4742,False,69.0|69,847
1,8|847|sample|10|69,474.605,1.37468,27.1321,67107.4,14.4742,True,32.0|69,847
1,8|847|sample|11|69,474.605,1.37478,4.05972,67107.4,14.4742,True,22.0|69,847
1,8|847|sample|12|69,474.605,1.37478,4.32043,67107.4,14.4742,True,22.0|69,847
1,8|847|sample|3|69,474.606,1.37469,0.805741,67107.4,14.4742,True,55.0|69,847
1,8|847|sample|4|69,474.606,1.37469,0.931641,67107.4,14.4742,True,55.0|69,847
1,8|847|sample|5|69,474.606,1.37469,0.189677,67107.4,14.4742,True,55.0|69,847
1,8|847|sample|6|69,474.606,1.37469,0.212777,67107.4,14.4742,True,55.0|69,847
1,8|847|sample|7|69,474.605,1.37468,17.9276,67107.4,14.4742,True,32.0|69,847
