id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,1.8357e-08,0.0578952,-1.42331,0,0,-1.59162e-12,0.0777222,-1.47143,0,0,True,70.0|274,411
9|411|sample|3|274,-3.74013e-07,0.203267,-1.01452,0,0,-5.00222e-12,0.143748,-0.946464,0,0,True,70.0|274,411
9|411|sample|5|274,6.29411e-08,-0.0455233,-1.46075,0,0,-1.13687e-12,-0.0233821,-1.49985,0,0,True,70.0|274,411
9|411|sample|6|274,-7.46026e-08,0.0164429,-1.53695,0,0,-9.66338e-12,-0.0535119,-1.49521,0,0,True,70.0|274,411
9|411|sample|8|274,3.15913e-07,0.0856984,-1.20343,0,0,8.41283e-12,0.0546833,-1.19363,0,0,True,70.0|274,411
9|411|sample|7|274,-1.61089e-10,0.0109238,-1.07442,0,0,-6.13909e-12,0.0948315,-1.16041,0,0,True,70.0|274,411
9|411|sample|9|274,-1.40867e-08,0.0094769,-1.42486,0,0,2.27374e-12,0.035611,-1.42731,0,0,True,70.0|274,411
9|411|sample|10|274,-5.08805e-08,-0.011661,-1.55319,0,0,-2.72848e-12,-0.0104725,-1.56057,0,0,True,70.0|274,411
9|411|sample|12|274,-2.55372e-08,0.071234,-1.1041,0,0,-3.41061e-13,0.0334562,-1.07049,0,0,True,70.0|274,411
9|411|sample|11|274,1.84951e-07,0.0404225,-1.16992,0,0,2.50111e-12,0.0016884,-1.13599,0,0,True,70.0|274,411
9|411|cc|1|1|274,-6.82849e-08,0.0212095,0.0992493,0,0,-1.13687e-12,-1.00702e-07,1.03263e-06,0,0,False,69.0|274,411
9|411|cc|2|1|274,-6.22162e-08,-0.0367371,-0.0887182,0,0,2.27374e-13,1.7204e-07,1.57661e-07,0,0,False,69.0|274,411
9|411|cc|3|1|274,-2.557e-08,-0.0314123,0.132757,0,0,6.82121e-13,-2.09184e-07,2.68684e-07,0,0,False,69.0|274,411
9|411|cc|4|1|274,1.66316e-07,0.0084149,0.0055621,0,0,0.0,-2.85311e-08,4.53657e-07,0,0,False,69.0|274,411
9|411|cc|5|1|274,-5.90264e-08,-0.0186186,-0.0491689,0,0,-9.09495e-13,-1.00669e-07,-8.94572e-08,0,0,False,69.0|274,411
9|411|cc|6|1|274,-1.96532e-07,0.0063238,0.0376707,0,0,-9.09495e-13,-8.12589e-08,1.08997e-07,0,0,False,69.0|274,411
9|411|cc|7|1|274,-1.24622e-07,-0.0192615,-0.101663,0,0,3.41061e-13,3.05701e-08,3.87679e-07,0,0,False,69.0|274,411
9|411|cc|8|1|274,3.06732e-08,-0.0264096,0.0566101,0,0,-2.27374e-13,-4.78718e-08,-7.98012e-08,0,0,False,69.0|274,411
9|411|vc|1|2|274,7.36207e-08,-0.0319433,0.156062,0,0,-4.54747e-13,-7.74827e-08,3.11257e-07,0,0,False,69.0|274,411
9|411|vc|2|2|274,2.32606e-07,0.0297048,0.168282,0,0,1.13687e-13,-9.66707e-08,8.55781e-07,0,0,False,69.0|274,411
9|411|vc|3|2|274,1.84203e-07,0.026108,-0.116116,0,0,-3.41061e-13,2.21116e-08,-9.08086e-08,0,0,False,69.0|274,411
9|411|vc|4|2|274,-7.6537e-08,0.0362384,-0.0699818,0,0,2.27374e-13,5.9535e-08,1.69876e-08,0,0,False,69.0|274,411
9|411|vc|5|2|274,-5.50521e-08,0.0590044,-0.263126,0,0,-6.82121e-13,5.33112e-08,-2.64345e-07,0,0,False,69.0|274,411
9|411|vc|6|2|274,1.18703e-07,-0.0181083,-0.0371919,0,0,0.0,1.67178e-07,6.33793e-08,0,0,False,69.0|274,411
9|411|vc|7|2|274,1.2697e-07,-0.0514971,0.0167567,0,0,1.02318e-12,-5.59188e-08,3.93032e-07,0,0,False,69.0|274,411
9|411|vc|8|2|274,-4.39068e-08,-0.0203172,0.0812308,0,0,3.41061e-13,-6.94995e-09,4.52037e-08,0,0,False,69.0|274,411
14|783|sample|3|71,2.09921e-07,-0.622524,-4.48854,0,0,-1.36424e-12,-0.60538,-4.53198,0,0,True,6.0|71,783
14|783|sample|4|71,1.14345e-07,-0.633988,-4.50286,0,0,6.59384e-12,-0.657634,-4.39408,0,0,True,6.0|71,783
14|783|sample|5|71,-9.98088e-08,-0.676798,-3.42023,0,0,1.36424e-12,-0.67484,-3.35936,0,0,True,6.0|71,783
14|783|sample|6|71,7.23345e-08,-0.690684,-3.32602,0,0,5.68434e-13,-0.689079,-3.29411,0,0,True,6.0|71,783
14|783|sample|7|71,-2.52508e-07,0.0285806,0.875456,0,0,-2.27374e-12,-0.0650019,0.942926,0,0,True,6.0|71,783
14|783|sample|8|71,-1.31296e-07,-0.0076052,0.778171,0,0,-2.27374e-12,-0.0687216,0.80495,0,0,True,6.0|71,783
14|783|sample|10|71,-6.02623e-08,-0.636818,-4.4593,0,0,2.16005e-12,-0.61148,-4.4947,0,0,True,6.0|71,783
14|783|sample|9|71,-1.07561e-07,-0.553507,-4.72739,0,0,-3.86535e-12,-0.613427,-4.56805,0,0,True,6.0|71,783
14|783|sample|12|71,3.36166e-07,0.219287,1.84334,0,0,1.36424e-12,0.207121,1.80459,0,0,True,6.0|71,783
14|783|sample|11|71,-2.01704e-08,0.311009,1.7988,0,0,3.86535e-12,0.273413,1.82804,0,0,True,6.0|71,783
14|783|cc|1|1|71,-1.04325e-07,0.0233646,0.107811,0,0,1.13687e-13,1.70856e-08,6.22978e-07,0,0,False,69.0|71,783
14|783|cc|2|1|71,-7.95588e-08,0.0453746,0.211856,0,0,7.95808e-13,-1.64213e-07,4.17747e-07,0,0,False,69.0|71,783
14|783|cc|3|1|71,-1.82877e-07,-0.0645673,-0.0693172,0,0,0.0,8.03296e-08,-2.73474e-07,0,0,False,69.0|71,783
14|783|cc|4|1|71,-1.59452e-07,0.0296662,-0.130395,0,0,-2.27374e-13,-1.04499e-08,3.55429e-07,0,0,False,69.0|71,783
14|783|cc|5|1|71,-1.04979e-07,0.0251785,-0.121601,0,0,6.82121e-13,5.00533e-08,-5.60373e-08,0,0,False,69.0|71,783
14|783|cc|6|1|71,-5.12947e-08,0.0141563,0.131558,0,0,2.27374e-13,1.8913e-08,-4.51881e-07,0,0,False,69.0|71,783
14|783|cc|7|1|71,-1.94798e-07,-0.00491964,0.215476,0,0,0.0,-9.85279e-08,1.99095e-07,0,0,False,69.0|71,783
14|783|cc|8|1|71,-2.98041e-07,-0.072386,0.130469,0,0,-1.02318e-12,1.16e-07,1.96299e-07,0,0,False,69.0|71,783
14|783|vc|1|2|71,4.92574e-08,-0.0159566,-0.180167,0,0,9.09495e-13,1.10916e-07,3.93417e-07,0,0,False,69.0|71,783
14|783|vc|2|2|71,8.01188e-08,0.011056,0.091235,0,0,2.27374e-13,5.40462e-08,-2.10671e-07,0,0,False,69.0|71,783
14|783|vc|3|2|71,1.14124e-07,-0.0335907,4.59589e-05,0,0,-9.09495e-13,1.23007e-07,-6.78326e-08,0,0,False,69.0|71,783
