id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,770.499,1.40935,1.90158,8615.86,12.1309,770.499,1.42612,1.80723,8632.98,12.131,True,70.0|274,411
9|411|sample|3|274,770.499,1.55472,2.85276,8615.86,12.1309,770.499,1.49214,3.05495,8632.98,12.131,True,70.0|274,411
9|411|sample|5|274,770.499,1.30593,1.83537,8615.86,12.1309,770.499,1.32501,1.7566,8632.98,12.131,True,70.0|274,411
9|411|sample|6|274,770.499,1.36789,1.70579,8615.86,12.1309,770.499,1.29488,1.76476,8632.98,12.131,True,70.0|274,411
9|411|sample|8|274,770.499,1.43715,2.37116,8615.86,12.1309,770.499,1.40308,2.38595,8632.98,12.131,True,70.0|274,411
9|411|sample|7|274,770.499,1.36238,2.69006,8615.86,12.1309,770.499,1.44322,2.46654,8632.98,12.131,True,70.0|274,411
9|411|sample|9|274,770.499,1.36093,1.90546,8615.86,12.1309,770.499,1.384,1.88875,8632.98,12.131,True,70.0|274,411
9|411|sample|10|274,770.499,1.33979,1.68038,8615.86,12.1309,770.499,1.33792,1.65311,8632.98,12.131,True,70.0|274,411
9|411|sample|12|274,770.499,1.42269,2.61742,8615.86,12.1309,770.499,1.38185,2.69861,8632.98,12.131,True,70.0|274,411
9|411|sample|11|274,770.499,1.39187,2.45438,8615.86,12.1309,770.499,1.35008,2.52751,8632.98,12.131,True,70.0|274,411
9|411|cc|1|1|274,768.368,2.25227,0.0544836,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|2|1|274,768.368,2.19433,0.0308144,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|3|1|274,768.368,2.19965,0.0889852,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|4|1|274,768.368,2.23948,0.0443474,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|5|1|274,768.368,2.21245,0.0487462,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|6|1|274,768.368,2.23739,0.0515226,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|7|1|274,768.368,2.2118,0.0420131,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|cc|8|1|274,768.368,2.20465,0.0642445,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|vc|1|2|274,768.368,2.19912,0.0574364,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
9|411|vc|2|2|274,768.368,2.26077,0.0541559,8615.86,12.1309,768.368,2.23409,0.00563807,8632.98,12.131,False,69.0|274,411
