rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,-8.57621e-07,-0.08369,-1.25481,0,0,True,70.0|274,411
1,9|411|sample|3|274,3.4233e-06,0.098598,-0.872126,0,0,True,70.0|274,411
1,9|411|sample|5|274,-9.73682e-08,-0.188083,-1.25313,0,0,True,70.0|274,411
1,9|411|sample|6|274,-8.55689e-07,0.0877666,-1.69776,0,0,True,70.0|274,411
1,9|411|sample|8|274,3.65276e-10,0.0621502,-1.22976,0,0,True,70.0|274,411
1,9|411|sample|7|274,8.26472e-07,-0.115964,-1.01331,0,0,True,70.0|274,411
1,9|411|sample|9|274,5.11256e-06,-0.249876,-1.35926,0,0,True,70.0|274,411
1,9|411|sample|10|274,1.32515e-07,0.159049,-1.57115,0,0,True,70.0|274,411
1,9|411|sample|12|274,-5.21832e-06,0.322403,-1.11917,0,0,True,70.0|274,411
1,9|411|sample|11|274,-1.96655e-06,0.114345,-1.26033,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,-1.07296e-06,0.36752,1.50104,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,-2.68894e-06,-0.58723,3.32266,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,-1.17032e-06,0.0609849,2.75775,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,1.12543e-06,-0.579279,3.36685,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,-5.20007e-06,-0.252899,-1.73482,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,-2.76214e-07,0.278666,2.75959,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,-4.82178e-06,0.099549,2.84521,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,-4.5166e-07,-0.582899,6.34102,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,1.8011e-06,0.490225,-0.0181248,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,-5.33323e-06,0.615226,-1.22976,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,-1.44942e-06,-0.285924,-4.40957,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,-5.99161e-07,-0.114489,0.531563,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,1.7329e-06,-0.524746,-0.33329,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,2.78381e-07,-0.369678,2.99838,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,1.48231e-07,-0.484827,-0.48708,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,1.79743e-06,-0.131926,-0.212467,0,0,False,69.0|274,411
1,14|783|sample|3|71,-1.23714e-06,-0.272852,-5.1031,0,0,True,6.0|71,783
1,14|783|sample|4|71,-6.47237e-07,-0.700475,-4.42182,0,0,True,6.0|71,783
1,14|783|sample|5|71,-2.2734e-06,-0.677921,-3.27582,0,0,True,6.0|71,783
1,14|783|sample|6|71,-2.29322e-06,-0.702551,-3.34917,0,0,True,6.0|71,783
1,14|783|sample|7|71,-1.69509e-06,0.50738,0.584259,0,0,True,6.0|71,783
1,14|783|sample|8|71,-8.85559e-07,-0.105556,0.84434,0,0,True,6.0|71,783
1,14|783|sample|10|71,9.17881e-07,-0.441672,-4.73266,0,0,True,6.0|71,783
1,14|783|sample|9|71,-2.21834e-06,-0.610145,-4.52968,0,0,True,6.0|71,783
1,14|783|sample|12|71,-2.7959e-07,0.607217,1.65242,0,0,True,6.0|71,783
1,14|783|sample|11|71,1.6365e-06,0.348752,1.60243,0,0,True,6.0|71,783
1,14|783|cc|1|1|71,1.32389e-06,-0.394905,-2.25031,0,0,False,69.0|71,783
1,14|783|cc|2|1|71,1.24272e-06,0.163608,5.0781,0,0,False,69.0|71,783
1,14|783|cc|3|1|71,-2.99275e-06,0.0396286,4.77783,0,0,False,69.0|71,783
1,14|783|cc|4|1|71,-3.16036e-06,-0.0255882,-3.5031,0,0,False,69.0|71,783
1,14|783|cc|5|1|71,-3.43372e-06,0.237076,-2.64213,0,0,False,69.0|71,783
1,14|783|cc|6|1|71,-4.57645e-06,0.154474,0.990738,0,0,False,69.0|71,783
1,14|783|cc|7|1|71,-4.15444e-07,-0.128423,0.593692,0,0,False,69.0|71,783
1,14|783|cc|8|1|71,6.58398e-07,-0.302965,1.38967,0,0,False,69.0|71,783
1,14|783|vc|1|2|71,-1.8104e-06,-0.0463381,-2.46599,0,0,False,69.0|71,783
1,14|783|vc|2|2|71,-7.67081e-07,0.690676,2.48694,0,0,False,69.0|71,783
1,14|783|vc|3|2|71,3.77371e-06,-0.483323,0.0758053,0,0,False,69.0|71,783
1,14|783|vc|4|2|71,2.45317e-06,0.202596,2.87529,0,0,False,69.0|71,783
1,14|783|vc|5|2|71,3.52278e-07,0.496871,2.27116,0,0,False,69.0|71,783
1,14|783|vc|6|2|71,-3.65634e-06,0.263921,-2.78232,0,0,False,69.0|71,783
1,14|783|vc|7|2|71,-3.88276e-07,0.619248,-0.365584,0,0,False,69.0|71,783
1,14|783|vc|8|2|71,3.61586e-06,-0.891124,0.45983,0,0,False,69.0|71,783
1,14|491|sample|10|99,-7.82967e-07,0.103774,3.05619,0,0,True,6.0|99,491
1,14|491|sample|9|99,2.60287e-07,0.518739,2.73145,0,0,True,6.0|99,491
1,14|491|sample|12|99,1.76326e-06,0.0012104,1.77064,0,0,True,6.0|99,491
1,14|491|sample|11|99,1.82502e-06,0.0788322,1.51601,0,0,True,6.0|99,491
1,14|491|sample|4|99,1.87274e-06,0.263619,0.494318,0,0,True,44.0|99,491
1,14|491|sample|3|99,1.14583e-06,0.287682,0.28797,0,0,True,44.0|99,491
1,14|491|sample|6|99,1.30204e-06,-0.124257,0.406774,0,0,True,44.0|99,491
1,14|491|sample|5|99,2.98271e-06,-0.363911,0.678161,0,0,True,44.0|99,491
1,14|491|sample|7|99,1.16222e-06,-0.208399,3.7773,0,0,True,63.0|99,491
1,14|491|sample|8|99,5.02669e-07,0.129233,3.97891,0,0,True,63.0|99,491
1,14|491|cc|1|1|99,-1.64721e-06,0.259065,-2.19386,0,0,False,69.0|99,491
1,14|491|cc|2|1|99,2.62042e-06,-0.0483852,1.88499,0,0,False,69.0|99,491
1,14|491|cc|3|1|99,2.87847e-06,-0.366787,-1.1813,0,0,False,69.0|99,491
1,14|491|cc|4|1|99,-3.73438e-07,-0.262311,-1.65503,0,0,False,69.0|99,491
1,14|491|cc|5|1|99,1.43943e-07,-1.18807,-1.54398,0,0,False,69.0|99,491
1,14|491|cc|6|1|99,1.06094e-06,-0.320975,-0.927686,0,0,False,69.0|99,491
1,14|491|cc|7|1|99,4.53076e-06,0.281676,5.22249,0,0,False,69.0|99,491
1,14|491|cc|8|1|99,1.73626e-06,-0.0227977,2.07854,0,0,False,69.0|99,491
1,14|491|vc|1|2|99,-5.00886e-06,-0.0730629,-2.64628,0,0,False,69.0|99,491
1,14|491|vc|2|2|99,-2.04089e-06,0.260582,-0.333214,0,0,False,69.0|99,491
1,14|491|vc|3|2|99,3.28214e-06,-0.454486,1.67719,0,0,False,69.0|99,491
1,14|491|vc|4|2|99,2.25069e-06,0.24938,-1.90718,0,0,False,69.0|99,491
1,14|491|vc|5|2|99,2.30629e-06,-0.286928,0.557686,0,0,False,69.0|99,491
1,14|491|vc|6|2|99,3.91877e-06,-0.334131,1.24501,0,0,False,69.0|99,491
1,14|491|vc|7|2|99,1.3153e-06,-0.322937,4.15758,0,0,False,69.0|99,491
1,14|491|vc|8|2|99,9.99276e-07,-0.229537,1.63317,0,0,False,69.0|99,491
1,14|433|sample|4|99,-5.73457e-07,-0.719078,3.64486,0,0,True,6.0|99,433
1,14|433|sample|3|99,3.91538e-07,-0.410092,2.45205,0,0,True,6.0|99,433
1,14|433|sample|6|99,-2.28916e-06,-0.16876,-1.88233,0,0,True,6.0|99,433
1,14|433|sample|5|99,-4.0822e-07,-0.425429,-1.20405,0,0,True,6.0|99,433
1,14|433|sample|8|99,-2.82594e-06,0.347308,2.49594,0,0,True,6.0|99,433
1,14|433|sample|7|99,-4.26951e-07,0.392233,2.44438,0,0,True,6.0|99,433
1,14|433|sample|10|99,2.27019e-06,-0.0106177,0.503799,0,0,True,6.0|99,433
1,14|433|sample|9|99,7.32846e-07,-0.136754,0.548044,0,0,True,6.0|99,433
1,14|433|sample|11|99,1.34178e-06,-0.305357,-0.59701,0,0,True,6.0|99,433
1,14|433|sample|12|99,-6.15482e-07,-0.384299,-0.20202,0,0,True,6.0|99,433
1,14|433|cc|1|1|99,-6.94251e-07,-0.136877,1.53296,0,0,False,69.0|99,433
1,14|433|cc|2|1|99,-6.76457e-07,0.78888,-0.441602,0,0,False,69.0|99,433
1,14|433|cc|3|1|99,2.6002e-06,0.861874,3.86096,0,0,False,69.0|99,433
1,14|433|cc|4|1|99,-2.1685e-07,0.978871,3.16829,0,0,False,69.0|99,433
1,14|433|cc|5|1|99,6.61231e-06,-0.415392,-3.24852,0,0,False,69.0|99,433
1,14|433|cc|6|1|99,6.27973e-07,-0.259042,1.8146,0,0,False,69.0|99,433
1,14|433|cc|7|1|99,-1.23595e-06,-0.568427,2.10271,0,0,False,69.0|99,433
1,14|433|cc|8|1|99,-4.58004e-07,0.197326,-0.0556127,0,0,False,69.0|99,433
1,14|433|vc|1|2|99,2.53614e-06,0.320258,-2.08447,0,0,False,69.0|99,433
1,14|433|vc|2|2|99,-1.60649e-06,0.224,1.35943,0,0,False,69.0|99,433
1,14|433|vc|3|2|99,9.93994e-07,0.336019,-1.64398,0,0,False,69.0|99,433
1,14|433|vc|4|2|99,1.124e-06,0.148931,0.685029,0,0,False,69.0|99,433
1,14|433|vc|5|2|99,2.77669e-06,-0.243942,-5.53485,0,0,False,69.0|99,433
1,14|433|vc|6|2|99,-2.53506e-06,0.0648168,5.04791,0,0,False,69.0|99,433
1,14|433|vc|7|2|99,5.18215e-06,0.255115,-0.938939,0,0,False,69.0|99,433
1,14|433|vc|8|2|99,4.76413e-07,0.0123587,-1.78009,0,0,False,69.0|99,433
1,14|297|sample|3|71,6.85491e-07,-0.406901,-0.640942,0,0,True,6.0|71,297
1,14|297|sample|4|71,1.8266e-06,-0.369265,-0.582489,0,0,True,6.0|71,297
1,14|297|sample|5|71,2.97345e-06,0.442157,1.68402,0,0,True,6.0|71,297
1,14|297|sample|6|71,2.79369e-06,0.8671,1.24307,0,0,True,6.0|71,297
1,14|297|sample|8|71,1.68941e-06,0.315457,0.490443,0,0,True,6.0|71,297
1,14|297|sample|7|71,6.7184e-07,0.642783,0.538512,0,0,True,6.0|71,297
1,14|297|sample|9|71,-9.53559e-07,0.538165,0.978011,0,0,True,6.0|71,297
1,14|297|sample|10|71,-2.35428e-06,0.207632,1.40806,0,0,True,6.0|71,297
1,14|297|sample|12|71,3.99742e-06,-0.686435,-1.39935,0,0,True,6.0|71,297
1,14|297|sample|11|71,-7.88392e-07,-0.173502,-2.91144,0,0,True,6.0|71,297
1,14|297|cc|1|1|71,-1.35815e-06,-0.0843064,-3.31804,0,0,False,69.0|71,297
1,14|297|cc|2|1|71,1.32264e-06,-0.451047,3.7731,0,0,False,69.0|71,297
1,14|297|cc|3|1|71,-1.35945e-07,-0.312671,-0.493017,0,0,False,69.0|71,297
1,14|297|cc|4|1|71,2.87e-06,-0.335276,-0.20053,0,0,False,69.0|71,297
1,14|297|cc|5|1|71,-3.76653e-07,-0.220898,-0.456179,0,0,False,69.0|71,297
1,14|297|cc|6|1|71,1.07472e-06,0.792834,-1.53888,0,0,False,69.0|71,297
1,14|297|cc|7|1|71,4.05243e-06,0.339635,0.148695,0,0,False,69.0|71,297
1,14|297|cc|8|1|71,3.11153e-07,0.432664,1.11581,0,0,False,69.0|71,297
1,14|297|vc|1|2|71,-2.54408e-06,0.731898,-0.719735,0,0,False,69.0|71,297
1,14|297|vc|2|2|71,-3.95467e-06,-0.109682,-0.748491,0,0,False,69.0|71,297
1,14|297|vc|3|2|71,-1.56456e-06,-0.544462,-0.81406,0,0,False,69.0|71,297
1,14|297|vc|4|2|71,-3.1766e-06,0.267719,-1.2193,0,0,False,69.0|71,297
1,14|297|vc|5|2|71,-9.47178e-07,0.549847,2.03117,0,0,False,69.0|71,297
1,14|297|vc|6|2|71,1.94541e-06,0.986396,-3.71949,0,0,False,69.0|71,297
1,14|297|vc|7|2|71,2.36441e-06,0.0951516,0.280502,0,0,False,69.0|71,297
1,14|297|vc|8|2|71,1.26978e-06,-0.195168,-1.52956,0,0,False,69.0|71,297
1,14|183|sample|4|233,2.96401e-06,0.681477,-0.761008,0,0,True,6.0|233,183
1,14|183|sample|3|233,-2.63229e-08,0.67149,-0.824478,0,0,True,6.0|233,183
1,14|183|sample|6|233,-1.23703e-06,0.0869047,-0.0422932,0,0,True,6.0|233,183
1,14|183|sample|5|233,4.77364e-07,0.0858828,-0.325858,0,0,True,6.0|233,183
1,14|183|sample|7|233,1.43084e-06,0.366885,-1.04028,0,0,True,6.0|233,183
1,14|183|sample|8|233,5.19545e-06,0.759888,-1.02739,0,0,True,6.0|233,183
1,14|183|sample|10|233,-1.16033e-06,0.343026,0.0616701,0,0,True,6.0|233,183
1,14|183|sample|9|233,1.04249e-06,0.370384,0.0190712,0,0,True,6.0|233,183
1,14|183|sample|12|233,-3.2792e-06,-0.217915,-1.0781,0,0,True,6.0|233,183
1,14|183|sample|11|233,1.07455e-06,0.213231,-2.40366,0,0,True,6.0|233,183
1,14|183|cc|1|1|233,3.91506e-07,0.174823,-0.680083,0,0,False,69.0|233,183
1,14|183|cc|2|1|233,-1.43677e-06,-0.230401,1.0654,0,0,False,69.0|233,183
1,14|183|cc|3|1|233,3.88828e-06,0.485412,1.10632,0,0,False,69.0|233,183
1,14|183|cc|4|1|233,1.32382e-06,-0.133985,-2.56702,0,0,False,69.0|233,183
1,14|183|cc|5|1|233,-1.12042e-06,-0.368734,-0.624338,0,0,False,69.0|233,183
1,14|183|cc|6|1|233,1.07011e-06,-0.18184,-0.718706,0,0,False,69.0|233,183
1,14|183|cc|7|1|233,-1.66173e-06,0.142371,-1.88805,0,0,False,69.0|233,183
1,14|183|cc|8|1|233,-3.29465e-06,0.173907,1.87777,0,0,False,69.0|233,183
1,14|183|vc|1|2|233,2.48273e-06,0.57683,1.18081,0,0,False,69.0|233,183
1,14|183|vc|2|2|233,7.766e-07,-0.199866,-0.838733,0,0,False,69.0|233,183
1,14|183|vc|3|2|233,1.78107e-06,-0.186227,-2.00903,0,0,False,69.0|233,183
1,14|183|vc|4|2|233,8.55713e-07,-0.160249,-0.529923,0,0,False,69.0|233,183
1,14|183|vc|5|2|233,3.87199e-06,0.153323,-1.63027,0,0,False,69.0|233,183
1,14|183|vc|6|2|233,6.20789e-07,-0.228015,-2.4095,0,0,False,69.0|233,183
1,14|183|vc|7|2|233,-2.46275e-06,-0.401689,-1.86918,0,0,False,69.0|233,183
1,14|183|vc|8|2|233,3.4485e-06,-0.201037,2.77844,0,0,False,69.0|233,183
1,14|705|sample|3|233,1.60335e-06,-0.330417,1.1608,0,0,False,6.0|233,705
1,14|705|sample|4|233,4.80142e-07,-0.111139,1.24142,0,0,False,6.0|233,705
1,14|705|sample|5|233,-2.13132e-06,-0.154385,1.68708,0,0,False,6.0|233,705
1,14|705|sample|6|233,5.92295e-07,-0.0455075,-0.374851,0,0,False,6.0|233,705
1,14|705|sample|7|233,-4.76075e-09,-0.528678,1.56086,0,0,False,6.0|233,705
1,14|705|sample|8|233,-1.1686e-06,-0.0910502,0.79166,0,0,False,6.0|233,705
1,14|705|sample|10|233,-6.65774e-07,0.109761,-0.116539,0,0,True,6.0|233,705
1,14|705|sample|9|233,-5.40252e-06,0.037722,-0.466107,0,0,True,6.0|233,705
1,14|705|sample|12|233,1.30202e-08,-0.412864,0.695557,0,0,True,6.0|233,705
1,14|705|sample|11|233,-2.84915e-06,0.605988,-0.746936,0,0,True,6.0|233,705
1,14|705|cc|1|1|233,-2.89657e-06,0.233321,-1.36877,0,0,False,69.0|233,705
1,14|705|cc|2|1|233,-8.72556e-07,-0.0912322,2.73894,0,0,False,69.0|233,705
1,14|705|cc|3|1|233,-1.88163e-09,-0.54172,1.56916,0,0,False,69.0|233,705
1,14|705|cc|4|1|233,-1.64805e-06,1.11517,2.87487,0,0,False,69.0|233,705
1,14|705|cc|5|1|233,4.04361e-06,-0.261861,-0.478358,0,0,False,69.0|233,705
1,14|705|cc|6|1|233,-2.54182e-06,-0.280337,0.0642924,0,0,False,69.0|233,705
1,14|705|cc|7|1|233,3.85642e-07,-0.0650877,1.17341,0,0,False,69.0|233,705
1,14|705|cc|8|1|233,1.22878e-06,0.129456,2.86732,0,0,False,69.0|233,705
1,14|705|vc|1|2|233,1.48152e-06,0.53869,0.335025,0,0,False,69.0|233,705
1,14|705|vc|2|2|233,-2.72987e-07,-0.0866706,0.872776,0,0,False,69.0|233,705
1,14|705|vc|3|2|233,6.56037e-06,0.667244,0.195703,0,0,False,69.0|233,705
1,14|705|vc|4|2|233,6.96273e-07,0.167521,0.888187,0,0,False,69.0|233,705
1,14|705|vc|5|2|233,-1.59865e-06,-1.13047,0.111095,0,0,False,69.0|233,705
1,14|705|vc|6|2|233,-8.52702e-07,-0.466996,2.20915,0,0,False,69.0|233,705
1,14|705|vc|7|2|233,-1.33419e-07,0.677324,-1.38184,0,0,False,69.0|233,705
1,14|705|vc|8|2|233,-8.00908e-07,-0.259925,-3.031,0,0,False,69.0|233,705
1,14|555|sample|4|233,-9.06805e-07,-0.225699,-3.37707,0,0,True,6.0|233,555
1,14|555|sample|3|233,3.07929e-07,-0.584954,-2.30628,0,0,True,6.0|233,555
1,14|555|sample|5|233,-1.48494e-06,-0.309864,-2.87525,0,0,True,6.0|233,555
1,14|555|sample|6|233,-1.53184e-06,-0.553262,-2.73105,0,0,True,6.0|233,555
1,14|555|sample|7|233,-4.67825e-06,-0.0250544,-0.349085,0,0,True,6.0|233,555
1,14|555|sample|8|233,1.94616e-07,0.653101,-0.818914,0,0,True,6.0|233,555
1,14|555|sample|9|233,-5.85699e-07,-0.342618,-3.03126,0,0,True,6.0|233,555
1,14|555|sample|10|233,-2.64347e-06,-0.302409,-3.17517,0,0,True,6.0|233,555
1,14|555|sample|12|233,-4.36477e-06,0.207508,0.22965,0,0,True,6.0|233,555
1,14|555|sample|11|233,7.02723e-07,-0.11888,0.797917,0,0,True,6.0|233,555
1,14|555|cc|1|1|233,-1.83276e-06,-0.0313712,-3.36675,0,0,False,69.0|233,555
1,14|555|cc|2|1|233,-9.4293e-07,-0.820411,1.80475,0,0,False,69.0|233,555
1,14|555|cc|3|1|233,3.18007e-06,-0.147851,0.646884,0,0,False,69.0|233,555
1,14|555|cc|4|1|233,2.33654e-07,-0.461395,-3.27084,0,0,False,69.0|233,555
1,14|555|cc|5|1|233,6.15175e-08,0.0386984,-2.28579,0,0,False,69.0|233,555
1,14|555|cc|6|1|233,8.02532e-07,0.0243575,3.53856,0,0,False,69.0|233,555
1,14|555|cc|7|1|233,1.95232e-06,0.955832,-0.289122,0,0,False,69.0|233,555
1,14|555|cc|8|1|233,-2.43848e-06,0.430103,0.0983902,0,0,False,69.0|233,555
