id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,-5.07967e-09,0.131178,1.53714,0,0,9.09495e-12,0.0635,1.46912,0,0,True,70.0|274,411
9|411|sample|3|274,-4.08236e-07,0.146955,0.94566,0,0,-4.54747e-13,0.106844,0.924036,0,0,True,70.0|274,411
9|411|sample|5|274,-2.54971e-07,0.0530222,1.51521,0,0,2.6148e-12,0.0346341,1.53603,0,0,True,70.0|274,411
9|411|sample|6|274,3.15472e-07,0.0102139,1.57692,0,0,1.22782e-11,-0.0218247,1.51641,0,0,True,70.0|274,411
9|411|sample|8|274,-7.27305e-09,0.0711203,1.20687,0,0,-3.75167e-12,0.0397198,1.19242,0,0,True,70.0|274,411
9|411|sample|7|274,-2.2082e-07,0.0779429,1.19277,0,0,-6.0254e-12,0.0784742,1.15558,0,0,True,70.0|274,411
9|411|sample|9|274,3.22133e-08,0.156924,1.5189,0,0,-3.63798e-12,0.0650006,1.44242,0,0,True,70.0|274,411
9|411|sample|10|274,2.71377e-07,0.0490845,1.5734,0,0,2.04636e-12,0.0447169,1.59211,0,0,True,70.0|274,411
9|411|sample|12|274,-4.93415e-07,0.00627678,0.952354,0,0,2.04636e-12,-0.0451601,0.913131,0,0,True,70.0|274,411
9|411|sample|11|274,7.79363e-09,-0.0178935,1.12544,0,0,-5.00222e-12,-0.0221403,1.13096,0,0,True,70.0|274,411
9|411|cc|1|1|274,1.09148e-07,0.0146533,0.125964,0,0,-5.68434e-13,-7.27152e-10,-1.29166e-07,0,0,False,69.0|274,411
9|411|cc|2|1|274,-9.34665e-08,-0.0213177,-0.244392,0,0,5.68434e-13,-1.10724e-07,1.10576e-07,0,0,False,69.0|274,411
9|411|cc|3|1|274,-1.57725e-07,-0.0606124,0.0215927,0,0,1.13687e-13,1.13712e-07,2.97279e-08,0,0,False,69.0|274,411
9|411|cc|4|1|274,1.88397e-07,0.046923,-0.052742,0,0,0.0,-5.90101e-08,4.43058e-07,0,0,False,69.0|274,411
9|411|cc|5|1|274,9.98521e-08,-0.01631,0.0423552,0,0,0.0,2.67366e-08,-4.63081e-07,0,0,False,69.0|274,411
9|411|cc|6|1|274,-3.20463e-07,0.0217665,0.0449083,0,0,4.54747e-13,7.72065e-08,-1.13875e-07,0,0,False,69.0|274,411
9|411|cc|7|1|274,-2.4406e-07,-0.0358477,-0.221996,0,0,-7.95808e-13,5.94506e-08,4.12647e-08,0,0,False,69.0|274,411
9|411|cc|8|1|274,6.47424e-08,-0.0474711,-0.0580802,0,0,2.27374e-13,-4.01056e-08,4.31978e-07,0,0,False,69.0|274,411
9|411|vc|1|2|274,-2.18992e-08,-0.041073,0.208939,0,0,0.0,6.5373e-08,-2.49236e-07,0,0,False,69.0|274,411
9|411|vc|2|2|274,3.94711e-07,0.0016604,0.0937144,0,0,-5.68434e-13,-1.24756e-07,-2.3495e-07,0,0,False,69.0|274,411
9|411|vc|3|2|274,9.49818e-08,0.0339039,0.0181669,0,0,-4.54747e-13,-6.36868e-08,1.09062e-07,0,0,False,69.0|274,411
9|411|vc|4|2|274,-3.10949e-08,0.0354351,0.0513167,0,0,-6.82121e-13,-6.55133e-08,1.35569e-07,0,0,False,69.0|274,411
9|411|vc|5|2|274,-1.67442e-07,0.0542547,-0.314554,0,0,6.82121e-13,6.2936e-08,-5.9191e-07,0,0,False,69.0|274,411
9|411|vc|6|2|274,5.39045e-08,-0.0306121,-0.130919,0,0,5.68434e-13,9.01086e-08,-2.10391e-07,0,0,False,69.0|274,411
9|411|vc|7|2|274,8.15419e-08,-0.0497069,-0.0114371,0,0,-2.27374e-13,4.07008e-08,2.37712e-07,0,0,False,69.0|274,411
9|411|vc|8|2|274,-8.88226e-08,-0.0420616,0.131197,0,0,-1.13687e-13,-1.76839e-08,-3.78885e-07,0,0,False,69.0|274,411
14|783|sample|3|71,2.89994e-07,-0.568443,4.68093,0,0,-5.34328e-12,-0.558383,4.62126,0,0,True,6.0|71,783
14|783|sample|4|71,7.41272e-08,-0.656415,4.47907,0,0,6.82121e-13,-0.623229,4.48646,0,0,True,6.0|71,783
14|783|sample|5|71,5.27317e-07,-0.653977,3.44756,0,0,8.18545e-12,-0.661371,3.4915,0,0,True,6.0|71,783
14|783|sample|6|71,2.15512e-07,-0.634011,3.57027,0,0,0.0,-0.680829,3.42578,0,0,True,6.0|71,783
14|783|sample|7|71,-3.35307e-07,-0.0155103,-0.880918,0,0,3.41061e-12,-0.0517682,-0.907342,0,0,True,6.0|71,783
14|783|sample|8|71,-1.15847e-07,0.0348728,-0.706291,0,0,-4.66116e-12,-0.0561166,-0.77055,0,0,True,6.0|71,783
14|783|sample|10|71,-2.1411e-08,-0.540822,4.68256,0,0,-6.13909e-12,-0.571505,4.57934,0,0,True,6.0|71,783
14|783|sample|9|71,3.56049e-08,-0.552291,4.65116,0,0,-8.86757e-12,-0.566521,4.65629,0,0,True,6.0|71,783
14|783|sample|12|71,5.00862e-07,0.291378,-1.83845,0,0,2.95586e-12,0.140085,-1.94339,0,0,True,6.0|71,783
14|783|sample|11|71,-5.44924e-07,0.359874,-1.77069,0,0,-5.68434e-12,0.262456,-1.84369,0,0,True,6.0|71,783
14|783|cc|1|1|71,9.33855e-08,0.0190533,0.0552854,0,0,4.54747e-13,5.96055e-08,2.26427e-07,0,0,False,69.0|71,783
14|783|cc|2|1|71,-1.96034e-07,0.0443913,0.327663,0,0,-3.41061e-13,-2.18405e-08,-3.24452e-07,0,0,False,69.0|71,783
14|783|cc|3|1|71,-3.53634e-07,-0.0869858,-0.138714,0,0,-5.68434e-13,5.62187e-08,5.88194e-07,0,0,False,69.0|71,783
14|783|cc|4|1|71,-3.18744e-07,0.0365477,-0.257155,0,0,4.54747e-13,3.09916e-08,4.87475e-07,0,0,False,69.0|71,783
14|783|cc|5|1|71,-1.04229e-07,0.0245087,-0.10431,0,0,4.54747e-13,-4.14613e-08,2.00634e-07,0,0,False,69.0|71,783
14|783|cc|6|1|71,1.22343e-07,0.0309294,0.130775,0,0,4.54747e-13,4.351e-08,-3.44954e-07,0,0,False,69.0|71,783
14|783|cc|7|1|71,-2.16062e-07,-0.0108117,0.188728,0,0,1.13687e-13,-7.49703e-08,-2.41816e-07,0,0,False,69.0|71,783
14|783|cc|8|1|71,-4.00719e-07,-0.0833418,0.16285,0,0,0.0,-7.11767e-08,-4.79456e-07,0,0,False,69.0|71,783
14|783|vc|1|2|71,1.24139e-07,-0.00363277,0.0730706,0,0,9.09495e-13,1.17071e-07,-7.5748e-07,0,0,False,69.0|71,783
14|783|vc|2|2|71,1.62411e-07,0.0132113,-0.0335502,0,0,-2.27374e-13,-6.5566e-08,4.69427e-08,0,0,False,69.0|71,783
14|783|vc|3|2|71,1.68085e-07,-0.0281143,-0.0642273,0,0,-1.7053e-12,-9.1596e-08,-4.20678e-07,0,0,False,69.0|71,783
14|783|vc|4|2|71,-2.21372e-07,0.0246045,0.0504036,0,0,3.41061e-13,-9.09505e-08,5.55291e-08,0,0,False,69.0|71,783
14|783|vc|5|2|71,2.41214e-07,0.0423486,0.0511136,0,0,6.82121e-13,1.09464e-07,-2.16759e-07,0,0,False,69.0|71,783
14|783|vc|6|2|71,-2.25193e-08,0.00413089,0.0799118,0,0,0.0,4.64473e-10,-3.71962e-07,0,0,False,69.0|71,783
14|783|vc|7|2|71,1.78225e-07,0.0308817,-0.0782537,0,0,2.27374e-13,-2.49441e-08,-3.45869e-07,0,0,False,69.0|71,783
14|783|vc|8|2|71,1.8281e-07,0.0364735,0.215533,0,0,0.0,1.81696e-07,-7.0726e-08,0,0,False,69.0|71,783
14|491|sample|10|99,-5.29009e-07,0.349442,-2.84367,0,0,2.72848e-12,0.25856,-2.90795,0,0,True,6.0|99,491
14|491|sample|9|99,3.82891e-07,0.1603,-2.95656,0,0,4.66116e-12,0.256748,-2.87288,0,0,True,6.0|99,491
14|491|sample|12|99,-7.03261e-07,-0.21782,-1.92492,0,0,-1.59162e-12,-0.288132,-2.02936,0,0,True,6.0|99,491
14|491|sample|11|99,2.62136e-07,-0.20942,-1.64821,0,0,5.11591e-12,-0.214102,-1.60004,0,0,True,6.0|99,491
14|491|sample|4|99,-3.59823e-07,0.309563,-0.367613,0,0,-3.06954e-12,0.314024,-0.393558,0,0,True,44.0|99,491
14|491|sample|3|99,-7.64207e-07,0.384251,-0.265182,0,0,2.27374e-13,0.328081,-0.280044,0,0,True,44.0|99,491
14|491|sample|6|99,2.84445e-07,-0.281611,-0.351773,0,0,-1.59162e-12,-0.295738,-0.368859,0,0,True,44.0|99,491
14|491|sample|5|99,3.10818e-07,-0.312708,-0.533064,0,0,9.89075e-12,-0.347559,-0.566064,0,0,True,44.0|99,491
14|491|sample|7|99,7.78911e-08,0.292676,-3.76171,0,0,-3.63798e-12,0.142582,-3.82704,0,0,True,63.0|99,491
14|491|sample|8|99,-8.32167e-08,0.327545,-3.66561,0,0,4.77485e-12,0.317149,-3.68452,0,0,True,63.0|99,491
14|491|cc|1|1|99,7.57012e-08,0.0249207,-0.0045668,0,0,2.27374e-13,-7.74097e-08,1.45512e-07,0,0,False,69.0|99,491
14|491|cc|2|1|99,-6.78804e-08,-0.0400096,0.128278,0,0,1.13687e-13,-3.63029e-08,-3.77053e-07,0,0,False,69.0|99,491
