id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,758.316,1.53179,0.643037,154.811,0.0153211,758.316,1.46329,0.597935,154.893,0.0153022,True,70.0|274,411
9|411|sample|3|274,758.316,1.54757,0.35633,154.811,0.0153211,758.316,1.50663,0.346677,154.893,0.0153022,True,70.0|274,411
9|411|sample|5|274,758.316,1.45364,0.629007,154.811,0.0153211,758.316,1.43442,0.639307,154.893,0.0153022,True,70.0|274,411
9|411|sample|6|274,758.316,1.41083,0.669385,154.811,0.0153211,758.316,1.37796,0.626884,154.893,0.0153022,True,70.0|274,411
9|411|sample|8|274,758.316,1.47174,0.467721,154.811,0.0153211,758.316,1.43951,0.4534,154.893,0.0153022,True,70.0|274,411
9|411|sample|7|274,758.316,1.47856,0.459624,154.811,0.0153211,758.316,1.47826,0.437001,154.893,0.0153022,True,70.0|274,411
9|411|sample|9|274,758.316,1.55754,0.630974,154.811,0.0153211,758.316,1.46479,0.582179,154.893,0.0153022,True,70.0|274,411
9|411|sample|10|274,758.316,1.4497,0.665878,154.811,0.0153211,758.316,1.44451,0.676183,154.893,0.0153022,True,70.0|274,411
9|411|sample|12|274,758.316,1.40689,0.359006,154.811,0.0153211,758.316,1.35463,0.342917,154.893,0.0153022,True,70.0|274,411
9|411|sample|11|274,758.316,1.38272,0.426075,154.811,0.0153211,758.316,1.37765,0.426372,154.893,0.0153022,True,70.0|274,411
9|411|cc|1|1|274,756.296,2.40103,1171.62,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|2|1|274,756.296,2.36506,499.935,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|3|1|274,756.296,2.32577,1751.72,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|4|1|274,756.296,2.4333,928.366,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|5|1|274,756.296,2.37007,999.894,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|6|1|274,756.296,2.40815,1063.73,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|7|1|274,756.296,2.35053,811.213,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|cc|8|1|274,756.296,2.33891,753.358,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|1|2|274,756.296,2.34531,1234.32,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|2|2|274,756.296,2.38804,1021.39,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|3|2|274,756.296,2.42028,1241.53,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|4|2|274,756.296,2.42182,709.596,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|5|2|274,756.296,2.44064,656.452,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|6|2|274,756.296,2.35577,2199.54,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|7|2|274,756.296,2.33667,665.297,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
9|411|vc|8|2|274,756.296,2.34432,1043.48,154.811,0.0153211,756.296,2.38916,108.259,154.893,0.0153022,False,69.0|274,411
14|783|sample|3|71,756.701,0.832172,15.3027,154.811,0.0153199,756.701,0.841407,13.9833,154.893,0.0153009,True,6.0|71,783
14|783|sample|4|71,756.701,0.7442,12.4547,154.811,0.0153199,756.701,0.77656,12.2198,154.893,0.0153009,True,6.0|71,783
14|783|sample|5|71,756.701,0.746638,4.50185,154.811,0.0153199,756.701,0.738419,4.51816,154.893,0.0153009,True,6.0|71,783
