id,importanceSampling
9|411|sample|4|274,142.416724
9|411|sample|3|274,140.191046
9|411|sample|5|274,157.478324
9|411|sample|6|274,159.637879
9|411|sample|8|274,141.174769
9|411|sample|7|274,140.923033
9|411|sample|9|274,156.544814
9|411|sample|10|274,158.491698
9|411|sample|12|274,140.606979
9|411|sample|11|274,141.405592
9|411|cc|1|1|274,18.672391
9|411|cc|2|1|274,19.178818
9|411|cc|3|1|274,-5.782851
9|411|cc|4|1|274,18.904081
9|411|cc|5|1|274,19.698121
9|411|cc|6|1|274,-5.317242
9|411|cc|7|1|274,19.280818
9|411|cc|8|1|274,20.003103
9|411|vc|1|2|274,19.691062
9|411|vc|2|2|274,19.553595
9|411|vc|3|2|274,20.625672
9|411|vc|4|2|274,19.765885
9|411|vc|5|2|274,20.36395
9|411|vc|6|2|274,19.604545
9|411|vc|7|2|274,19.545496
9|411|vc|8|2|274,19.444517
14|783|sample|3|71,168.619855
14|783|sample|4|71,144.921586
14|783|sample|5|71,164.884051
14|783|sample|6|71,168.190508
14|783|sample|7|71,143.886682
14|783|sample|8|71,143.667508
14|783|sample|10|71,148.526704
14|783|sample|9|71,171.742483
14|783|sample|12|71,141.523015
14|783|sample|11|71,116.61005
14|783|cc|1|1|71,16.581744
14|783|cc|2|1|71,16.157918
14|783|cc|3|1|71,15.737235
14|783|cc|4|1|71,15.696763
14|783|cc|5|1|71,15.980636
14|783|cc|6|1|71,15.712731
14|783|cc|7|1|71,16.005424
14|783|cc|8|1|71,15.534225
14|783|vc|1|2|71,20.43182
14|783|vc|2|2|71,-3.300309
14|783|vc|3|2|71,20.230814
14|783|vc|4|2|71,20.512548
14|783|vc|5|2|71,19.723127
14|783|vc|6|2|71,-4.43166
14|783|vc|7|2|71,19.982994
14|783|vc|8|2|71,20.318046
14|491|sample|10|99,150.151106
14|491|sample|9|99,147.510595
14|491|sample|12|99,150.861489
14|491|sample|11|99,127.797777
14|491|sample|4|99,156.80113
14|491|sample|3|99,155.948828
14|491|sample|6|99,132.587477
14|491|sample|5|99,153.548496
14|491|sample|7|99,150.894038
14|491|sample|8|99,146.593082
14|491|cc|1|1|99,14.079502
14|491|cc|2|1|99,-9.930434
14|491|cc|3|1|99,14.25206
14|491|cc|4|1|99,14.152829
14|491|cc|5|1|99,14.219077
14|491|cc|6|1|99,14.244327
14|491|cc|7|1|99,14.22925
14|491|cc|8|1|99,14.270246
14|491|vc|1|2|99,20.03336
14|491|vc|2|2|99,21.551257
14|491|vc|3|2|99,20.595537
14|491|vc|4|2|99,20.009236
14|491|vc|5|2|99,19.236596
14|491|vc|6|2|99,-4.035676
14|491|vc|7|2|99,-4.710737
14|491|vc|8|2|99,19.997324
14|433|sample|4|99,189.206379
14|433|sample|3|99,170.785622
14|433|sample|6|99,161.647197
14|433|sample|5|99,167.276002
14|433|sample|8|99,142.292535
14|433|sample|7|99,144.212508
14|433|sample|10|99,141.268004
14|433|sample|9|99,152.069609
14|433|sample|11|99,159.386973
14|433|sample|12|99,129.139816
14|433|cc|1|1|99,14.395106
14|433|cc|2|1|99,-9.615583
14|433|cc|3|1|99,14.676442
14|433|cc|4|1|99,14.546747
14|433|cc|5|1|99,14.470419
14|433|cc|6|1|99,14.494686
14|433|cc|7|1|99,14.469669
14|433|cc|8|1|99,14.479085
14|433|vc|1|2|99,21.517225
14|433|vc|2|2|99,20.545408
14|433|vc|3|2|99,23.558447
14|433|vc|4|2|99,21.358812
14|433|vc|5|2|99,21.983138
14|433|vc|6|2|99,22.903417
14|433|vc|7|2|99,19.713049
14|433|vc|8|2|99,28.350332
14|297|sample|3|71,159.348681
14|297|sample|4|71,162.501211
14|297|sample|5|71,146.298161
14|297|sample|6|71,146.069036
14|297|sample|8|71,151.66511
14|297|sample|7|71,151.117393
14|297|sample|9|71,150.494059
14|297|sample|10|71,148.554155
14|297|sample|12|71,167.410976
14|297|sample|11|71,170.489535
14|297|cc|1|1|71,14.555658
14|297|cc|2|1|71,-9.538915
14|297|cc|3|1|71,14.606091
14|297|cc|4|1|71,14.603041
14|297|cc|5|1|71,14.702291
14|297|cc|6|1|71,14.651917
14|297|cc|7|1|71,14.609565
14|297|cc|8|1|71,14.740609
14|297|vc|1|2|71,23.331414
14|297|vc|2|2|71,-4.189837
14|297|vc|3|2|71,22.392639
14|297|vc|4|2|71,22.050343
14|297|vc|5|2|71,20.743659
14|297|vc|6|2|71,22.447114
14|297|vc|7|2|71,20.66883
14|297|vc|8|2|71,22.920442
14|183|sample|4|233,138.38857
14|183|sample|3|233,135.885981
14|183|sample|6|233,111.461346
14|183|sample|5|233,134.873535
14|183|sample|7|233,141.164229
14|183|sample|8|233,139.504076
14|183|sample|10|233,135.236156
14|183|sample|9|233,135.653134
14|183|sample|12|233,148.828233
14|183|sample|11|233,136.444319
14|183|cc|1|1|233,14.475219
14|183|cc|2|1|233,14.529662
14|183|cc|3|1|233,14.436493
14|183|cc|4|1|233,14.572602
14|183|cc|5|1|233,14.631228
14|183|cc|6|1|233,14.621164
14|183|cc|7|1|233,14.593528
14|183|cc|8|1|233,15.195775
14|183|vc|1|2|233,18.381719
14|183|vc|2|2|233,17.378311
14|183|vc|3|2|233,17.278229
14|183|vc|4|2|233,17.279967
14|183|vc|5|2|233,17.992089
14|183|vc|6|2|233,17.311438
14|183|vc|7|2|233,16.923546
14|183|vc|8|2|233,17.586145
14|705|sample|3|233,147.496119
14|705|sample|4|233,124.118879
14|705|sample|5|233,128.878018
14|705|sample|6|233,149.625654
14|705|sample|7|233,161.046509
14|705|sample|8|233,130.454567
14|705|sample|10|233,141.952962
14|705|sample|9|233,138.69184
14|705|sample|12|233,146.038398
14|705|sample|11|233,138.247704
14|705|cc|1|1|233,14.725518
14|705|cc|2|1|233,14.636259
14|705|cc|3|1|233,14.597281
14|705|cc|4|1|233,-9.518148
14|705|cc|5|1|233,14.647931
14|705|cc|6|1|233,14.790553
14|705|cc|7|1|233,-9.392877
14|705|cc|8|1|233,14.832463
14|705|vc|1|2|233,19.56966
14|705|vc|2|2|233,16.759036
14|705|vc|3|2|233,-6.353017
14|705|vc|4|2|233,16.894429
14|705|vc|5|2|233,17.200739
14|705|vc|6|2|233,17.109092
14|705|vc|7|2|233,17.402326
14|705|vc|8|2|233,20.751017
14|555|sample|4|233,148.95538
14|555|sample|3|233,125.886092
14|555|sample|5|233,149.523109
14|555|sample|6|233,150.072213
14|555|sample|7|233,140.705116
14|555|sample|8|233,115.205545
14|555|sample|9|233,148.549862
14|555|sample|10|233,123.995362
14|555|sample|12|233,142.604549
14|555|sample|11|233,135.597248
14|555|cc|1|1|233,15.442431
14|555|cc|2|1|233,15.700818
14|555|cc|3|1|233,15.610407
14|555|cc|4|1|233,15.72441
14|555|cc|5|1|233,15.652094
14|555|cc|6|1|233,15.14744
14|555|cc|7|1|233,15.220807
14|555|cc|8|1|233,15.02885
14|555|vc|1|2|233,18.198755
14|555|vc|2|2|233,18.228535
14|555|vc|3|2|233,18.810916
14|555|vc|4|2|233,18.398672
14|555|vc|5|2|233,18.633631
14|555|vc|6|2|233,19.104866
14|555|vc|7|2|233,18.545434
14|555|vc|8|2|233,18.774278
14|394|sample|5|42,156.720505
14|394|sample|6|42,156.443549
14|394|sample|7|42,163.126165
14|394|sample|8|42,163.761631
14|394|sample|10|42,153.589623
14|394|sample|9|42,150.860176
14|394|sample|12|42,131.173568
14|394|sample|11|42,158.330532
14|394|sample|3|42,153.209193
14|394|sample|4|42,160.669438
14|394|cc|1|1|42,14.424582
14|394|cc|2|1|42,14.282837
14|394|cc|3|1|42,14.273749
14|394|cc|4|1|42,14.262846
14|394|cc|5|1|42,14.241085
14|394|cc|6|1|42,14.204406
14|394|cc|7|1|42,14.174463
14|394|cc|8|1|42,14.240525
14|394|vc|1|2|42,18.890945
14|394|vc|2|2|42,18.85299
14|394|vc|3|2|42,18.924897
14|394|vc|4|2|42,-5.127695
14|394|vc|5|2|42,18.922541
14|394|vc|6|2|42,18.881329
14|394|vc|7|2|42,19.306193
14|394|vc|8|2|42,18.882
14|1099|sample|3|73,130.770694
14|1099|sample|4|73,131.510032
14|1099|sample|5|73,147.294343
14|1099|sample|6|73,147.358034
14|1099|sample|8|73,146.271868
14|1099|sample|7|73,143.811951
14|1099|sample|9|73,132.321526
14|1099|sample|10|73,132.369517
14|1099|sample|11|73,138.992744
14|1099|sample|12|73,141.648771
14|1099|cc|1|1|73,14.346452
14|1099|cc|2|1|73,14.325134
14|1099|cc|3|1|73,14.384757
14|1099|cc|4|1|73,14.368962
14|1099|cc|5|1|73,14.254903
14|1099|cc|6|1|73,14.446434
14|1099|cc|7|1|73,-9.850984
14|1099|cc|8|1|73,14.481898
14|1099|vc|1|2|73,16.22001
14|1099|vc|2|2|73,16.15667
14|1099|vc|3|2|73,16.202755
14|1099|vc|4|2|73,16.648429
14|1099|vc|5|2|73,16.22265
14|1099|vc|6|2|73,16.240841
14|1099|vc|7|2|73,17.119185
14|1099|vc|8|2|73,16.129175
14|611|sample|4|73,147.076765
14|611|sample|3|73,124.492255
14|611|sample|5|73,149.852859
14|611|sample|6|73,149.975297
14|611|sample|7|73,153.410341
14|611|sample|8|73,160.095112
14|611|sample|9|73,136.544837
14|611|sample|10|73,137.569388
14|611|sample|12|73,148.648447
14|611|sample|11|73,153.171681
14|611|cc|1|1|73,14.80452
14|611|cc|2|1|73,14.697645
14|611|cc|3|1|73,14.745002
14|611|cc|4|1|73,14.663958
14|611|cc|5|1|73,14.837598
14|611|cc|6|1|73,14.725098
14|611|cc|7|1|73,14.743404
14|611|cc|8|1|73,-9.324214
14|611|vc|1|2|73,16.806228
14|611|vc|2|2|73,17.568578
14|611|vc|3|2|73,17.111504
14|611|vc|4|2|73,16.463424
14|611|vc|5|2|73,17.592685
14|611|vc|6|2|73,16.361889
14|611|vc|7|2|73,16.804715
14|611|vc|8|2|73,-7.359701
8|84|sample|5|162,166.950154
8|84|sample|6|162,164.728492
8|84|sample|4|162,167.148495
8|84|sample|3|162,168.58226
8|84|sample|9|162,156.199444
8|84|sample|10|162,155.82012
8|84|sample|7|162,141.450923
8|84|sample|8|162,162.169726
8|84|sample|12|162,166.621182
8|84|sample|11|162,160.140842
8|84|cc|1|1|162,-7.600431
8|84|cc|2|1|162,16.454062
8|84|cc|3|1|162,16.530451
8|84|cc|4|1|162,16.794059
8|84|cc|5|1|162,16.935627
8|84|cc|6|1|162,16.874615
8|84|cc|7|1|162,16.861483
8|84|cc|8|1|162,16.405795
8|84|vc|1|2|162,20.029088
8|84|vc|2|2|162,20.853468
8|84|vc|3|2|162,20.845351
8|84|vc|4|2|162,20.723086
8|84|vc|5|2|162,20.894758
