parameter,value,CV
L_pop,757.851665300061,
beta_L_goes_down_True,-0.786976257018978,
beta_L_mab_virus_6_0_42,-2.68994437249626,
beta_L_mab_virus_6_0_233,0.0862883914105623,
beta_L_mab_virus_6_0_71,-0.364059930927169,
beta_L_mab_virus_6_0_99,-1.44499880597641,
beta_L_mab_virus_44_0_99,-2.75744732592489,
beta_L_mab_virus_63_0_42,-2.23603862228833,
beta_L_mab_virus_63_0_99,2.81967701569602,
beta_L_mab_virus_70_0_274,1.25160296221861,
beta_L_mab_virus_65_0_65,2.69942649995323,
beta_L_mab_virus_65_0_69,-3.06528260550886,
beta_L_mab_virus_65_0_319,0.390671010307869,
beta_L_mab_virus_65_0_162,-0.458844404853608,
beta_L_mab_virus_65_0_218,0.506801577204442,
beta_L_mab_virus_65_0_174,-0.798202254180978,
beta_L_mab_virus_65_0_322,-1.09653064386748,
beta_L_mab_virus_65_0_292,0.553931649461674,
beta_L_mab_virus_65_0_274,-0.451671967997754,
beta_L_mab_virus_65_0_103,1.27285306066506,
beta_L_mab_virus_65_0_276,-5.51761994320145,
beta_L_mab_virus_55_0_65,0.183736335803587,
beta_L_mab_virus_55_0_69,1.40966778955976,
beta_L_mab_virus_55_0_319,0.143452391848086,
beta_L_mab_virus_55_0_162,-1.11863886060337,
beta_L_mab_virus_55_0_218,-4.38888497567655,
beta_L_mab_virus_55_0_174,-1.69725141112121,
beta_L_mab_virus_55_0_322,-2.08286452845437,
beta_L_mab_virus_55_0_292,-1.03058673679948,
beta_L_mab_virus_55_0_274,-0.113315711026416,
beta_L_mab_virus_55_0_103,-0.410250765502269,
beta_L_mab_virus_55_0_276,-0.218298086517052,
beta_L_mab_virus_28_0_65,-0.175960910866706,
beta_L_mab_virus_28_0_69,-3.90785796865362,
beta_L_mab_virus_28_0_319,-2.10922444228049,
beta_L_mab_virus_28_0_162,1.20315048513771,
beta_L_mab_virus_28_0_218,-5.06157346151417,
beta_L_mab_virus_28_0_174,-0.473934288867895,
beta_L_mab_virus_28_0_322,-2.9305364267309,
beta_L_mab_virus_28_0_292,0.428317615419473,
beta_L_mab_virus_28_0_274,6.05507053734664,
beta_L_mab_virus_28_0_103,-0.919011163599635,
beta_L_mab_virus_28_0_276,0.404918963380396,
beta_L_mab_virus_32_0_65,0.242370804857046,
beta_L_mab_virus_32_0_69,-1.06373922061903,
beta_L_mab_virus_32_0_319,-1.86501951523974,
beta_L_mab_virus_32_0_162,0.70703289411631,
beta_L_mab_virus_32_0_218,-0.448858058826318,
beta_L_mab_virus_32_0_174,1.51206127797786,
beta_L_mab_virus_32_0_322,2.40452009927549,
beta_L_mab_virus_32_0_292,-0.785496028729767,
beta_L_mab_virus_32_0_274,1.12224484533112,
beta_L_mab_virus_32_0_103,-1.65987651911223,
beta_L_mab_virus_32_0_276,-3.08714997061452,
beta_L_mab_virus_22_0_65,-2.67768093940185,
beta_L_mab_virus_22_0_69,3.43623486449383,
beta_L_mab_virus_22_0_319,-1.57746573307691,
beta_L_mab_virus_22_0_162,-0.756997321982908,
beta_L_mab_virus_22_0_218,-1.60590340542922,
beta_L_mab_virus_22_0_174,0.259279710369356,
beta_L_mab_virus_22_0_322,5.46995809541659,
beta_L_mab_virus_22_0_292,2.09237983871367,
beta_L_mab_virus_22_0_274,-0.964264875301978,
beta_L_mab_virus_22_0_103,-0.25078838555396,
beta_L_mab_virus_22_0_276,-1.45074785061229,
beta_L_mab_virus_69_0_73,-1.22550171699822,
beta_L_mab_virus_69_0_65,-0.869774146392956,
beta_L_mab_virus_69_0_69,-0.367318596670884,
beta_L_mab_virus_69_0_42,-0.328592685389594,
beta_L_mab_virus_69_0_319,-0.0264861937685055,
beta_L_mab_virus_69_0_162,-1.99216064018401,
beta_L_mab_virus_69_0_218,-1.64137245800521,
beta_L_mab_virus_69_0_174,-1.89148541190934,
beta_L_mab_virus_69_0_322,-1.5191729608996,
beta_L_mab_virus_69_0_233,-1.11433348952323,
beta_L_mab_virus_69_0_71,-0.138436353749967,
beta_L_mab_virus_69_0_99,-1.25499711176781,
beta_L_mab_virus_69_0_292,-0.526100397180016,
beta_L_mab_virus_69_0_274,-1.55548407936385,
beta_L_mab_virus_69_0_103,0.423595992037917,
beta_L_mab_virus_69_0_276,-0.696891569055879,
m_pop,2.38916398503848,
beta_m_goes_down_True,-0.98937451092217,
e_pop,108.259193553311,
beta_e_goes_down_True,-6.667926804769,
alpha_pop,154.89310803707,
beta_alpha_run_id_84,-0.0127978537327509,
beta_alpha_run_id_719,0.000170318570718238,
beta_alpha_run_id_488,-8.76887137798117e-07,
beta_alpha_run_id_847,0.00124199084084659,
beta_alpha_run_id_474,1.81136677390356e-08,
beta_alpha_run_id_462,9.30868846876515e-05,
beta_alpha_run_id_75,-0.00118277151927219,
beta_alpha_run_id_291,-2.51593357295954e-08,
beta_alpha_run_id_77,-0.000370613628894359,
beta_alpha_run_id_322,4.34951398104198e-08,
beta_alpha_run_id_963,0.0248122306883263,
beta_alpha_run_id_1241,-6.66832013332146e-07,
beta_alpha_run_id_1056,-0.000196762472160094,
beta_alpha_run_id_1159,-3.28268020241123e-07,
beta_alpha_run_id_1017,0.00032504074382172,
beta_alpha_run_id_1197,0.00657304379864485,
beta_alpha_run_id_745,0.00306824315342735,
beta_alpha_run_id_1043,-7.43595438626958e-05,
beta_alpha_run_id_1260,1.57042886967272e-08,
beta_alpha_run_id_1042,7.64795547817998e-07,
beta_alpha_run_id_863,-0.006649180925463,
beta_alpha_run_id_152,2.93600213702978e-05,
beta_alpha_run_id_433,0.0028409248839514,
beta_alpha_run_id_297,0.0178237158122323,
beta_alpha_run_id_183,1.4153241962627e-07,
beta_alpha_run_id_705,1.46895240378733e-05,
beta_alpha_run_id_783,5.94927694509417e-08,
beta_alpha_run_id_555,-2.80161925701745e-07,
beta_alpha_run_id_491,6.85881870152236e-07,
beta_alpha_run_id_394,2.88530818921381e-06,
beta_alpha_run_id_1099,-1.28049872844568e-07,
beta_alpha_run_id_611,1.18590836140437e-07,
k_pop,0.0153021792254683,
beta_k_run_id_84,-2.51297213602474e-06,
beta_k_run_id_719,0.0324993431051182,
beta_k_run_id_488,4.20633245665981e-12,
beta_k_run_id_847,6.00640904780076e-07,
beta_k_run_id_474,0.00283670760436724,
beta_k_run_id_462,-0.00126415103820223,
beta_k_run_id_75,0.0424459591068839,
beta_k_run_id_291,1.04982174967815e-06,
beta_k_run_id_77,-0.00106255126978293,
beta_k_run_id_322,-3.73369051238098e-07,
beta_k_run_id_963,1.05087828815776e-06,
beta_k_run_id_1241,-9.77254403004979e-10,
beta_k_run_id_1056,3.00652194236393e-09,
beta_k_run_id_1159,1.3265116734205e-06,
beta_k_run_id_1017,5.34709841773813e-06,
beta_k_run_id_1197,-3.51288160668017e-11,
beta_k_run_id_745,8.10816634794046e-07,
beta_k_run_id_1043,2.78214295758509e-06,
beta_k_run_id_1260,-0.00177793684459813,
beta_k_run_id_1042,-0.000881029060099117,
beta_k_run_id_863,1.16471042622723e-12,
beta_k_run_id_152,-6.31384547560995e-09,
beta_k_run_id_433,-9.59763173405754e-10,
beta_k_run_id_297,4.75911193454887e-06,
beta_k_run_id_183,-2.04962213052436e-06,
beta_k_run_id_705,0.533610573229733,
beta_k_run_id_783,-1.28240215874994e-06,
beta_k_run_id_555,7.2458035295666e-08,
beta_k_run_id_491,-4.59510553836944e-06,
beta_k_run_id_394,0.085412549609711,
beta_k_run_id_1099,1.29273392826693e-06,
