id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,0.00476,408.983,0.679865,9.06265,22448.3,12.575,0.00473665,410.077,0.69525,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|3|274,0.00476,408.983,0.871833,9.06265,22448.3,12.575,0.00473665,410.077,0.90254,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|5|274,0.00476,408.983,0.505035,9.06265,22448.3,12.575,0.00473665,410.077,0.546259,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|6|274,0.00476,408.983,0.556939,9.06265,22448.3,12.575,0.00473665,410.077,0.575413,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|8|274,0.00476,408.983,0.782207,9.06265,22448.3,12.575,0.00473665,410.077,0.786446,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|7|274,0.00476,408.983,0.812037,9.06265,22448.3,12.575,0.00473665,410.077,0.807075,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|9|274,0.00476,408.983,0.573723,9.06265,22448.3,12.575,0.00473665,410.077,0.600722,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|10|274,0.00476,408.983,0.511009,9.06265,22448.3,12.575,0.00473665,410.077,0.538464,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|12|274,0.00476,408.983,0.776488,9.06265,22448.3,12.575,0.00473665,410.077,0.787436,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|sample|11|274,0.00476,408.983,0.773026,9.06265,22448.3,12.575,0.00473665,410.077,0.79649,9.00567,22600.5,12.5775,True,70.0|274,411
9|411|cc|1|1|274,0.00476017,408.983,2.95831,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|2|1|274,0.00476017,408.983,2.98092,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|3|1|274,0.00476017,408.983,2.84512,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|4|1|274,0.00476017,408.983,3.06689,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|5|1|274,0.00476017,408.983,2.80422,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|6|1|274,0.00476017,408.983,2.95828,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|7|1|274,0.00476017,408.983,2.9627,9.06365,22448.3,12.575,0.00473682,410.077,2.91963,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|cc|8|1|274,0.00476017,408.983,2.99142,9.06365,22448.3,12.575,0.00473682,410.077,2.91963,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|1|2|274,0.00476017,408.983,2.94174,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|2|2|274,0.00476017,408.983,3.07667,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|3|2|274,0.00476017,408.983,3.12536,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|4|2|274,0.00476017,408.983,2.93356,9.06365,22448.3,12.575,0.00473682,410.077,2.91963,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|5|2|274,0.00476017,408.983,3.02123,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|6|2|274,0.00476017,408.983,3.01152,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|7|2|274,0.00476017,408.983,3.08907,9.06365,22448.3,12.575,0.00473682,410.077,2.91963,9.00665,22600.5,12.5775,False,69.0|274,411
9|411|vc|8|2|274,0.00476017,408.983,2.92922,9.06365,22448.3,12.575,0.00473682,410.077,2.91964,9.00665,22600.5,12.5775,False,69.0|274,411
14|783|sample|3|71,0.00476,408.983,0.127952,9.0639,22448.3,12.575,0.00473665,410.077,0.1476,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|4|71,0.00476,408.983,0.156881,9.0639,22448.3,12.575,0.00473665,410.077,0.159017,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|5|71,0.00476,408.983,0.230659,9.0639,22448.3,12.575,0.00473665,410.077,0.242615,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|6|71,0.00476,408.983,0.241694,9.0639,22448.3,12.575,0.00473665,410.077,0.257702,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|7|71,0.00476,408.983,2.38315,9.0639,22448.3,12.575,0.00473665,410.077,2.08852,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|8|71,0.00476,408.983,1.87325,9.0639,22448.3,12.575,0.00473665,410.077,1.90244,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|10|71,0.00476,408.983,0.166695,9.0639,22448.3,12.575,0.00473665,410.077,0.162064,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|9|71,0.00476,408.983,0.131228,9.0639,22448.3,12.575,0.00473665,410.077,0.152657,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|12|71,0.00476,408.983,3.51259,9.0639,22448.3,12.575,0.00473665,410.077,2.9622,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|sample|11|71,0.00476,408.983,3.48039,9.0639,22448.3,12.575,0.00473665,410.077,3.00213,9.0069,22600.5,12.5775,True,6.0|71,783
14|783|cc|1|1|71,0.00476017,408.983,2.99845,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|2|1|71,0.00476017,408.983,2.93544,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|3|1|71,0.00476017,408.983,2.95572,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|4|1|71,0.00476017,408.983,2.92515,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|5|1|71,0.00476017,408.983,2.81934,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|6|1|71,0.00476017,408.983,2.84517,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|7|1|71,0.00476017,408.983,2.9824,9.06214,22448.3,12.575,0.00473682,410.077,2.91963,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|cc|8|1|71,0.00476017,408.983,2.95833,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|1|2|71,0.00476017,408.983,3.07772,9.06214,22448.3,12.575,0.00473682,410.077,2.91963,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|2|2|71,0.00476017,408.983,2.97853,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|3|2|71,0.00476017,408.983,3.05985,9.06214,22448.3,12.575,0.00473682,410.077,2.91963,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|4|2|71,0.00476017,408.983,2.84921,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|5|2|71,0.00476017,408.983,2.88779,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|6|2|71,0.00476017,408.983,3.04612,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|7|2|71,0.00476017,408.983,3.06543,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|783|vc|8|2|71,0.00476017,408.983,3.07529,9.06214,22448.3,12.575,0.00473682,410.077,2.91964,9.00515,22600.5,12.5775,False,69.0|71,783
14|491|sample|10|99,0.00476,408.983,3.18623,9.06789,22448.3,12.5747,0.00473665,410.077,2.94562,9.01084,22600.5,12.5772,True,6.0|99,491
14|491|sample|9|99,0.00476,408.983,3.21362,9.06789,22448.3,12.5747,0.00473665,410.077,2.94562,9.01084,22600.5,12.5772,True,6.0|99,491
14|491|sample|12|99,0.00476,408.983,2.43915,9.06789,22448.3,12.5747,0.00473665,410.077,2.17722,9.01084,22600.5,12.5772,True,6.0|99,491
14|491|sample|11|99,0.00476,408.983,2.18125,9.06789,22448.3,12.5747,0.00473665,410.077,2.0416,9.01084,22600.5,12.5772,True,6.0|99,491
14|491|sample|4|99,0.00476,408.983,2.12066,9.06388,22448.3,12.5747,0.00473665,410.077,2.04938,9.00688,22600.5,12.5772,True,44.0|99,491
14|491|sample|3|99,0.00476,408.983,1.93496,9.06388,22448.3,12.5747,0.00473665,410.077,1.91838,9.00688,22600.5,12.5772,True,44.0|99,491
14|491|sample|6|99,0.00476,408.983,1.12836,9.06388,22448.3,12.5747,0.00473665,410.077,1.16687,9.00688,22600.5,12.5772,True,44.0|99,491
14|491|sample|5|99,0.00476,408.983,1.17059,9.06388,22448.3,12.5747,0.00473665,410.077,1.20003,9.00688,22600.5,12.5772,True,44.0|99,491
14|491|sample|7|99,0.00476,408.983,3.38676,9.06298,22448.3,12.5747,0.00473665,410.077,2.99079,9.00599,22600.5,12.5772,True,63.0|99,491
14|491|sample|8|99,0.00476,408.983,3.31944,9.06298,22448.3,12.5747,0.00473665,410.077,2.97934,9.00599,22600.5,12.5772,True,63.0|99,491
14|491|cc|1|1|99,0.00476017,408.983,2.98835,9.06328,22448.3,12.5747,0.00473682,410.077,2.91963,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|2|1|99,0.00476017,408.983,2.84987,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|3|1|99,0.00476017,408.983,2.96528,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|4|1|99,0.00476017,408.983,2.97113,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|5|1|99,0.00476017,408.983,2.84147,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|6|1|99,0.00476017,408.983,2.87508,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|7|1|99,0.00476017,408.983,2.88466,9.06328,22448.3,12.5747,0.00473682,410.077,2.91963,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|cc|8|1|99,0.00476017,408.983,2.9679,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|1|2|99,0.00476017,408.983,3.09371,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|2|2|99,0.00476017,408.983,3.00184,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|3|2|99,0.00476017,408.983,3.10144,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|4|2|99,0.00476017,408.983,3.16471,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|5|2|99,0.00476017,408.983,2.98624,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|6|2|99,0.00476017,408.983,2.93229,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|7|2|99,0.00476017,408.983,3.03195,9.06328,22448.3,12.5747,0.00473682,410.077,2.91964,9.00629,22600.5,12.5772,False,69.0|99,491
14|491|vc|8|2|99,0.00476017,408.983,3.10197,9.06328,22448.3,12.5747,0.00473682,410.077,2.91963,9.00629,22600.5,12.5772,False,69.0|99,491
14|433|sample|4|99,0.00476,408.983,2.72135,9.06789,22448.3,12.5748,0.00473665,410.077,2.93325,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|3|99,0.00476,408.983,3.08032,9.06789,22448.3,12.5748,0.00473665,410.077,3.24406,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|6|99,0.00476,408.983,0.611186,9.06789,22448.3,12.5748,0.00473665,410.077,0.623563,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|5|99,0.00476,408.983,0.598053,9.06789,22448.3,12.5748,0.00473665,410.077,0.63868,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|8|99,0.00476,408.983,3.70347,9.06789,22448.3,12.5748,0.00473665,410.077,4.0037,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|7|99,0.00476,408.983,4.05556,9.06789,22448.3,12.5748,0.00473665,410.077,4.02611,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|10|99,0.00476,408.983,1.53971,9.06789,22448.3,12.5748,0.00473665,410.077,1.5296,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|9|99,0.00476,408.983,1.61843,9.06789,22448.3,12.5748,0.00473665,410.077,1.5455,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|11|99,0.00476,408.983,0.822756,9.06789,22448.3,12.5748,0.00473665,410.077,0.832727,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|sample|12|99,0.00476,408.983,0.821906,9.06789,22448.3,12.5748,0.00473665,410.077,0.833871,9.01084,22600.5,12.5773,True,6.0|99,433
14|433|cc|1|1|99,0.00476017,408.983,2.94357,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|2|1|99,0.00476017,408.983,2.96029,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|3|1|99,0.00476017,408.983,3.04753,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|4|1|99,0.00476017,408.983,2.78995,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|5|1|99,0.00476017,408.983,2.9273,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|6|1|99,0.00476017,408.983,2.69829,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|7|1|99,0.00476017,408.983,3.04748,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|cc|8|1|99,0.00476017,408.983,2.82791,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|1|2|99,0.00476017,408.983,3.00315,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|2|2|99,0.00476017,408.983,2.83579,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|3|2|99,0.00476017,408.983,2.9459,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|4|2|99,0.00476017,408.983,2.96998,9.06328,22448.3,12.5748,0.00473682,410.077,2.91963,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|5|2|99,0.00476017,408.983,3.11026,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|6|2|99,0.00476017,408.983,3.02256,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|7|2|99,0.00476017,408.983,2.95484,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|433|vc|8|2|99,0.00476017,408.983,2.96849,9.06328,22448.3,12.5748,0.00473682,410.077,2.91964,9.00629,22600.5,12.5773,False,69.0|99,433
14|297|sample|3|71,0.00476,408.983,0.736746,9.0639,22448.3,12.5749,0.00473665,410.077,0.756982,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|4|71,0.00476,408.983,0.714645,9.0639,22448.3,12.5749,0.00473665,410.077,0.745139,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|5|71,0.00476,408.983,3.80963,9.0639,22448.3,12.5749,0.00473665,410.077,3.87719,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|6|71,0.00476,408.983,3.65508,9.0639,22448.3,12.5749,0.00473665,410.077,3.8255,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|8|71,0.00476,408.983,2.3971,9.0639,22448.3,12.5749,0.00473665,410.077,2.40174,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|7|71,0.00476,408.983,2.55466,9.0639,22448.3,12.5749,0.00473665,410.077,2.645,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|9|71,0.00476,408.983,3.64883,9.0639,22448.3,12.5749,0.00473665,410.077,3.82709,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|10|71,0.00476,408.983,3.73325,9.0639,22448.3,12.5749,0.00473665,410.077,3.78457,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|12|71,0.00476,408.983,0.37562,9.0639,22448.3,12.5749,0.00473665,410.077,0.416488,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|sample|11|71,0.00476,408.983,0.336643,9.0639,22448.3,12.5749,0.00473665,410.077,0.371483,9.0069,22600.5,12.5774,True,6.0|71,297
14|297|cc|1|1|71,0.00476017,408.983,3.07862,9.06214,22448.3,12.5749,0.00473682,410.077,2.91964,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|2|1|71,0.00476017,408.983,3.02316,9.06214,22448.3,12.5749,0.00473682,410.077,2.91964,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|3|1|71,0.00476017,408.983,3.06407,9.06214,22448.3,12.5749,0.00473682,410.077,2.91963,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|4|1|71,0.00476017,408.983,2.96187,9.06214,22448.3,12.5749,0.00473682,410.077,2.91964,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|5|1|71,0.00476017,408.983,2.72602,9.06214,22448.3,12.5749,0.00473682,410.077,2.91963,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|6|1|71,0.00476017,408.983,2.85205,9.06214,22448.3,12.5749,0.00473682,410.077,2.91964,9.00515,22600.5,12.5774,False,69.0|71,297
14|297|cc|7|1|71,0.00476017,408.983,2.91608,9.06214,22448.3,12.5749,0.00473682,410.077,2.91964,9.00515,22600.5,12.5774,False,69.0|71,297
