parameter,value,CV
U_offset_goes_down_False,0.0061190782744329,
U_offset_goes_down_True,0.0061186155113825,
L_goes_down_False,413.254885915527,
L_goes_down_True,413.25485162905,
m_goes_down_False_mab_virus_6.0|73,-0.545903987201473,
m_goes_down_False_mab_virus_6.0|42,-0.333815382452657,
m_goes_down_False_mab_virus_6.0|233,0.201143620617108,
m_goes_down_False_mab_virus_6.0|71,-0.364535765679585,
m_goes_down_False_mab_virus_6.0|99,0.262208671654241,
m_goes_down_False_mab_virus_44.0|99,0.824370179691844,
m_goes_down_False_mab_virus_63.0|42,-0.0115150124280921,
m_goes_down_False_mab_virus_63.0|99,7.29682803576902,
m_goes_down_False_mab_virus_70.0|274,0.658577784343516,
m_goes_down_False_mab_virus_65.0|65,3.54005394460857,
m_goes_down_False_mab_virus_65.0|69,0.472714001172333,
m_goes_down_False_mab_virus_65.0|319,8.76626092464639,
m_goes_down_False_mab_virus_65.0|162,0.698776599636691,
m_goes_down_False_mab_virus_65.0|218,6.18618792096205,
m_goes_down_False_mab_virus_65.0|174,5.10009568964153,
m_goes_down_False_mab_virus_65.0|322,0.359272966534404,
m_goes_down_False_mab_virus_65.0|292,0.433718383158871,
m_goes_down_False_mab_virus_65.0|274,0.796739941917264,
m_goes_down_False_mab_virus_65.0|103,3.75577923740162,
m_goes_down_False_mab_virus_65.0|276,0.90822649834746,
m_goes_down_False_mab_virus_55.0|65,1.19103991072452,
m_goes_down_False_mab_virus_55.0|69,-0.2071250966719,
m_goes_down_False_mab_virus_55.0|319,8.04821890686614,
m_goes_down_False_mab_virus_55.0|162,-0.207817979244,
m_goes_down_False_mab_virus_55.0|218,7.8073651895945,
m_goes_down_False_mab_virus_55.0|174,4.28843750375572,
m_goes_down_False_mab_virus_55.0|322,-0.411694834077574,
m_goes_down_False_mab_virus_55.0|292,-0.286269811970124,
m_goes_down_False_mab_virus_55.0|274,0.550898401594991,
m_goes_down_False_mab_virus_55.0|103,0.212665028443329,
m_goes_down_False_mab_virus_55.0|276,0.043422896660875,
m_goes_down_False_mab_virus_28.0|65,1.30750644847171,
m_goes_down_False_mab_virus_28.0|69,0.799437764278046,
m_goes_down_False_mab_virus_28.0|319,3.4724529179464,
m_goes_down_False_mab_virus_28.0|162,0.168400522322498,
m_goes_down_False_mab_virus_28.0|218,2.60696693106459,
m_goes_down_False_mab_virus_28.0|174,5.57861904328074,
m_goes_down_False_mab_virus_28.0|322,0.672156963240961,
m_goes_down_False_mab_virus_28.0|292,1.67296398742394,
m_goes_down_False_mab_virus_28.0|274,1.04117254588928,
m_goes_down_False_mab_virus_28.0|103,4.94371997915447,
m_goes_down_False_mab_virus_28.0|276,2.1203495529389,
m_goes_down_False_mab_virus_32.0|65,-0.248252659561858,
m_goes_down_False_mab_virus_32.0|69,1.86766535288067,
m_goes_down_False_mab_virus_32.0|319,7.65470215480831,
m_goes_down_False_mab_virus_32.0|162,0.243535885231497,
m_goes_down_False_mab_virus_32.0|218,0.3852299902917,
m_goes_down_False_mab_virus_32.0|174,5.99523978466939,
m_goes_down_False_mab_virus_32.0|322,-0.10674536043678,
m_goes_down_False_mab_virus_32.0|292,5.78471525168858,
m_goes_down_False_mab_virus_32.0|274,0.675548468303563,
m_goes_down_False_mab_virus_32.0|103,5.09767993301105,
m_goes_down_False_mab_virus_32.0|276,5.33081561730766,
m_goes_down_False_mab_virus_22.0|65,1.90876490793459,
m_goes_down_False_mab_virus_22.0|69,0.251662892571535,
m_goes_down_False_mab_virus_22.0|319,1.55480172605558,
m_goes_down_False_mab_virus_22.0|162,0.776358215848729,
m_goes_down_False_mab_virus_22.0|218,2.94461222161891,
m_goes_down_False_mab_virus_22.0|174,4.29873903914519,
m_goes_down_False_mab_virus_22.0|322,0.404743004543998,
m_goes_down_False_mab_virus_22.0|292,0.401098353207359,
m_goes_down_False_mab_virus_22.0|274,1.04121816345665,
m_goes_down_False_mab_virus_22.0|103,4.88115901721169,
m_goes_down_False_mab_virus_22.0|276,0.991325683271202,
m_goes_down_False_mab_virus_69.0|73,1.28096348585652,
m_goes_down_False_mab_virus_69.0|65,3.41340800211117,
m_goes_down_False_mab_virus_69.0|69,0.473034805891032,
m_goes_down_False_mab_virus_69.0|42,2.1985738973194,
m_goes_down_False_mab_virus_69.0|319,1.21440063562263,
m_goes_down_False_mab_virus_69.0|162,1.53547728826688,
m_goes_down_False_mab_virus_69.0|218,2.45899588313852,
m_goes_down_False_mab_virus_69.0|174,0.895920604053071,
m_goes_down_False_mab_virus_69.0|322,1.08580213424104,
m_goes_down_False_mab_virus_69.0|233,1.47511963611168,
m_goes_down_False_mab_virus_69.0|71,2.07386880425091,
m_goes_down_False_mab_virus_69.0|99,3.57300446732697,
m_goes_down_False_mab_virus_69.0|292,1.54238793919661,
m_goes_down_False_mab_virus_69.0|274,2.58335664840116,
m_goes_down_False_mab_virus_69.0|103,1.07255670692624,
m_goes_down_False_mab_virus_69.0|276,2.58112244147715,
m_goes_down_True_mab_virus_6.0|73,0.0801414019523499,
m_goes_down_True_mab_virus_6.0|42,0.292230006701167,
m_goes_down_True_mab_virus_6.0|233,0.827189009770931,
m_goes_down_True_mab_virus_6.0|71,0.261509623474238,
m_goes_down_True_mab_virus_6.0|99,0.888254060808064,
m_goes_down_True_mab_virus_44.0|99,1.45041556884567,
