id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,5.95676,769.842,1.49943,1.70824,12142.4,12.6461,6.504,769.978,1.49363,1.71805,12203.9,12.6467,True,70.0|274,411
9|411|sample|3|274,5.90387,769.924,1.49943,3.07775,12142.4,12.6461,6.19916,769.978,1.49363,3.04351,12203.9,12.6467,True,70.0|274,411
9|411|sample|5|274,6.23046,769.938,1.49943,1.51924,12142.4,12.6461,7.49479,769.978,1.49363,1.52894,12203.9,12.6467,True,70.0|274,411
9|411|sample|6|274,5.65215,769.799,1.49943,1.51803,12142.4,12.6461,6.08251,769.979,1.49363,1.54035,12203.9,12.6467,True,70.0|274,411
9|411|sample|8|274,6.35907,769.948,1.49943,2.11124,12142.4,12.6461,6.57891,769.978,1.49363,2.22454,12203.9,12.6467,True,70.0|274,411
9|411|sample|7|274,6.40536,769.879,1.49943,2.26059,12142.4,12.6461,6.41655,769.978,1.49363,2.37273,12203.9,12.6467,True,70.0|274,411
9|411|sample|9|274,6.12954,769.958,1.49943,1.71579,12142.4,12.6461,6.52351,769.979,1.49363,1.75359,12203.9,12.6467,True,70.0|274,411
9|411|sample|10|274,6.23106,769.888,1.49943,1.46758,12142.4,12.6461,6.60419,769.978,1.49363,1.48321,12203.9,12.6467,True,70.0|274,411
9|411|sample|12|274,6.33209,770.097,1.49943,2.42173,12142.4,12.6461,6.73592,769.978,1.49363,2.52262,12203.9,12.6467,True,70.0|274,411
9|411|sample|11|274,6.66734,770.073,1.49943,2.24404,12142.4,12.6461,6.44714,769.978,1.49363,2.25871,12203.9,12.6467,True,70.0|274,411
9|411|cc|1|1|274,2.48431,771.739,1.4995,0.107053,12142.4,12.6461,2.36444,771.788,1.4937,0.00393936,12203.9,12.6467,False,69.0|274,411
9|411|cc|2|1|274,2.3421,771.749,1.4995,0.0190544,12142.4,12.6461,2.36444,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|cc|3|1|274,2.43905,771.74,1.4995,0.0799789,12142.4,12.6461,2.36444,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|cc|4|1|274,2.49423,771.744,1.4995,0.0326749,12142.4,12.6461,2.36444,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|cc|5|1|274,2.46565,771.814,1.4995,0.0335207,12142.4,12.6461,2.36444,771.788,1.4937,0.00393936,12203.9,12.6467,False,69.0|274,411
9|411|cc|6|1|274,2.39686,771.985,1.4995,0.152004,12142.4,12.6461,2.36444,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|cc|7|1|274,2.5131,771.832,1.4995,0.0232877,12142.4,12.6461,2.36444,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|cc|8|1|274,2.44918,771.661,1.4995,0.0617967,12142.4,12.6461,2.36444,771.788,1.4937,0.00393936,12203.9,12.6467,False,69.0|274,411
9|411|vc|1|2|274,2.36879,771.9,1.4995,0.0202711,12142.4,12.6461,2.36411,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|2|2|274,2.3343,771.788,1.4995,0.0459981,12142.4,12.6461,2.36456,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|3|2|274,2.39072,771.802,1.4995,0.0697654,12142.4,12.6461,2.36415,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|4|2|274,2.38953,771.893,1.4995,0.0335175,12142.4,12.6461,2.36446,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|5|2|274,2.46138,771.835,1.4995,0.0579257,12142.4,12.6461,2.3642,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|6|2|274,2.41371,771.745,1.4995,0.0241454,12142.4,12.6461,2.36453,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|7|2|274,2.47144,771.911,1.4995,0.0794916,12142.4,12.6461,2.36477,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
9|411|vc|8|2|274,2.47178,771.794,1.4995,0.101606,12142.4,12.6461,2.36443,771.788,1.4937,0.00393935,12203.9,12.6467,False,69.0|274,411
14|783|sample|3|71,6.15738,769.784,1.49952,0.0348111,12142.4,12.6462,6.95403,769.979,1.49372,0.0331756,12203.9,12.6467,True,6.0|71,783
14|783|sample|4|71,6.36112,769.869,1.49952,0.0338057,12142.4,12.6462,6.98495,769.979,1.49372,0.0322598,12203.9,12.6467,True,6.0|71,783
14|783|sample|5|71,7.34714,770.118,1.49952,0.059259,12142.4,12.6462,8.63115,769.98,1.49372,0.0594144,12203.9,12.6467,True,6.0|71,783
14|783|sample|6|71,6.5045,769.941,1.49952,0.0606585,12142.4,12.6462,7.29841,769.981,1.49372,0.0640877,12203.9,12.6467,True,6.0|71,783
14|783|sample|7|71,6.40599,769.918,1.49952,16.5401,12142.4,12.6462,6.49573,769.976,1.49372,16.7654,12203.9,12.6467,True,6.0|71,783
14|783|sample|8|71,6.31608,769.917,1.49952,14.2458,12142.4,12.6462,6.66202,769.976,1.49372,14.61,12203.9,12.6467,True,6.0|71,783
14|783|sample|10|71,5.97925,770.16,1.49952,0.0334757,12142.4,12.6462,6.29957,769.979,1.49372,0.0335475,12203.9,12.6467,True,6.0|71,783
14|783|sample|9|71,6.14693,770.08,1.49952,0.0307066,12142.4,12.6462,6.46883,769.979,1.49372,0.032223,12203.9,12.6467,True,6.0|71,783
