id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,-0.00750294,-0.0164451,8.12969e-08,0,0,0,0.00764643,-5.36134e-05,5.42855e-12,0,0,0,True,70.0|274,411
9|411|sample|3|274,-0.00278212,0.00219994,-1.5169e-07,0,0,0,0.00769972,-0.000195841,1.0969e-12,0,0,0,True,70.0|274,411
9|411|sample|5|274,0.00936017,-0.0287935,4.3525e-08,0,0,0,0.0077053,5.25977e-05,2.66152e-11,0,0,0,True,70.0|274,411
9|411|sample|6|274,0.00542978,-0.0348355,-2.23189e-07,0,0,0,0.00719992,3.79949e-05,-7.72804e-12,0,0,0,True,70.0|274,411
9|411|sample|8|274,-0.00412958,0.00827261,-1.15487e-08,0,0,0,0.00789433,-0.000142425,9.05231e-12,0,0,0,True,70.0|274,411
9|411|sample|7|274,-0.000332577,-0.0211562,-6.3711e-08,0,0,0,0.00777426,-0.000158217,-4.99156e-13,0,0,0,True,70.0|274,411
9|411|sample|9|274,0.00932517,0.014422,-2.98982e-07,0,0,0,0.00754056,2.07029e-05,2.44249e-12,0,0,0,True,70.0|274,411
9|411|sample|10|274,0.00699274,-0.0354019,2.97967e-08,0,0,0,0.00755516,5.82687e-05,-1.0445e-12,0,0,0,True,70.0|274,411
9|411|sample|12|274,0.00106714,0.0223218,-2.60647e-07,0,0,0,0.00810467,-0.000179606,6.21192e-12,0,0,0,True,70.0|274,411
9|411|sample|11|274,0.0033697,0.0187433,1.70307e-08,0,0,0,0.00774036,-0.000165007,-9.67404e-12,0,0,0,True,70.0|274,411
9|411|cc|1|1|274,0.00386414,-0.0105044,-1.25601e-07,0,0,0,-1.86489e-07,1.85014e-07,-9.09051e-13,0,0,0,False,69.0|274,411
9|411|cc|2|1|274,0.00189507,0.00404246,-6.39288e-08,0,0,0,-8.84787e-08,-4.11545e-07,2.81974e-12,0,0,0,False,69.0|274,411
9|411|cc|3|1|274,0.0100147,0.000340331,-1.19114e-07,0,0,0,4.21337e-08,-2.67368e-07,2.4869e-13,0,0,0,False,69.0|274,411
