rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,3.11005e-06,5.46727e-06,0,-1.83751e-06,0,0,True,70.0|274,411
1,9|411|sample|3|274,-1.17459e-06,5.92867e-06,0,6.10916e-07,0,0,True,70.0|274,411
1,9|411|sample|5|274,2.48885e-06,6.60835e-06,0,5.88273e-06,0,0,True,70.0|274,411
1,9|411|sample|6|274,1.23913e-06,-2.31458e-06,0,3.25116e-08,0,0,True,70.0|274,411
1,9|411|sample|8|274,-3.0133e-07,-2.03271e-06,0,-7.04067e-06,0,0,True,70.0|274,411
1,9|411|sample|7|274,1.09031e-06,-7.52404e-06,0,5.78717e-08,0,0,True,70.0|274,411
1,9|411|sample|9|274,4.45239e-06,1.16819e-05,0,-1.9981e-06,0,0,True,70.0|274,411
1,9|411|sample|10|274,6.86479e-07,-5.3646e-06,0,6.00568e-06,0,0,True,70.0|274,411
1,9|411|sample|12|274,2.92185e-06,7.81542e-06,0,2.54356e-06,0,0,True,70.0|274,411
1,9|411|sample|11|274,-2.23762e-06,-2.17675e-06,0,4.02512e-06,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,-2.94096e-07,3.76598e-06,0,7.18172e-07,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,-2.43057e-07,-6.75575e-07,0,3.68829e-06,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,5.95896e-07,5.15597e-06,0,4.24696e-06,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,2.62781e-07,2.14396e-06,0,-4.89703e-06,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,-1.38902e-06,8.20252e-06,0,6.36966e-06,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,5.06303e-06,7.77111e-06,0,1.76739e-06,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,-1.31814e-06,8.1189e-06,0,-3.7366e-06,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,4.90703e-06,-6.38518e-07,0,1.219e-05,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,-1.36784e-06,-6.40865e-07,0,1.09632e-06,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,1.18846e-06,7.12954e-06,0,4.51204e-06,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,1.40887e-06,2.99849e-06,0,5.3386e-06,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,-2.94012e-06,7.19806e-07,0,-3.23832e-07,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,2.07924e-06,-1.08467e-06,0,1.16561e-05,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,-9.59288e-07,-2.3051e-06,0,2.68522e-06,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,7.74566e-07,-5.57301e-06,0,-2.25797e-06,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,4.12543e-06,2.62854e-06,0,2.80503e-06,0,0,False,69.0|274,411
1,14|783|sample|3|71,7.27434e-07,-6.63239e-06,0,-9.7953e-06,0,0,True,6.0|71,783
1,14|783|sample|4|71,-1.11656e-06,-7.18599e-06,0,6.68178e-07,0,0,True,6.0|71,783
1,14|783|sample|5|71,1.24093e-06,-2.8792e-06,0,-6.86505e-06,0,0,True,6.0|71,783
1,14|783|sample|6|71,2.75036e-06,4.7697e-06,0,4.4022e-06,0,0,True,6.0|71,783
1,14|783|sample|7|71,-2.12445e-06,-4.85941e-06,0,5.46507e-06,0,0,True,6.0|71,783
1,14|783|sample|8|71,2.15404e-07,5.2084e-06,0,-2.95624e-07,0,0,True,6.0|71,783
1,14|783|sample|10|71,-1.90345e-06,7.56402e-06,0,3.68722e-06,0,0,True,6.0|71,783
1,14|783|sample|9|71,2.38891e-06,-1.30612e-05,0,5.48588e-06,0,0,True,6.0|71,783
1,14|783|sample|12|71,-2.75869e-07,8.38754e-06,0,4.75152e-06,0,0,True,6.0|71,783
1,14|783|sample|11|71,3.3983e-07,3.22427e-06,0,2.67878e-06,0,0,True,6.0|71,783
1,14|783|cc|1|1|71,-4.87861e-06,8.0928e-06,0,1.45208e-06,0,0,False,69.0|71,783
1,14|783|cc|2|1|71,2.22237e-06,-4.55833e-06,0,-4.27136e-06,0,0,False,69.0|71,783
1,14|783|cc|3|1|71,7.10322e-06,-4.70903e-06,0,-1.97992e-06,0,0,False,69.0|71,783
1,14|783|cc|4|1|71,-5.52658e-07,8.05983e-06,0,-4.0901e-06,0,0,False,69.0|71,783
1,14|783|cc|5|1|71,6.10719e-07,-5.46896e-07,0,-4.9618e-06,0,0,False,69.0|71,783
1,14|783|cc|6|1|71,-2.57546e-06,3.75509e-06,0,8.05446e-07,0,0,False,69.0|71,783
1,14|783|cc|7|1|71,2.08793e-06,3.76445e-06,0,-3.65324e-06,0,0,False,69.0|71,783
1,14|783|cc|8|1|71,6.13822e-06,6.58487e-06,0,-1.30836e-07,0,0,False,69.0|71,783
1,14|783|vc|1|2|71,-1.06515e-06,-3.76485e-06,0,4.93011e-07,0,0,False,69.0|71,783
1,14|783|vc|2|2|71,2.88503e-06,1.34804e-07,0,-3.48506e-06,0,0,False,69.0|71,783
1,14|783|vc|3|2|71,1.30655e-06,5.47e-06,0,3.2409e-06,0,0,False,69.0|71,783
1,14|783|vc|4|2|71,1.48687e-06,-7.76392e-06,0,-4.85225e-06,0,0,False,69.0|71,783
1,14|783|vc|5|2|71,-6.03832e-08,-1.65733e-06,0,-8.66898e-06,0,0,False,69.0|71,783
