parameter,value,CV
U_offset_pop,6.95220992373588,
beta_U_offset_goes_down_True,-1.0773986491679,
beta_U_offset_mab_virus_6_0_42,-2.92521323056243,
beta_U_offset_mab_virus_6_0_233,-0.417524937766404,
beta_U_offset_mab_virus_6_0_71,-0.815626558518733,
beta_U_offset_mab_virus_6_0_99,-0.510542789701951,
beta_U_offset_mab_virus_44_0_99,0.157922458730429,
beta_U_offset_mab_virus_63_0_42,-1.76671227288156,
beta_U_offset_mab_virus_63_0_99,1.21504191196554,
beta_U_offset_mab_virus_70_0_274,1.01296786888838,
beta_U_offset_mab_virus_65_0_65,-0.687485541360992,
beta_U_offset_mab_virus_65_0_69,-1.17428180499266,
beta_U_offset_mab_virus_65_0_319,1.34371183081672,
beta_U_offset_mab_virus_65_0_162,-1.59768832379175,
beta_U_offset_mab_virus_65_0_218,1.43815888406666,
beta_U_offset_mab_virus_65_0_174,0.978437877792078,
beta_U_offset_mab_virus_65_0_322,-0.488696199364627,
beta_U_offset_mab_virus_65_0_292,-1.61427698321238,
beta_U_offset_mab_virus_65_0_274,-1.8426557470387,
beta_U_offset_mab_virus_65_0_103,-3.13553218901034,
beta_U_offset_mab_virus_65_0_276,-2.46755436853485,
beta_U_offset_mab_virus_55_0_65,-1.8957580654682,
beta_U_offset_mab_virus_55_0_69,-0.102917561205389,
beta_U_offset_mab_virus_55_0_319,0.588212247154082,
beta_U_offset_mab_virus_55_0_162,-1.15681987263828,
beta_U_offset_mab_virus_55_0_218,-2.26562371805408,
beta_U_offset_mab_virus_55_0_174,-1.64972410808888,
beta_U_offset_mab_virus_55_0_322,0.302607442271288,
beta_U_offset_mab_virus_55_0_292,-0.994277917409287,
beta_U_offset_mab_virus_55_0_274,0.975029377967067,
beta_U_offset_mab_virus_55_0_103,0.277482310827784,
beta_U_offset_mab_virus_55_0_276,0.508074975629865,
beta_U_offset_mab_virus_28_0_65,-1.56001713785233,
beta_U_offset_mab_virus_28_0_69,-2.47147785687953,
beta_U_offset_mab_virus_28_0_319,-2.41708014112526,
beta_U_offset_mab_virus_28_0_162,-0.469779070576062,
beta_U_offset_mab_virus_28_0_218,-1.72050976771086,
beta_U_offset_mab_virus_28_0_174,0.954932820010696,
beta_U_offset_mab_virus_28_0_322,-0.470491811076584,
beta_U_offset_mab_virus_28_0_292,0.731228638466596,
beta_U_offset_mab_virus_28_0_274,1.07820732828276,
beta_U_offset_mab_virus_28_0_103,1.09756945942263,
beta_U_offset_mab_virus_28_0_276,-3.26032312211274,
beta_U_offset_mab_virus_32_0_65,0.710526282226274,
beta_U_offset_mab_virus_32_0_69,0.680290203292329,
beta_U_offset_mab_virus_32_0_319,-0.892873521157244,
beta_U_offset_mab_virus_32_0_162,0.329023376090808,
beta_U_offset_mab_virus_32_0_218,-0.204472546419318,
beta_U_offset_mab_virus_32_0_174,1.01736025763504,
beta_U_offset_mab_virus_32_0_322,0.661543661004144,
beta_U_offset_mab_virus_32_0_292,0.128622961933051,
beta_U_offset_mab_virus_32_0_274,-0.196826402612605,
beta_U_offset_mab_virus_32_0_103,1.06269548021425,
beta_U_offset_mab_virus_32_0_276,-4.06582779169717,
