rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,3.5503,772.123,0.250856,634.261,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|3|274,3.55031,772.123,0.250856,634.263,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|5|274,3.55031,772.123,0.250856,634.263,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|6|274,3.55028,772.123,0.250856,634.265,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|8|274,3.5503,772.123,0.250856,634.263,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|7|274,3.55029,772.123,0.250856,634.27,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|9|274,3.55031,772.123,0.250856,634.264,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|10|274,3.55031,772.123,0.250856,634.264,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|12|274,3.5503,772.123,0.250856,634.26,37614.3,13.3658,True,70.0|274,411
1,9|411|sample|11|274,3.5503,772.123,0.250856,634.266,37614.3,13.3658,True,70.0|274,411
1,9|411|cc|1|1|274,4.09929,770.019,0.0697387,0.69362,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|2|1|274,4.09928,770.019,0.0697387,0.693625,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|3|1|274,4.09927,770.019,0.0697387,0.693624,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|4|1|274,4.09927,770.019,0.0697387,0.693627,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|5|1|274,4.09927,770.019,0.0697387,0.693618,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|6|1|274,4.09928,770.019,0.0697387,0.693621,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|7|1|274,4.09928,770.019,0.0697387,0.69362,37614.3,13.3658,False,69.0|274,411
1,9|411|cc|8|1|274,4.09928,770.019,0.0697387,0.693624,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|1|2|274,4.09928,770.019,0.0697387,0.693616,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|2|2|274,4.09928,770.019,0.0697387,0.693618,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|3|2|274,4.09929,770.019,0.0697387,0.693618,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|4|2|274,4.09929,770.019,0.0697387,0.693619,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|5|2|274,4.09928,770.019,0.0697387,0.69362,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|6|2|274,4.09928,770.019,0.0697387,0.693618,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|7|2|274,4.09929,770.019,0.0697387,0.69362,37614.3,13.3658,False,69.0|274,411
1,9|411|vc|8|2|274,4.09927,770.019,0.0697387,0.693624,37614.3,13.3658,False,69.0|274,411
1,14|783|sample|3|71,0.776105,770.204,0.250867,331.201,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|4|71,0.776104,770.204,0.250867,331.201,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|5|71,0.776107,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|6|71,0.776104,770.204,0.250867,331.199,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|7|71,0.776108,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|8|71,0.776104,770.204,0.250867,331.202,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|10|71,0.776101,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|9|71,0.776105,770.204,0.250867,331.198,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|12|71,0.776103,770.204,0.250867,331.202,37614.3,13.3658,True,6.0|71,783
1,14|783|sample|11|71,0.776103,770.204,0.250867,331.199,37614.3,13.3658,True,6.0|71,783
