id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1.31912,1.65471,0.666333,0.125363,0.273662,2.76188,1.65435,0.654049,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.334156,1.65471,0.38499,0.125363,0.273662,3.10084,1.65435,0.373295,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,2.58445,1.65471,0.726848,0.125363,0.273662,3.41315,1.65435,0.726921,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,3.65172,1.65471,0.760569,0.125363,0.273662,7.11228,1.65435,0.661866,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.573928,1.65471,0.510744,0.125363,0.273662,2.34314,1.65435,0.507623,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.45122,1.65471,0.467847,0.125363,0.273662,2.64181,1.65435,0.470628,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,3.35924,1.65471,0.670831,0.125363,0.273662,6.01654,1.65435,0.631848,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,2.5665,1.65471,0.784609,0.125363,0.273662,3.44271,1.65435,0.765111,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,2.01551,1.65471,0.461159,0.125363,0.273662,2.37845,1.65435,0.456332,0.126355,0.276121,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.896742,1.65471,0.530305,0.125363,0.273662,2.63445,1.65435,0.526813,0.126355,0.276121,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,3.22071,1.65471,2.32951,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,3.16491,1.65471,2.47097,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,3.43269,1.65471,2.04108,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,3.51926,1.65471,2.91836,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,3.73437,1.65471,2.31211,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,3.29546,1.65471,2.48866,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,3.12655,1.65471,2.42829,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,3.58643,1.65471,2.49215,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,2.98724,1.65471,2.50015,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,3.55944,1.65471,2.3354,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,3.1781,1.65471,2.39362,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,3.69101,1.65471,2.30396,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,3.06845,1.65471,2.6993,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,3.02881,1.65471,2.29785,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,3.07651,1.65471,2.48856,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,3.62694,1.65471,2.37142,0.125363,0.273662,3.43163,1.65435,1.73962,0.126355,0.276121,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,10.0273,1.65471,3.04614,0.125368,0.273658,10.0914,1.65435,2.38796,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,10.0889,1.65471,2.3188,0.125368,0.273658,9.97658,1.65435,2.61417,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,9.67529,1.65471,2.10259,0.125368,0.273658,9.43647,1.65435,2.56737,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,9.74899,1.65471,1.69852,0.125368,0.273658,9.53797,1.65435,2.04654,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,3.04719,1.65471,0.0755198,0.125368,0.273658,4.71806,1.65435,0.0721891,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,1.94122,1.65471,0.0902206,0.125368,0.273658,3.78007,1.65435,0.0876883,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,10.1427,1.65471,2.39878,0.125368,0.273658,10.0713,1.65435,2.27036,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,10.131,1.65471,2.50819,0.125368,0.273658,10.2745,1.65435,1.37984,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0.367415,1.65471,0.0238279,0.125368,0.273658,1.50289,1.65435,0.0229984,0.12636,0.276116,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,-0.424337,1.65471,0.0230247,0.125368,0.273658,1.71573,1.65435,0.0223648,0.12636,0.276116,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,3.24201,1.65471,9.8816,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,3.55784,1.65471,11.6975,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,3.1237,1.65471,11.3305,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,3.18283,1.65471,11.2517,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,3.22857,1.65471,10.6021,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,3.06071,1.65471,9.87649,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,3.49847,1.65471,9.92421,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,3.57994,1.65471,11.7832,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,3.24515,1.65471,9.50266,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,3.43702,1.65471,10.3217,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,3.52348,1.65471,10.8194,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,2.7816,1.65471,10.0182,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,3.21602,1.65471,11.0845,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,3.32187,1.65471,10.5993,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,3.63917,1.65471,10.2299,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,3.15049,1.65471,10.1114,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,4.74994,1.65471,0.00820829,0.125509,0.273661,4.73954,1.65435,0.00789151,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,4.65545,1.65471,0.00832268,0.125509,0.273661,4.80629,1.65435,0.00826232,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,5.9912,1.65471,0.0482479,0.125509,0.273661,6.22251,1.65435,0.0415818,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,6.42967,1.65471,0.0557345,0.125509,0.273661,6.44888,1.65435,0.0525533,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,5.20243,1.65471,0.0948591,0.125509,0.273661,5.5686,1.65435,0.0897084,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,3.79597,1.65471,0.110804,0.125509,0.273661,5.2057,1.65435,0.102585,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,7.16118,1.65471,0.165523,0.125509,0.273661,7.19853,1.65435,0.153827,0.126505,0.276119,True,44.0|99,491
