rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-1.28063,1.71643,0.788657,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-4.72653,1.71643,0.430643,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-0.567709,1.71643,0.801457,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,7.28887,1.71643,0.948328,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-1.31083,1.71643,0.48328,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.104839,1.71643,0.540841,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,5.79948,1.71643,0.634596,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-1.93125,1.71643,0.945192,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-2.1264,1.71643,0.438105,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-0.424988,1.71643,0.623606,0.0804326,0.00688075,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.65287,1.71643,0.450399,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.60937,1.71643,0.195701,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,6.30561,1.71643,0.00188904,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.738082,1.71643,8.31527,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.98739,1.71643,5.98351,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.56568,1.71643,0.154844,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-0.619834,1.71643,0.398877,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-0.784301,1.71643,1.27408,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,6.04231,1.71643,0.0672813,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-2.5114,1.71643,0.0308086,0.0804326,0.00688075,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,9.25181,1.71643,0.00709034,0.0804326,0.00688075,False,69.0|274,411
