id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,2.26028,1.36044,0.404236,8.42017,4.32694,2.26028,1.37807,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,2.26028,1.88079,0.404236,8.42017,4.32694,2.26028,1.88018,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,2.26028,1.12916,0.404236,8.42017,4.32694,2.26028,1.20213,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,2.26028,1.06895,0.404236,8.42017,4.32694,2.26028,1.14943,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,2.26028,1.52333,0.404236,8.42017,4.32694,2.26028,1.57634,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,2.26028,1.63611,0.404236,8.42017,4.32694,2.26028,1.6514,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,2.26028,1.11672,0.404236,8.42017,4.32694,2.26028,1.27881,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,2.26028,0.972688,0.404236,8.42017,4.32694,2.26028,1.16319,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,2.26028,1.5588,0.404236,8.42017,4.32694,2.26028,1.59318,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,2.26028,1.56382,0.404236,8.42017,4.32694,2.26028,1.55647,0.411045,8.49068,4.32413,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.122114,0.130831,0.113736,8.42017,4.32694,0.122114,-2.58678e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.122114,-0.0432793,0.113736,8.42017,4.32694,0.122114,-2.21419e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.122114,-0.0578607,0.113736,8.42017,4.32694,0.122114,-8.8555e-08,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.122114,0.27154,0.113736,8.42017,4.32694,0.122114,-7.96059e-08,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.122114,-0.138417,0.113736,8.42017,4.32694,0.122114,-1.77282e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.122114,0.0940635,0.113736,8.42017,4.32694,0.122114,-2.21218e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.122114,-0.0922154,0.113736,8.42017,4.32694,0.122114,2.15963e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.122114,-0.164862,0.113736,8.42017,4.32694,0.122114,-1.06871e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.122114,0.0281749,0.113736,8.42017,4.32694,0.122114,-1.20878e-08,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.122114,-0.229282,0.113736,8.42017,4.32694,0.122114,7.6533e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.122114,-0.236175,0.113736,8.42017,4.32694,0.122114,5.82092e-08,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.122114,-0.000826007,0.113736,8.42017,4.32694,0.122114,5.4149e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.122114,0.13863,0.113736,8.42017,4.32694,0.122114,-2.94039e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.122114,0.352096,0.113736,8.42017,4.32694,0.122114,2.93408e-07,0.11408,8.49068,4.32413,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.122114,-0.0624104,0.113736,8.42017,4.32694,0.122114,-3.59431e-07,0.11408,8.49068,4.32413,False,69.0|274,411
