id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-0.0101454,0,0,0,0,0.0048333,0,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0.212285,0,0,0,0,0.219528,0,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-0.17788,0,0,0,0,-0.154433,0,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,-0.143825,0,0,0,0,-0.130518,0,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0.0841016,0,0,0,0,0.103846,0,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0.098436,0,0,0,0,0.127793,0,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,-0.117097,0,0,0,0,-0.0902974,0,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-0.191441,0,0,0,0,-0.164321,0,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0.129978,0,0,0,0,0.136629,0,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0.0821626,0,0,0,0,0.0919377,0,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0.00489408,0,0,0,0,1.48736e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-0.0234261,0,0,0,0,1.84162e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-0.0118288,0,0,0,0,7.18504e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-0.0109101,0,0,0,0,-6.21464e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0.0166828,0,0,0,0,2.62224e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0.00400667,0,0,0,0,4.33377e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0.0239206,0,0,0,0,8.30915e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,0.00346736,0,0,0,0,-1.46391e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,0.0162068,0,0,0,0,2.47344e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,0.0177525,0,0,0,0,1.10768e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,-0.0170207,0,0,0,0,-6.53736e-08,0,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,-0.00842355,0,0,0,0,4.81975e-08,0,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-0.00888182,0,0,0,0,-1.35085e-08,0,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,-0.00193251,0,0,0,0,-6.30094e-08,0,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,-0.0093565,0,0,0,0,8.11055e-08,0,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,0.0170267,0,0,0,0,-2.14549e-07,0,0,0,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,0,-0.590749,0,0,0,0,-0.604114,0,0,0,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,0,-0.591844,0,0,0,0,-0.591503,0,0,0,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,0,-0.510762,0,0,0,0,-0.501899,0,0,0,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,0,-0.50652,0,0,0,0,-0.490024,0,0,0,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,0,0.415479,0,0,0,0,0.421016,0,0,0,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,0,0.443565,0,0,0,0,0.45328,0,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,-0.602886,0,0,0,0,-0.592189,0,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,-0.606259,0,0,0,0,-0.600633,0,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,0.42023,0,0,0,0,0.429345,0,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,0.433747,0,0,0,0,0.427078,0,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,0.00455038,0,0,0,0,-2.0447e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,-0.0126453,0,0,0,0,2.44032e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,-0.00275619,0,0,0,0,-6.93488e-08,0,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,-0.000845628,0,0,0,0,-9.93737e-08,0,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0.00735146,0,0,0,0,1.22539e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0.00981463,0,0,0,0,-1.37948e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,-0.00661109,0,0,0,0,-2.5253e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,0.00100846,0,0,0,0,1.14239e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,-0.0244982,0,0,0,0,2.19211e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,-0.00332846,0,0,0,0,5.67483e-08,0,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,-0.0167543,0,0,0,0,7.26564e-08,0,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,-0.0043517,0,0,0,0,-2.78882e-08,0,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,0.0041495,0,0,0,0,-7.65726e-08,0,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,-0.00766871,0,0,0,0,-2.48188e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,0.00550656,0,0,0,0,-1.85643e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,-0.0149242,0,0,0,0,-1.54244e-07,0,0,0,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,0,0.236469,0,0,0,0,0.257481,0,0,0,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,0,0.276124,0,0,0,0,0.256888,0,0,0,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,0,0.174465,0,0,0,0,0.195677,0,0,0,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,0,0.160118,0,0,0,0,0.148205,0,0,0,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,0,0.166616,0,0,0,0,0.176201,0,0,0,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,0,0.225164,0,0,0,0,0.201812,0,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,-0.170288,0,0,0,0,-0.161413,0,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,-0.176923,0,0,0,0,-0.146102,0,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,-0.0174232,0,0,0,0,-0.00450339,0,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,-0.00762359,0,0,0,0,-0.00605539,0,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,0.0198826,0,0,0,0,1.84224e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,-0.00601435,0,0,0,0,2.13967e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,0.0279254,0,0,0,0,2.64607e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,-0.0122465,0,0,0,0,2.80776e-08,0,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,-0.0161399,0,0,0,0,9.03894e-08,0,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,-0.00788834,0,0,0,0,-6.81584e-08,0,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,-0.00237034,0,0,0,0,-1.22268e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,-0.00112262,0,0,0,0,-1.13477e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,0,-0.00954938,0,0,0,0,1.76216e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,-0.0138679,0,0,0,0,1.59475e-09,0,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,0.00143783,0,0,0,0,4.00278e-08,0,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,0.0245559,0,0,0,0,-6.2633e-08,0,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,0.0155903,0,0,0,0,-2.34582e-09,0,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,-0.00257667,0,0,0,0,-1.92514e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,-0.0405088,0,0,0,0,2.73182e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,-0.00146933,0,0,0,0,-1.44349e-07,0,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,0.192092,0,0,0,0,0.185243,0,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,0.207709,0,0,0,0,0.23834,0,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,-0.601453,0,0,0,0,-0.590344,0,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,-0.599465,0,0,0,0,-0.576092,0,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,0.28253,0,0,0,0,0.283753,0,0,0,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,0,0.262474,0,0,0,0,0.253209,0,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,0.17832,0,0,0,0,0.172419,0,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,0.0987345,0,0,0,0,0.0982085,0,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,-0.403509,0,0,0,0,-0.395774,0,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,-0.41623,0,0,0,0,-0.387736,0,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,0.0171808,0,0,0,0,1.33225e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,0.00165135,0,0,0,0,2.17775e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,0,-0.00147894,0,0,0,0,-1.72904e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,0,-0.0174175,0,0,0,0,-1.79509e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,0,0.0069785,0,0,0,0,-1.23703e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,0,-0.00301295,0,0,0,0,-2.0818e-07,0,0,0,False,69.0|99,433
