id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,141.489367
9|411|9|411|sample|3|274|3|274|70.0,137.152985
9|411|9|411|sample|5|274|5|274|70.0,163.330796
9|411|9|411|sample|6|274|6|274|70.0,163.097884
9|411|9|411|sample|8|274|8|274|70.0,142.022323
9|411|9|411|sample|7|274|7|274|70.0,139.293585
9|411|9|411|sample|9|274|9|274|70.0,161.303848
9|411|9|411|sample|10|274|10|274|70.0,163.818438
9|411|9|411|sample|12|274|12|274|70.0,141.693854
9|411|9|411|sample|11|274|11|274|70.0,140.393658
9|411|9|411|cc|1|1|274|1|274|69.0,11.541641
9|411|9|411|cc|2|1|274|1|274|69.0,11.653887
9|411|9|411|cc|3|1|274|1|274|69.0,11.573827
9|411|9|411|cc|4|1|274|1|274|69.0,11.626855
9|411|9|411|cc|5|1|274|1|274|69.0,12.047004
9|411|9|411|cc|6|1|274|1|274|69.0,11.551485
9|411|9|411|cc|7|1|274|1|274|69.0,11.707312
9|411|9|411|cc|8|1|274|1|274|69.0,12.337144
9|411|9|411|vc|1|2|274|2|274|69.0,19.961920
9|411|9|411|vc|2|2|274|2|274|69.0,19.911842
9|411|9|411|vc|3|2|274|2|274|69.0,20.493688
9|411|9|411|vc|4|2|274|2|274|69.0,19.972212
9|411|9|411|vc|5|2|274|2|274|69.0,20.401358
9|411|9|411|vc|6|2|274|2|274|69.0,19.915660
9|411|9|411|vc|7|2|274|2|274|69.0,19.938417
9|411|9|411|vc|8|2|274|2|274|69.0,19.882365
14|783|14|783|sample|3|71|3|71|6.0,167.726015
14|783|14|783|sample|4|71|4|71|6.0,167.807111
14|783|14|783|sample|5|71|5|71|6.0,165.112351
14|783|14|783|sample|6|71|6|71|6.0,166.981156
14|783|14|783|sample|7|71|7|71|6.0,108.999454
14|783|14|783|sample|8|71|8|71|6.0,138.858135
14|783|14|783|sample|10|71|10|71|6.0,170.388325
14|783|14|783|sample|9|71|9|71|6.0,169.832417
14|783|14|783|sample|12|71|12|71|6.0,140.006581
14|783|14|783|sample|11|71|11|71|6.0,134.338860
14|783|14|783|cc|1|1|71|1|71|69.0,12.487215
14|783|14|783|cc|2|1|71|1|71|69.0,11.028207
