parameter,value,CV
L_gap_pop,4.41342514313653,
beta_L_gap_mab_virus_22_0_162,8.15610409250431e-06,
beta_L_gap_mab_virus_22_0_174,-1.77899225785442e-06,
beta_L_gap_mab_virus_22_0_218,-6.96694501175887e-05,
beta_L_gap_mab_virus_22_0_274,4.18461416059756e-07,
beta_L_gap_mab_virus_22_0_276,3.59743523640746e-06,
beta_L_gap_mab_virus_22_0_292,1.18594690041451e-06,
beta_L_gap_mab_virus_22_0_319,-2.11031079429135e-06,
beta_L_gap_mab_virus_22_0_322,2.57124691360271e-05,
beta_L_gap_mab_virus_22_0_65,3.7042334768223e-07,
beta_L_gap_mab_virus_22_0_69,-6.3996804437017e-07,
beta_L_gap_mab_virus_28_0_103,-2.7873553799772e-06,
beta_L_gap_mab_virus_28_0_162,3.36589874370761e-06,
beta_L_gap_mab_virus_28_0_174,3.88963947625706e-07,
beta_L_gap_mab_virus_28_0_218,-5.94315948601356e-06,
beta_L_gap_mab_virus_28_0_274,1.30060934983192e-05,
beta_L_gap_mab_virus_28_0_276,6.90196317586969e-06,
beta_L_gap_mab_virus_28_0_292,5.29623549709257e-08,
beta_L_gap_mab_virus_28_0_319,-7.00858150395885e-06,
beta_L_gap_mab_virus_28_0_322,2.35144887507002e-06,
beta_L_gap_mab_virus_28_0_65,-0.000127882284391188,
beta_L_gap_mab_virus_28_0_69,1.43583896451349e-06,
beta_L_gap_mab_virus_32_0_103,9.71332090169856e-07,
beta_L_gap_mab_virus_32_0_162,7.07607184141419e-06,
beta_L_gap_mab_virus_32_0_174,-1.84615853226645e-08,
beta_L_gap_mab_virus_32_0_218,1.80206142178248e-05,
beta_L_gap_mab_virus_32_0_274,-0.000178295058770459,
beta_L_gap_mab_virus_32_0_276,0.000145350233281895,
beta_L_gap_mab_virus_32_0_292,-2.87854649680046e-05,
beta_L_gap_mab_virus_32_0_319,1.33606244644008e-06,
beta_L_gap_mab_virus_32_0_322,-1.43758731214219e-06,
beta_L_gap_mab_virus_32_0_65,-1.26480023847296e-06,
beta_L_gap_mab_virus_32_0_69,2.38196437608503e-07,
beta_L_gap_mab_virus_44_0_99,-3.7651112211921e-07,
beta_L_gap_mab_virus_55_0_103,8.29338359654801e-07,
beta_L_gap_mab_virus_55_0_162,2.10457815519636e-05,
beta_L_gap_mab_virus_55_0_174,2.54146058046061e-05,
beta_L_gap_mab_virus_55_0_218,1.61235721422661e-05,
beta_L_gap_mab_virus_55_0_274,3.26766550185377e-05,
beta_L_gap_mab_virus_55_0_276,2.06566038569956e-06,
beta_L_gap_mab_virus_55_0_292,-2.95174061802423e-07,
beta_L_gap_mab_virus_55_0_319,1.48752203409253e-05,
beta_L_gap_mab_virus_55_0_322,-8.71161807919221e-06,
beta_L_gap_mab_virus_55_0_65,1.24096615279356e-05,
beta_L_gap_mab_virus_55_0_69,-2.59103585192129e-06,
beta_L_gap_mab_virus_6_0_233,4.49998943337677e-05,
beta_L_gap_mab_virus_6_0_42,-4.89769335611253e-06,
beta_L_gap_mab_virus_6_0_71,-1.80259082249514e-06,
beta_L_gap_mab_virus_6_0_73,0.000149297824588951,
beta_L_gap_mab_virus_6_0_99,3.06151113023786e-06,
beta_L_gap_mab_virus_63_0_42,3.65005964312701e-05,
beta_L_gap_mab_virus_63_0_99,9.93189711688931e-06,
beta_L_gap_mab_virus_65_0_103,-6.15717447995702e-06,
beta_L_gap_mab_virus_65_0_162,3.01204342643114e-06,
beta_L_gap_mab_virus_65_0_174,1.31627791712654e-08,
beta_L_gap_mab_virus_65_0_218,1.95405879053353e-06,
beta_L_gap_mab_virus_65_0_274,-1.21728810390279e-06,
beta_L_gap_mab_virus_65_0_276,1.10834727308239e-06,
beta_L_gap_mab_virus_65_0_292,2.98085833030892e-08,
beta_L_gap_mab_virus_65_0_319,-4.71697813891553e-06,
beta_L_gap_mab_virus_65_0_322,3.51796749886392e-06,
beta_L_gap_mab_virus_65_0_65,-1.70988495373264e-05,
beta_L_gap_mab_virus_65_0_69,-0.000156844659215749,
beta_L_gap_mab_virus_69_0_103,-6.392083849761e-06,
beta_L_gap_mab_virus_69_0_162,-4.46046047879482e-06,
beta_L_gap_mab_virus_69_0_174,-2.07917505080877e-06,
beta_L_gap_mab_virus_69_0_218,-1.2974330212542e-05,
beta_L_gap_mab_virus_69_0_233,-1.61729209984347e-06,
beta_L_gap_mab_virus_69_0_274,-1.25718414784157e-07,
beta_L_gap_mab_virus_69_0_276,1.55318271551873e-06,
beta_L_gap_mab_virus_69_0_292,4.12224254031131e-06,
beta_L_gap_mab_virus_69_0_319,2.569928102984e-06,
