id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-1.89517,0,0,0,0,-1.91384,0,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-1.65915,0,0,0,0,-1.6494,0,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-2.19456,0,0,0,0,-2.11421,0,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,-2.12878,0,0,0,0,-2.07224,0,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,-1.79015,0,0,0,0,-1.7999,0,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,-1.78834,0,0,0,0,-1.77051,0,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,-2.06889,0,0,0,0,-2.03188,0,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-2.15359,0,0,0,0,-2.12136,0,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,-1.72078,0,0,0,0,-1.74868,0,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-1.81381,0,0,0,0,-1.80863,0,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0.308951,0,0,0,0,7.95677e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-0.464958,0,0,0,0,-1.52667e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-0.251016,0,0,0,0,1.47161e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-0.159238,0,0,0,0,-1.71664e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0.0205268,0,0,0,0,3.27061e-07,0,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,-0.0152446,0,0,0,0,-7.26487e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0.319242,0,0,0,0,-8.00816e-08,0,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,0.0615087,0,0,0,0,4.0776e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,0.0776431,0,0,0,0,3.12454e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,0.207773,0,0,0,0,1.06241e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,-0.217804,0,0,0,0,2.70121e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,0.0399362,0,0,0,0,-1.18376e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-0.105807,0,0,0,0,-3.49779e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,-0.142409,0,0,0,0,1.59769e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,-0.0802664,0,0,0,0,3.70051e-07,0,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,0.36673,0,0,0,0,-2.87437e-07,0,0,0,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,0,-2.54864,0,0,0,0,-2.57437,0,0,0,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,0,-2.56857,0,0,0,0,-2.56085,0,0,0,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,0,-2.46107,0,0,0,0,-2.47485,0,0,0,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,0,-2.46895,0,0,0,0,-2.45912,0,0,0,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,0,-0.432916,0,0,0,0,-0.333986,0,0,0,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,0,-0.645929,0,0,0,0,-0.55582,0,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,-2.56759,0,0,0,0,-2.55965,0,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,-2.58843,0,0,0,0,-2.56863,0,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,2.46213,0,0,0,0,1.49629,0,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,2.68049,0,0,0,0,1.5568,0,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,-0.0825461,0,0,0,0,7.05283e-08,0,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,-0.256131,0,0,0,0,-2.55157e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,-0.0824452,0,0,0,0,1.73684e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,0.187244,0,0,0,0,-1.66828e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0.105442,0,0,0,0,-3.45603e-08,0,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0.183087,0,0,0,0,1.26381e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,-0.0404249,0,0,0,0,1.3304e-07,0,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,-0.0992689,0,0,0,0,-1.60637e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,-0.411234,0,0,0,0,1.65677e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,-0.0724602,0,0,0,0,-4.80915e-08,0,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,-0.286346,0,0,0,0,-2.47519e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,0.0929899,0,0,0,0,-3.17739e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,0.210394,0,0,0,0,-2.85548e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,-0.171225,0,0,0,0,-1.99381e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,0.0332995,0,0,0,0,1.98063e-07,0,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,-0.0779723,0,0,0,0,2.43349e-07,0,0,0,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,0,1.83624,0,0,0,0,1.06296,0,0,0,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,0,1.90271,0,0,0,0,1.04622,0,0,0,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,0,-0.939682,0,0,0,0,-0.960289,0,0,0,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,0,-1.15846,0,0,0,0,-1.11128,0,0,0,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,0,-1.11876,0,0,0,0,-1.07555,0,0,0,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,0,-1.04295,0,0,0,0,-1.01688,0,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,-1.62476,0,0,0,0,-1.61418,0,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,-1.63197,0,0,0,0,-1.59531,0,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,2.3289,0,0,0,0,1.57005,0,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,2.32567,0,0,0,0,1.40435,0,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,0.145362,0,0,0,0,-1.27856e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,-0.0866486,0,0,0,0,3.60722e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,0.379817,0,0,0,0,4.07512e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,-0.154227,0,0,0,0,-1.46719e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,-0.130706,0,0,0,0,-2.25975e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,-0.0476086,0,0,0,0,1.95927e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,0.00886653,0,0,0,0,3.22781e-07,0,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,-0.0130264,0,0,0,0,-2.9708e-07,0,0,0,False,69.0|99,491
