parameter,value,CV
L_gap_mab_virus_22.0|103,2.9752065254935,
L_gap_mab_virus_22.0|162,2.97521226907221,
L_gap_mab_virus_22.0|174,2.97490410006509,
L_gap_mab_virus_22.0|218,2.97517204799937,
L_gap_mab_virus_22.0|274,2.97491105087513,
L_gap_mab_virus_22.0|276,2.97516930754867,
L_gap_mab_virus_22.0|292,2.97498010577342,
L_gap_mab_virus_22.0|319,2.97511157571341,
L_gap_mab_virus_22.0|322,2.97519941806786,
L_gap_mab_virus_22.0|65,2.97521272740404,
L_gap_mab_virus_22.0|69,2.97503389736803,
L_gap_mab_virus_28.0|103,2.97521543740722,
L_gap_mab_virus_28.0|162,2.97518005766012,
L_gap_mab_virus_28.0|174,2.97518804237738,
L_gap_mab_virus_28.0|218,2.97521437039067,
L_gap_mab_virus_28.0|274,2.97511206283798,
L_gap_mab_virus_28.0|276,2.9750490804366,
L_gap_mab_virus_28.0|292,2.97518368524947,
L_gap_mab_virus_28.0|319,2.9748412633641,
L_gap_mab_virus_28.0|322,2.97520128137642,
L_gap_mab_virus_28.0|65,2.975202657806,
L_gap_mab_virus_28.0|69,2.97515363198371,
L_gap_mab_virus_32.0|103,2.97494732914097,
L_gap_mab_virus_32.0|162,2.97514083705509,
L_gap_mab_virus_32.0|174,2.97516716215606,
L_gap_mab_virus_32.0|218,2.97520201433256,
L_gap_mab_virus_32.0|274,2.97516180942861,
L_gap_mab_virus_32.0|276,2.97518006280401,
L_gap_mab_virus_32.0|292,2.97517798408477,
L_gap_mab_virus_32.0|319,2.97520241198347,
L_gap_mab_virus_32.0|322,2.97516682728875,
L_gap_mab_virus_32.0|65,2.97521670279922,
L_gap_mab_virus_32.0|69,2.97494420909838,
L_gap_mab_virus_44.0|99,2.97520269512657,
L_gap_mab_virus_55.0|103,2.97526274089149,
L_gap_mab_virus_55.0|162,2.97529307466932,
L_gap_mab_virus_55.0|174,2.97520645490986,
L_gap_mab_virus_55.0|218,2.97520244664207,
L_gap_mab_virus_55.0|274,2.97476714887466,
L_gap_mab_virus_55.0|276,2.97522051867496,
L_gap_mab_virus_55.0|292,2.97526451593979,
L_gap_mab_virus_55.0|319,2.97519764916692,
L_gap_mab_virus_55.0|322,2.97521835082514,
L_gap_mab_virus_55.0|65,2.97520195535617,
L_gap_mab_virus_55.0|69,2.97522857451094,
L_gap_mab_virus_6.0|233,2.97530457040629,
L_gap_mab_virus_6.0|42,2.97507595335961,
L_gap_mab_virus_6.0|71,2.97522679690779,
L_gap_mab_virus_6.0|73,2.97520467939905,
L_gap_mab_virus_6.0|99,2.97520630243846,
L_gap_mab_virus_63.0|42,2.97502783624463,
L_gap_mab_virus_63.0|99,2.97521067238373,
L_gap_mab_virus_65.0|103,2.9751243920581,
L_gap_mab_virus_65.0|162,2.97496608737813,
L_gap_mab_virus_65.0|174,2.97525453023621,
L_gap_mab_virus_65.0|218,2.97521589085159,
L_gap_mab_virus_65.0|274,2.97425486519597,
L_gap_mab_virus_65.0|276,2.97522953803806,
L_gap_mab_virus_65.0|292,2.97515103788556,
L_gap_mab_virus_65.0|319,2.97516482486571,
L_gap_mab_virus_65.0|322,2.97507661668919,
L_gap_mab_virus_65.0|65,2.97522698610068,
L_gap_mab_virus_65.0|69,2.9749855051637,
L_gap_mab_virus_69.0|103,2.97522560920716,
L_gap_mab_virus_69.0|162,2.97521166231515,
L_gap_mab_virus_69.0|174,2.9752155445463,
L_gap_mab_virus_69.0|218,2.97521495140188,
L_gap_mab_virus_69.0|233,2.97520838897277,
L_gap_mab_virus_69.0|274,2.9751977438793,
L_gap_mab_virus_69.0|276,2.9752420186993,
L_gap_mab_virus_69.0|292,2.97521351159959,
L_gap_mab_virus_69.0|319,2.97521226960116,
L_gap_mab_virus_69.0|322,2.9752434864414,
L_gap_mab_virus_69.0|42,2.97520646531413,
L_gap_mab_virus_69.0|65,2.97521526694004,
L_gap_mab_virus_69.0|69,2.97521784733025,
L_gap_mab_virus_69.0|71,2.97520944498895,
L_gap_mab_virus_69.0|73,2.97522833907216,
L_gap_mab_virus_69.0|99,2.97519993032903,
L_gap_mab_virus_70.0|274,2.97501266545263,
alpha_run_id_1017,0.295408788732355,
alpha_run_id_1042,0.475261299872086,
alpha_run_id_1043,0.295420844744951,
alpha_run_id_1056,0.295414641102428,
alpha_run_id_1099,0.295408622096533,
alpha_run_id_1159,0.295402046711743,
alpha_run_id_1197,0.29540266351759,
alpha_run_id_1241,0.295430231882234,
alpha_run_id_1260,0.295445857384115,
alpha_run_id_152,0.295398181442089,
alpha_run_id_183,0.295416657587624,
alpha_run_id_291,0.295407905733009,
alpha_run_id_297,0.295394385254308,
alpha_run_id_322,0.295413474814438,
alpha_run_id_394,0.295425862886674,
alpha_run_id_411,0.295409488325198,
alpha_run_id_433,0.2953997533306,
alpha_run_id_462,0.295522033126189,
alpha_run_id_474,0.0489515798684388,
alpha_run_id_488,0.295424155504973,
alpha_run_id_491,0.295394123676141,
alpha_run_id_555,0.295465017935517,
alpha_run_id_611,0.295413686350988,
alpha_run_id_705,0.295404721981512,
alpha_run_id_719,0.295404556956345,
alpha_run_id_745,0.295400661567862,
alpha_run_id_75,0.295377449901577,
alpha_run_id_77,0.295412967038045,
alpha_run_id_783,0.295358676452361,
alpha_run_id_84,0.295418392562685,
alpha_run_id_847,0.295407541098722,
alpha_run_id_863,0.295415654679244,
alpha_run_id_963,0.295405399398177,
k_run_id_1017,1.27222208176623,
