id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-1.31429e-09,3.15701e-09,-0.467594,0,0,1.40332e-13,9.90874e-14,-0.480233,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,9.17855e-09,-1.43575e-08,-1.06485,0,0,4.08562e-14,4.52027e-13,-1.04995,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,-1.02143e-09,6.16474e-09,-0.368269,0,0,4.26326e-14,-4.24993e-13,-0.386781,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,6.64868e-10,-1.22513e-09,-0.311669,0,0,-2.66454e-14,-2.21378e-13,-0.310239,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1.67139e-09,1.6699e-08,-0.699974,0,0,-3.67706e-13,-4.30156e-13,-0.742472,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-1.87225e-09,-4.66705e-09,-0.806082,0,0,4.79616e-14,1.5099e-14,-0.81726,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-2.34052e-10,-1.09754e-08,-0.473856,0,0,-2.54019e-13,-3.59546e-13,-0.469707,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-5.45717e-09,-5.94016e-09,-0.326718,0,0,1.35003e-13,-4.95159e-14,-0.32597,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-3.30979e-09,4.60573e-09,-0.877778,0,0,1.47438e-13,-8.90399e-14,-0.882339,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,4.89317e-10,4.81447e-09,-0.694554,0,0,-2.4869e-14,3.43947e-13,-0.716386,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-2.47937e-09,8.0051e-09,-0.147835,0,0,3.55271e-15,-2.12885e-14,-1.45289e-07,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,3.82011e-09,-4.88741e-10,-0.41284,0,0,0,5.55112e-16,-2.45521e-07,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,3.42045e-09,-9.05042e-10,0.231703,0,0,1.77636e-15,4.4964e-15,2.2925e-07,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,3.13641e-09,-1.65773e-09,0.128635,0,0,7.10543e-15,-1.0103e-14,-6.46764e-07,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,-1.6013e-09,-1.40357e-09,0.27415,0,0,1.77636e-15,-6.77236e-15,1.82924e-07,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-9.4471e-11,3.46428e-09,0.0587239,0,0,0,-4.17721e-15,1.47977e-07,0,0,False,69.0|274,411
