rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-0.617721,-1.19032e-08,-0.574062,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.0928675,3.44471e-09,-1.08758,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.30705,2.27934e-08,-0.521125,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1.01679,-5.69088e-09,-0.339259,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-1.17866,-1.83224e-09,-0.964027,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.58009,-2.34313e-08,-0.739432,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-0.872704,3.13004e-08,-0.545825,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.0662388,1.34252e-08,-0.426042,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-0.196757,7.33386e-10,-1.03786,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-0.529906,1.28935e-08,-0.894942,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.274493,-1.42804e-08,1.59549,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-0.188751,-4.2195e-09,1.70964,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-0.172023,-1.18392e-08,5.8912,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-1.18545,-1.73569e-08,1.53506,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.14364,6.96313e-09,-0.949911,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.249091,-3.1055e-09,2.84166,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.833479,-2.62891e-08,2.39585,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.785508,-3.12674e-08,1.912,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-0.842243,-2.4045e-09,0.475893,0,0,False,69.0|274,411
