rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-6.51779e-08,0.00445282,-0.856195,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,2.74654e-09,0.0933711,-1.24387,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.08183e-07,0.0761947,-0.440881,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,6.95623e-08,0.0134916,-0.386393,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,7.78348e-08,0.440269,-0.307757,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.24116e-07,0.205674,-0.698102,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,6.05533e-08,0.203035,-0.359146,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-1.55066e-08,0.140788,-0.354465,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,8.82009e-08,0.145446,-0.887053,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-1.49237e-08,0.123911,-0.64482,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-4.30701e-08,0.03547,-0.383012,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-5.74402e-08,-0.12704,1.93699,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-8.68677e-08,-0.221667,4.73811,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-3.02933e-08,0.0860913,1.48262,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,2.97331e-08,-0.47477,2.4602,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-6.87239e-09,0.0537964,-6.48549,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-4.73899e-08,0.433528,0.0863959,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,8.69299e-08,0.338595,0.72201,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-7.86168e-08,-0.402824,-1.38243,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-8.29079e-09,-0.127295,1.61639,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,-3.77473e-08,-0.0564769,4.86513,0,0,False,69.0|274,411
