rep,id,eta_U,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,0,0,1.96794,0,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,0,0,0.193428,0,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,0,0,1.06423,0,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,0,0,-5.69514,0,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,0,0,1.87125,0,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,0,0,1.40982,0,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,0,0,-0.634106,0,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,0,0,-4.19051,0,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,0,0,-1.16112,0,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,0,0,-1.48621,0,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,0,0,-1.02242,0,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,0,0,-2.84305,0,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,0,0,-2.37777,0,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,0,0,-3.70576,0,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,0,0,-3.51965,0,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,0,0,-1.04792,0,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,0,0,-1.01272,0,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,0,0,-0.739247,0,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,0,0,-0.522875,0,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,0,0,1.95988,0,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,0,0,-0.0174129,0,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,0,0,2.05768,0,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,0,0,0.175708,0,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,0,0,1.11011,0,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,0,0,-2.20064,0,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,0,0,-1.35546,0,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,0,0,-0.689236,0,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,0,0,0.620993,0,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,0,0,0.164468,0,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,0,0,-0.224905,0,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,0,0,-0.743616,0,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,0,0,0.396689,0,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,0,0,3.12309,0,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,0,0,3.69418,0,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,0,0,-0.178852,0,0,0,True,32.0|274,719
1,8|719|sample|11|274,0,0,0,0.221505,0,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,0,0,0.559752,0,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,0,0,-1.98007,0,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,0,0,-2.07736,0,0,0,True,55.0|274,719
1,8|719|sample|5|274,0,0,0,-2.3087,0,0,0,True,55.0|274,719
1,8|719|sample|6|274,0,0,0,-1.80842,0,0,0,True,55.0|274,719
1,8|719|sample|7|274,0,0,0,-0.123575,0,0,0,True,32.0|274,719
1,8|719|sample|8|274,0,0,0,-0.0372488,0,0,0,True,32.0|274,719
1,8|719|sample|9|274,0,0,0,0.121833,0,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,0,0,0,2.49322,0,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,0,0,0,-1.73834,0,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,0,0,0,1.1222,0,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,0,0,0,-2.30232,0,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,0,0,0,0.308717,0,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,0,0,0,-0.852063,0,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,0,0,0,0.643802,0,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,0,0,0,-0.532226,0,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,0,0,0,0.0318107,0,0,0,False,69.0|322,488
1,8|488|cc|2|1|322,0,0,0,-2.41784,0,0,0,False,69.0|322,488
1,8|488|cc|3|1|322,0,0,0,4.84344,0,0,0,False,69.0|322,488
1,8|488|cc|4|1|322,0,0,0,-0.645243,0,0,0,False,69.0|322,488
1,8|488|cc|5|1|322,0,0,0,1.99419,0,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,0,0,0,0.476398,0,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,0,0,0,-0.803725,0,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,0,0,0,-0.583144,0,0,0,False,69.0|322,488
1,8|488|sample|10|322,0,0,0,-3.01332,0,0,0,True,32.0|322,488
1,8|488|sample|11|322,0,0,0,-0.302612,0,0,0,True,22.0|322,488
1,8|488|sample|12|322,0,0,0,-0.415092,0,0,0,True,22.0|322,488
1,8|488|sample|3|322,0,0,0,-3.37238,0,0,0,True,55.0|322,488
1,8|488|sample|4|322,0,0,0,-3.49804,0,0,0,True,55.0|322,488
1,8|488|sample|5|322,0,0,0,-3.65434,0,0,0,True,55.0|322,488
1,8|488|sample|6|322,0,0,0,-3.55661,0,0,0,True,55.0|322,488
1,8|488|sample|7|322,0,0,0,-2.02223,0,0,0,True,32.0|322,488
1,8|488|sample|8|322,0,0,0,-2.13634,0,0,0,True,32.0|322,488
1,8|488|sample|9|322,0,0,0,-3.27252,0,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,0,0,0,0.337651,0,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,0,0,0,-1.02772,0,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,0,0,0,-1.44868,0,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,0,0,0,-0.00376533,0,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,0,0,0,-4.91164,0,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,0,0,0,1.61035,0,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,0,0,0,0.660876,0,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,0,0,0,-2.46111,0,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,0,0,0,-0.926495,0,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,0,0,0,-0.731028,0,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,0,0,0,2.2143,0,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,0,0,0,2.5789,0,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,0,0,0,1.12607,0,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,0,0,0,3.7179,0,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,0,0,0,-0.420841,0,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,0,0,0,1.60798,0,0,0,False,69.0|69,847
1,8|847|sample|10|69,0,0,0,1.25,0,0,0,True,32.0|69,847
1,8|847|sample|11|69,0,0,0,-0.62632,0,0,0,True,22.0|69,847
1,8|847|sample|12|69,0,0,0,-0.793844,0,0,0,True,22.0|69,847
1,8|847|sample|3|69,0,0,0,-2.52407,0,0,0,True,55.0|69,847
1,8|847|sample|4|69,0,0,0,-2.11893,0,0,0,True,55.0|69,847
1,8|847|sample|5|69,0,0,0,-3.8716,0,0,0,True,55.0|69,847
1,8|847|sample|6|69,0,0,0,-4.14215,0,0,0,True,55.0|69,847
1,8|847|sample|7|69,0,0,0,0.597968,0,0,0,True,32.0|69,847
1,8|847|sample|8|69,0,0,0,0.932445,0,0,0,True,32.0|69,847
1,8|847|sample|9|69,0,0,0,1.22642,0,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,0,0,0,3.77314,0,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,0,0,0,0.773621,0,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,0,0,0,1.31792,0,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,0,0,0,2.03173,0,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,0,0,0,-0.515531,0,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,0,0,0,-2.37887,0,0,0,False,69.0|69,847
1,8|847|vc|7|2|69,0,0,0,-3.34226,0,0,0,False,69.0|69,847
1,8|847|vc|8|2|69,0,0,0,0.349669,0,0,0,False,69.0|69,847
1,8|474|cc|1|1|276,0,0,0,-2.64918,0,0,0,False,69.0|276,474
1,8|474|cc|2|1|276,0,0,0,1.55256,0,0,0,False,69.0|276,474
1,8|474|cc|3|1|276,0,0,0,-0.975306,0,0,0,False,69.0|276,474
1,8|474|cc|4|1|276,0,0,0,-4.29666,0,0,0,False,69.0|276,474
1,8|474|cc|5|1|276,0,0,0,0.277224,0,0,0,False,69.0|276,474
1,8|474|cc|6|1|276,0,0,0,0.278569,0,0,0,False,69.0|276,474
1,8|474|cc|7|1|276,0,0,0,-1.03101,0,0,0,False,69.0|276,474
1,8|474|cc|8|1|276,0,0,0,0.132394,0,0,0,False,69.0|276,474
1,8|474|sample|10|276,0,0,0,2.34779,0,0,0,True,32.0|276,474
1,8|474|sample|11|276,0,0,0,0.610191,0,0,0,True,22.0|276,474
1,8|474|sample|12|276,0,0,0,0.353693,0,0,0,True,22.0|276,474
1,8|474|sample|3|276,0,0,0,-1.38846,0,0,0,True,55.0|276,474
1,8|474|sample|4|276,0,0,0,-1.5049,0,0,0,True,55.0|276,474
1,8|474|sample|5|276,0,0,0,-1.78668,0,0,0,True,55.0|276,474
1,8|474|sample|6|276,0,0,0,-1.78536,0,0,0,True,55.0|276,474
1,8|474|sample|7|276,0,0,0,2.33717,0,0,0,True,32.0|276,474
1,8|474|sample|8|276,0,0,0,2.05289,0,0,0,True,32.0|276,474
1,8|474|sample|9|276,0,0,0,2.10562,0,0,0,True,32.0|276,474
1,8|474|vc|1|2|276,0,0,0,-2.0743,0,0,0,False,69.0|276,474
1,8|474|vc|2|2|276,0,0,0,2.93568,0,0,0,False,69.0|276,474
1,8|474|vc|3|2|276,0,0,0,2.22543,0,0,0,False,69.0|276,474
1,8|474|vc|4|2|276,0,0,0,-1.38265,0,0,0,False,69.0|276,474
1,8|474|vc|5|2|276,0,0,0,5.41173,0,0,0,False,69.0|276,474
1,8|474|vc|6|2|276,0,0,0,1.30261,0,0,0,False,69.0|276,474
1,8|474|vc|7|2|276,0,0,0,-0.542202,0,0,0,False,69.0|276,474
1,8|474|vc|8|2|276,0,0,0,-1.38175,0,0,0,False,69.0|276,474
1,8|462|cc|1|1|292,0,0,0,0.56451,0,0,0,False,69.0|292,462
1,8|462|cc|2|1|292,0,0,0,0.25839,0,0,0,False,69.0|292,462
1,8|462|cc|3|1|292,0,0,0,-4.131,0,0,0,False,69.0|292,462
1,8|462|cc|4|1|292,0,0,0,-1.49004,0,0,0,False,69.0|292,462
1,8|462|cc|5|1|292,0,0,0,0.523952,0,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,0,0,0,1.32299,0,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,0,0,0,-1.0461,0,0,0,False,69.0|292,462
1,8|462|cc|8|1|292,0,0,0,-1.061,0,0,0,False,69.0|292,462
1,8|462|sample|10|292,0,0,0,2.20744,0,0,0,True,32.0|292,462
1,8|462|sample|11|292,0,0,0,-0.225482,0,0,0,True,22.0|292,462
1,8|462|sample|12|292,0,0,0,-0.363227,0,0,0,True,22.0|292,462
1,8|462|sample|3|292,0,0,0,-3.07229,0,0,0,True,55.0|292,462
1,8|462|sample|4|292,0,0,0,-2.7273,0,0,0,True,55.0|292,462
1,8|462|sample|5|292,0,0,0,-4.42075,0,0,0,True,55.0|292,462
1,8|462|sample|6|292,0,0,0,-4.02707,0,0,0,True,55.0|292,462
1,8|462|sample|7|292,0,0,0,2.15487,0,0,0,True,32.0|292,462
