id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,-2.10159e-09,0,0,0,0,0,0,1.51221e-11,0,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,5.41803e-10,0,0,0,0,0,0,4.16992e-10,0,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,9.09786e-10,0,0,0,0,0,0,-4.90818e-11,0,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,6.52072e-10,0,0,0,0,0,0,5.97478e-12,0,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,1.11074e-09,0,0,0,0,0,0,4.76197e-11,0,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,1.31363e-09,0,0,0,0,0,0,-1.01359e-11,0,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,2.05709e-09,0,0,0,0,0,0,-4.86073e-11,0,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,2.51025e-09,0,0,0,0,0,0,-1.24754e-11,0,0,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,-9.95191e-10,0,0,0,0,0,0,1.33906e-11,0,0,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,3.19953e-09,0,0,0,0,0,0,2.57563e-11,0,0,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,5.50079e-10,0,0,0,0,0,0,3.00853e-11,0,0,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,2.4369e-09,0,0,0,0,0,0,1.73106e-11,0,0,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,-1.69077e-09,0,0,0,0,0,0,-7.89768e-12,0,0,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,-1.96156e-09,0,0,0,0,0,0,6.20126e-12,0,0,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,-3.27661e-09,0,0,0,0,0,0,-5.53175e-11,0,0,0,0,True,55.0|162,84
8|84|sample|7|162,0,0,-4.98881e-10,0,0,0,0,0,0,-8.23706e-11,0,0,0,0,True,32.0|162,84
8|84|sample|8|162,0,0,-9.06472e-10,0,0,0,0,0,0,1.75282e-11,0,0,0,0,True,32.0|162,84
8|84|sample|9|162,0,0,-1.18039e-09,0,0,0,0,0,0,8.19353e-11,0,0,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,0,-4.01466e-09,0,0,0,0,0,0,-2.13203e-11,0,0,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,0,-1.57798e-09,0,0,0,0,0,0,1.74532e-11,0,0,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,0,4.13574e-10,0,0,0,0,0,0,-2.40092e-11,0,0,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,0,-1.66832e-10,0,0,0,0,0,0,2.11262e-11,0,0,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,0,2.41619e-09,0,0,0,0,0,0,-2.27329e-12,0,0,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,0,-3.87237e-11,0,0,0,0,0,0,-7.14939e-12,0,0,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,0,-1.2449e-09,0,0,0,0,0,0,-1.43738e-11,0,0,0,0,False,69.0|162,84
8|84|vc|8|2|162,0,0,-1.35974e-09,0,0,0,0,0,0,-2.49556e-11,0,0,0,0,False,69.0|162,84
8|719|cc|1|1|274,0,0,-4.20326e-10,0,0,0,0,0,0,-3.50706e-11,0,0,0,0,False,69.0|274,719
8|719|cc|2|1|274,0,0,-6.05261e-10,0,0,0,0,0,0,1.22725e-11,0,0,0,0,False,69.0|274,719
8|719|cc|3|1|274,0,0,-1.93093e-09,0,0,0,0,0,0,-7.4585e-11,0,0,0,0,False,69.0|274,719
8|719|cc|4|1|274,0,0,7.30713e-10,0,0,0,0,0,0,3.2008e-11,0,0,0,0,False,69.0|274,719
8|719|cc|5|1|274,0,0,2.08008e-09,0,0,0,0,0,0,-1.22873e-11,0,0,0,0,False,69.0|274,719
8|719|cc|6|1|274,0,0,-1.44298e-09,0,0,0,0,0,0,-1.24721e-11,0,0,0,0,False,69.0|274,719
8|719|cc|7|1|274,0,0,1.52076e-09,0,0,0,0,0,0,9.08507e-12,0,0,0,0,False,69.0|274,719
8|719|cc|8|1|274,0,0,1.11711e-09,0,0,0,0,0,0,3.12774e-11,0,0,0,0,False,69.0|274,719
8|719|sample|10|274,0,0,-1.1439e-09,0,0,0,0,0,0,-1.57043e-11,0,0,0,0,True,32.0|274,719
8|719|sample|11|274,0,0,-3.45404e-09,0,0,0,0,0,0,-2.52722e-11,0,0,0,0,True,22.0|274,719
8|719|sample|12|274,0,0,1.96094e-10,0,0,0,0,0,0,2.53917e-11,0,0,0,0,True,22.0|274,719
8|719|sample|3|274,0,0,-5.83352e-10,0,0,0,0,0,0,1.82565e-11,0,0,0,0,True,55.0|274,719
8|719|sample|4|274,0,0,4.46226e-10,0,0,0,0,0,0,-1.43006e-11,0,0,0,0,True,55.0|274,719
8|719|sample|5|274,0,0,-1.80687e-10,0,0,0,0,0,0,1.90337e-11,0,0,0,0,True,55.0|274,719
8|719|sample|6|274,0,0,2.39447e-09,0,0,0,0,0,0,1.06333e-11,0,0,0,0,True,55.0|274,719
8|719|sample|7|274,0,0,2.71442e-09,0,0,0,0,0,0,-1.07354e-11,0,0,0,0,True,32.0|274,719
8|719|sample|8|274,0,0,1.3784e-09,0,0,0,0,0,0,6.38409e-11,0,0,0,0,True,32.0|274,719
8|719|sample|9|274,0,0,-2.23417e-09,0,0,0,0,0,0,2.93801e-11,0,0,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,0,5.30415e-10,0,0,0,0,0,0,-1.34395e-11,0,0,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,0,1.73785e-09,0,0,0,0,0,0,3.26097e-11,0,0,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,0,8.81756e-10,0,0,0,0,0,0,-1.05141e-11,0,0,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,0,1.03363e-09,0,0,0,0,0,0,-1.34889e-11,0,0,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,0,-1.35358e-09,0,0,0,0,0,0,3.8207e-11,0,0,0,0,False,69.0|274,719
8|719|vc|6|2|274,0,0,3.08271e-09,0,0,0,0,0,0,-1.61995e-11,0,0,0,0,False,69.0|274,719
