id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1.54604,0.00551162,1.46892,14.4035,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|2|1|162,1.54604,0.00551162,1.46892,11.3761,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,0.999998,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|3|1|162,1.54604,0.00551162,1.46892,6.7285,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0214,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|4|1|162,1.54604,0.00551162,1.46892,4.38308,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|5|1|162,1.54604,0.00551162,1.46892,6.45036,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|6|1|162,1.54604,0.00551162,1.46892,6.99612,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|7|1|162,1.54604,0.00551162,1.46892,11.3828,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|cc|8|1|162,1.54604,0.00551162,1.46892,5.95554,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|sample|10|162,1.58229,0.000122733,0.784094,0.252936,5.42637,0.412454,3.08711e-12,1.58229,0.000122733,0.784094,0.254856,5.42637,0.411975,2.87665e-12,True,32.0|162,84
8|84|sample|11|162,1.47239,0.00424374,0.908317,0.146571,7.01841,0.412454,3.08711e-12,1.47239,0.00424374,0.908317,0.14982,7.01841,0.411975,2.87665e-12,True,22.0|162,84
8|84|sample|12|162,1.47239,0.00424374,0.908317,0.201267,7.01841,0.412454,3.08711e-12,1.47239,0.00424374,0.908317,0.203076,7.01841,0.411975,2.87665e-12,True,22.0|162,84
8|84|sample|3|162,1.60836,0.073803,0.578354,0.0233774,7.39267,0.412454,3.08711e-12,1.60836,0.073803,0.578354,0.02635,7.39267,0.411975,2.87665e-12,True,55.0|162,84
8|84|sample|4|162,1.60836,0.0738029,0.578354,0.0307052,7.39267,0.412454,3.08711e-12,1.60836,0.073803,0.578354,0.0298883,7.39267,0.411975,2.87665e-12,True,55.0|162,84
8|84|sample|5|162,1.60836,0.073803,0.578354,0.0273742,7.39267,0.412454,3.08711e-12,1.60836,0.073803,0.578354,0.0284103,7.39267,0.411975,2.87665e-12,True,55.0|162,84
8|84|sample|6|162,1.60836,0.073803,0.578354,0.0192073,7.39267,0.412454,3.08711e-12,1.60836,0.073803,0.578354,0.0200142,7.39267,0.411975,2.87665e-12,True,55.0|162,84
8|84|sample|7|162,1.58229,0.000122733,0.784094,0.222046,5.42637,0.412454,3.08711e-12,1.58229,0.000122733,0.784094,0.221695,5.42637,0.411975,2.87665e-12,True,32.0|162,84
8|84|sample|8|162,1.58229,0.000122733,0.784094,0.236229,5.42637,0.412454,3.08711e-12,1.58229,0.000122733,0.784094,0.229459,5.42637,0.411975,2.87665e-12,True,32.0|162,84
8|84|sample|9|162,1.58229,0.000122733,0.784094,0.260713,5.42637,0.412454,3.08711e-12,1.58229,0.000122733,0.784094,0.260438,5.42637,0.411975,2.87665e-12,True,32.0|162,84
8|84|vc|1|2|162,1.54604,0.00551162,1.46892,4.30235,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.01368,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|2|2|162,1.54604,0.00551162,1.46892,8.4914,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.02275,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|3|2|162,1.54604,0.00551162,1.46892,6.64929,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|4|2|162,1.54604,0.00551162,1.46892,15.0993,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|5|2|162,1.54604,0.00551162,1.46892,8.79622,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|6|2|162,1.54604,0.00551162,1.46892,3.73801,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
