id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|2|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|3|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|4|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|5|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|6|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|7|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|cc|8|1|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|sample|10|162,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419433,True,32.0|162,84
8|84|sample|11|162,1,0.00396039,0.648988,0.00634334,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00634334,36.1425,0.283341,0.419433,True,22.0|162,84
8|84|sample|12|162,1,0.00396039,0.648988,0.00634334,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00634334,36.1425,0.283341,0.419433,True,22.0|162,84
8|84|sample|3|162,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419433,True,55.0|162,84
8|84|sample|4|162,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419433,True,55.0|162,84
8|84|sample|5|162,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419433,True,55.0|162,84
8|84|sample|6|162,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.000590344,36.1425,0.283341,0.419433,True,55.0|162,84
8|84|sample|7|162,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419433,True,32.0|162,84
8|84|sample|8|162,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419433,True,32.0|162,84
8|84|sample|9|162,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419435,1,0.00396039,0.648988,0.00797222,36.1425,0.283341,0.419433,True,32.0|162,84
8|84|vc|1|2|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
8|84|vc|2|2|162,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419435,1,0.00396039,0.648988,0.025957,36.1497,0.283341,0.419433,False,69.0|162,84
