parameter,value,CV
L_goes_down_False,0.0034693807211069,
L_goes_down_True,0.0034693494665151,
m_goes_down_False_mab_virus_70.0|274,0.661669809248317,
m_goes_down_False_mab_virus_55.0|65,0.310659989813796,
m_goes_down_False_mab_virus_55.0|69,0.661667324534132,
m_goes_down_False_mab_virus_55.0|319,0.661694695489756,
m_goes_down_False_mab_virus_55.0|162,0.661722910348761,
m_goes_down_False_mab_virus_55.0|218,0.661669371007366,
m_goes_down_False_mab_virus_55.0|174,0.661666462915698,
m_goes_down_False_mab_virus_55.0|322,0.661735173385807,
m_goes_down_False_mab_virus_55.0|292,0.40021264696655,
m_goes_down_False_mab_virus_55.0|274,0.661670568130664,
m_goes_down_False_mab_virus_55.0|103,0.661578071546818,
m_goes_down_False_mab_virus_55.0|276,0.662110628226688,
m_goes_down_False_mab_virus_32.0|65,0.482527639941109,
m_goes_down_False_mab_virus_32.0|69,0.661782988768627,
m_goes_down_False_mab_virus_32.0|319,0.661562230649148,
m_goes_down_False_mab_virus_32.0|162,0.661557849643453,
m_goes_down_False_mab_virus_32.0|218,0.661712481470793,
m_goes_down_False_mab_virus_32.0|174,0.661677374045984,
m_goes_down_False_mab_virus_32.0|322,0.383207808136692,
m_goes_down_False_mab_virus_32.0|292,0.661668254516506,
m_goes_down_False_mab_virus_32.0|274,0.661677141412156,
m_goes_down_False_mab_virus_32.0|103,0.66160324632532,
m_goes_down_False_mab_virus_32.0|276,0.661596357630235,
m_goes_down_False_mab_virus_22.0|65,0.564978333597628,
m_goes_down_False_mab_virus_22.0|69,0.66164922468566,
m_goes_down_False_mab_virus_22.0|319,0.66168551504784,
m_goes_down_False_mab_virus_22.0|162,0.661578074966443,
m_goes_down_False_mab_virus_22.0|218,0.661680619287344,
m_goes_down_False_mab_virus_22.0|174,0.66156093218672,
m_goes_down_False_mab_virus_22.0|322,0.471545450168718,
m_goes_down_False_mab_virus_22.0|292,0.661598200393676,
m_goes_down_False_mab_virus_22.0|274,0.661639066376768,
m_goes_down_False_mab_virus_22.0|103,0.661669534240298,
m_goes_down_False_mab_virus_22.0|276,0.661636130570374,
m_goes_down_False_mab_virus_69.0|65,0.661666930244599,
m_goes_down_False_mab_virus_69.0|69,0.661669164832993,
m_goes_down_False_mab_virus_69.0|319,0.661662862234025,
m_goes_down_False_mab_virus_69.0|162,0.661652401523723,
m_goes_down_False_mab_virus_69.0|218,0.661647072623651,
m_goes_down_False_mab_virus_69.0|174,0.661631072987235,
m_goes_down_False_mab_virus_69.0|322,0.661575189030668,
m_goes_down_False_mab_virus_69.0|292,0.661646248995717,
m_goes_down_False_mab_virus_69.0|274,0.66165865795598,
m_goes_down_False_mab_virus_69.0|103,0.661675158578562,
m_goes_down_False_mab_virus_69.0|276,0.6621008261511,
m_goes_down_True_mab_virus_70.0|274,0.664749054388499,
m_goes_down_True_mab_virus_55.0|65,0.313739234953978,
m_goes_down_True_mab_virus_55.0|69,0.664746569674314,
m_goes_down_True_mab_virus_55.0|319,0.664773940629939,
m_goes_down_True_mab_virus_55.0|162,0.664802155488943,
m_goes_down_True_mab_virus_55.0|218,0.664748616147548,
m_goes_down_True_mab_virus_55.0|174,0.664745708055881,
m_goes_down_True_mab_virus_55.0|322,0.66481441852599,
m_goes_down_True_mab_virus_55.0|292,0.403291892106732,
m_goes_down_True_mab_virus_55.0|274,0.664749813270846,
m_goes_down_True_mab_virus_55.0|103,0.664657316687,
m_goes_down_True_mab_virus_55.0|276,0.66518987336687,
m_goes_down_True_mab_virus_32.0|65,0.485606885081292,
m_goes_down_True_mab_virus_32.0|69,0.664862233908809,
m_goes_down_True_mab_virus_32.0|319,0.66464147578933,
m_goes_down_True_mab_virus_32.0|162,0.664637094783635,
m_goes_down_True_mab_virus_32.0|218,0.664791726610976,
m_goes_down_True_mab_virus_32.0|174,0.664756619186166,
m_goes_down_True_mab_virus_32.0|322,0.386287053276875,
m_goes_down_True_mab_virus_32.0|292,0.664747499656689,
m_goes_down_True_mab_virus_32.0|274,0.664756386552338,
m_goes_down_True_mab_virus_32.0|103,0.664682491465502,
m_goes_down_True_mab_virus_32.0|276,0.664675602770418,
m_goes_down_True_mab_virus_22.0|65,0.56805757873781,
m_goes_down_True_mab_virus_22.0|69,0.664728469825842,
m_goes_down_True_mab_virus_22.0|319,0.664764760188023,
m_goes_down_True_mab_virus_22.0|162,0.664657320106626,
m_goes_down_True_mab_virus_22.0|218,0.664759864427526,
m_goes_down_True_mab_virus_22.0|174,0.664640177326902,
m_goes_down_True_mab_virus_22.0|322,0.4746246953089,
m_goes_down_True_mab_virus_22.0|292,0.664677445533858,
m_goes_down_True_mab_virus_22.0|274,0.66471831151695,
m_goes_down_True_mab_virus_22.0|103,0.66474877938048,
m_goes_down_True_mab_virus_22.0|276,0.664715375710556,
m_goes_down_True_mab_virus_69.0|65,0.664746175384782,
m_goes_down_True_mab_virus_69.0|69,0.664748409973175,
m_goes_down_True_mab_virus_69.0|319,0.664742107374207,
m_goes_down_True_mab_virus_69.0|162,0.664731646663905,
m_goes_down_True_mab_virus_69.0|218,0.664726317763833,
m_goes_down_True_mab_virus_69.0|174,0.664710318127418,
m_goes_down_True_mab_virus_69.0|322,0.66465443417085,
m_goes_down_True_mab_virus_69.0|292,0.664725494135899,
m_goes_down_True_mab_virus_69.0|274,0.664737903096163,
m_goes_down_True_mab_virus_69.0|103,0.664754403718745,
