rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|2|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|3|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|4|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|5|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|6|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|7|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|cc|8|1|162,1,0.106089,1.99238,0.00844262,10.9865,0.325642,0.591259,False,69.0|162,84
1,8|84|sample|10|162,1,0.106089,1.16578,0.417116,12.026,0.325642,0.591259,True,32.0|162,84
1,8|84|sample|11|162,1,0.106089,2.06342,0.59401,9.35762,0.325642,0.591259,True,22.0|162,84
1,8|84|sample|12|162,1,0.106089,2.06342,0.59401,9.35762,0.325642,0.591259,True,22.0|162,84
1,8|84|sample|3|162,1,0.106089,1.07863,0.0837871,11.3586,0.325642,0.591259,True,55.0|162,84
1,8|84|sample|4|162,1,0.106089,1.07863,0.0837871,11.3586,0.325642,0.591259,True,55.0|162,84
1,8|84|sample|5|162,1,0.106089,1.07863,0.0837871,11.3586,0.325642,0.591259,True,55.0|162,84
1,8|84|sample|6|162,1,0.106089,1.07863,0.0837871,11.3586,0.325642,0.591259,True,55.0|162,84
1,8|84|sample|7|162,1,0.106089,1.16578,0.417116,12.026,0.325642,0.591259,True,32.0|162,84
1,8|84|sample|8|162,1,0.106089,1.16578,0.417116,12.026,0.325642,0.591259,True,32.0|162,84
1,8|84|sample|9|162,1,0.106089,1.16578,0.417116,12.026,0.325642,0.591259,True,32.0|162,84
