rep,id,eta_U,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,0,0,-1.91349,0,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,0,0,1.04116,0,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,0,0,0.213815,0,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,0,0,2.09516,0,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,0,0,0.847846,0,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,0,0,-0.67756,0,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,0,0,-0.945036,0,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,0,0,2.29132,0,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,0,0,-0.809008,0,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,0,0,-0.774789,0,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,0,0,-0.710685,0,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,0,0,-2.88903,0,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,0,0,-2.2976,0,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,0,0,-3.7515,0,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,0,0,-3.67994,0,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,0,0,-1.05422,0,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,0,0,-1.0536,0,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,0,0,-0.954578,0,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,0,0,0.141613,0,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,0,0,-1.33708,0,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,0,0,3.8976,0,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,0,0,2.25235,0,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,0,0,0.319731,0,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,0,0,-3.04755,0,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,0,0,0.303602,0,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,0,0,-0.62566,0,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,0,0,3.80171,0,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,0,0,1.31329,0,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,0,0,-1.80295,0,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,0,0,1.16823,0,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,0,0,3.05916,0,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,0,0,0.859531,0,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,0,0,1.49365,0,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,0,0,0.348803,0,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,0,0,0.30735,0,0,0,True,32.0|274,719
1,8|719|sample|11|274,0,0,0,1.08892,0,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,0,0,1.34954,0,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,0,0,-2.21277,0,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,0,0,-2.16041,0,0,0,True,55.0|274,719
1,8|719|sample|5|274,0,0,0,-2.33605,0,0,0,True,55.0|274,719
1,8|719|sample|6|274,0,0,0,-2.15656,0,0,0,True,55.0|274,719
1,8|719|sample|7|274,0,0,0,0.293834,0,0,0,True,32.0|274,719
1,8|719|sample|8|274,0,0,0,0.211503,0,0,0,True,32.0|274,719
1,8|719|sample|9|274,0,0,0,0.42296,0,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,0,0,0,-2.64804,0,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,0,0,0,-0.990873,0,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,0,0,0,-1.68889,0,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,0,0,0,-2.05469,0,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,0,0,0,3.02994,0,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,0,0,0,-2.80486,0,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,0,0,0,1.42036,0,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,0,0,0,-0.361175,0,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,0,0,0,0.539118,0,0,0,False,69.0|322,488
