rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,1,0.00456901,2.5145,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|2|1|162,1,0.00456901,2.828,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|3|1|162,1,0.00456901,1.6052,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|4|1|162,1,0.00456901,1.25908,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|5|1|162,1,0.00456901,2.91127,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|6|1|162,1,0.00456901,2.34584,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|7|1|162,1,0.00456901,2.58401,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|cc|8|1|162,1,0.00456901,1.94123,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|sample|10|162,1,0.00456887,1.31755,0.00242598,1450.9,0.229323,0.000113727,True,32.0|162,84
1,8|84|sample|11|162,1,0.00456887,1.34987,0.00242641,1450.9,0.229323,0.000113727,True,22.0|162,84
1,8|84|sample|12|162,1,0.00456887,1.14761,0.00242641,1450.9,0.229323,0.000113727,True,22.0|162,84
1,8|84|sample|3|162,1,0.00456887,1.60036,0.00239877,1450.9,0.229323,0.000113727,True,55.0|162,84
1,8|84|sample|4|162,1,0.00456887,1.50126,0.00239877,1450.9,0.229323,0.000113727,True,55.0|162,84
1,8|84|sample|5|162,1,0.00456887,2.82646,0.00239877,1450.9,0.229323,0.000113727,True,55.0|162,84
1,8|84|sample|6|162,1,0.00456887,2.98012,0.00239877,1450.9,0.229323,0.000113727,True,55.0|162,84
1,8|84|sample|7|162,1,0.00456887,1.13755,0.00242598,1450.9,0.229323,0.000113727,True,32.0|162,84
1,8|84|sample|8|162,1,0.00456887,1.31427,0.00242598,1450.9,0.229323,0.000113727,True,32.0|162,84
1,8|84|sample|9|162,1,0.00456887,1.1595,0.00242598,1450.9,0.229323,0.000113727,True,32.0|162,84
1,8|84|vc|1|2|162,1,0.00456901,1.71979,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|2|2|162,1,0.00456901,2.03073,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|3|2|162,1,0.00456901,1.45732,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|4|2|162,1,0.00456901,2.35804,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|5|2|162,1,0.00456901,1.55091,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|6|2|162,1,0.00456901,2.26839,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|7|2|162,1,0.00456901,1.396,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|84|vc|8|2|162,1,0.00456901,1.38749,0.00242611,1450.9,0.229323,0.000113727,False,69.0|162,84
1,8|719|cc|1|1|274,1,0.00456901,2.20622,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|2|1|274,1,0.00456901,2.39382,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|3|1|274,1,0.00456901,2.03298,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|4|1|274,1,0.00456901,2.66881,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|5|1|274,1,0.00456901,2.39955,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|6|1|274,1,0.00456901,1.51527,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
1,8|719|cc|7|1|274,1,0.00456901,2.09719,0.00242613,1450.9,0.229323,0.000113737,False,69.0|274,719
