id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,3.83405e-09,7.96378e-09,0,0,0,0,0,4.00124e-11,2.18572e-11,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,-1.89008e-09,3.39039e-10,0,0,0,0,0,-3.91525e-11,-1.79088e-11,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,-5.27468e-10,3.81721e-09,0,0,0,0,0,3.51648e-11,-2.40741e-11,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-3.8863e-09,-1.47564e-09,0,0,0,0,0,-3.86637e-11,-1.87903e-11,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,-1.76052e-09,2.42675e-10,0,0,0,0,0,-3.18566e-11,-1.6553e-11,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,7.02964e-11,4.26496e-10,0,0,0,0,0,8.60001e-12,2.45564e-11,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,-2.76685e-09,3.97795e-09,0,0,0,0,0,4.11564e-11,-2.37286e-11,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,-3.44754e-09,5.36388e-09,0,0,0,0,0,2.84626e-11,-8.38263e-12,0,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,5.11345e-09,-2.84114e-09,0,0,0,0,0,3.57865e-11,-4.56453e-11,0,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,9.84742e-09,-7.55351e-10,0,0,0,0,0,-2.14362e-11,1.54952e-11,0,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,4.18284e-09,-4.05959e-09,0,0,0,0,0,3.23506e-11,-1.33156e-11,0,0,0,True,22.0|162,84
