parameter,value,CV
U_pop,1,
L_pop,0.0654819129785245,
beta_L_goes_down_True,0.00539869114168397,
m_pop,1.02244466002565,
beta_m_goes_down_True,1.9929110683733,
beta_m_mab_virus_55_0_65,-1.93630732271981,
beta_m_mab_virus_55_0_69,-1.02702872756368,
beta_m_mab_virus_55_0_319,-2.39966181833857,
beta_m_mab_virus_55_0_162,0.268368045127933,
beta_m_mab_virus_55_0_218,-2.29979760906938,
beta_m_mab_virus_55_0_174,-2.23574989753948,
beta_m_mab_virus_55_0_322,3.79662171943269,
beta_m_mab_virus_55_0_292,-0.502589768395536,
beta_m_mab_virus_55_0_274,0.632467005426607,
beta_m_mab_virus_55_0_103,-0.453477321083713,
beta_m_mab_virus_55_0_276,-0.268859345950833,
beta_m_mab_virus_32_0_65,0.645132125490202,
beta_m_mab_virus_32_0_69,-1.83680436461678,
beta_m_mab_virus_32_0_319,-2.14015188013646,
beta_m_mab_virus_32_0_162,-0.829627543327266,
beta_m_mab_virus_32_0_218,-1.9253686665063,
beta_m_mab_virus_32_0_174,-2.11820593064404,
beta_m_mab_virus_32_0_322,-1.79616561614283,
beta_m_mab_virus_32_0_292,-2.08396322490971,
beta_m_mab_virus_32_0_274,-1.30475362689132,
beta_m_mab_virus_32_0_103,-2.04012280543951,
beta_m_mab_virus_32_0_276,-2.0682263854192,
beta_m_mab_virus_22_0_65,-1.85258854385485,
beta_m_mab_virus_22_0_69,-0.9211191008812,
beta_m_mab_virus_22_0_319,-1.80999821234198,
beta_m_mab_virus_22_0_162,-0.5917333332477,
beta_m_mab_virus_22_0_218,-1.87299785095483,
beta_m_mab_virus_22_0_174,-2.0689454085848,
beta_m_mab_virus_22_0_322,-1.32080702686276,
beta_m_mab_virus_22_0_292,-0.992363805094919,
beta_m_mab_virus_22_0_274,-1.4535759269397,
beta_m_mab_virus_22_0_103,-2.0102530661376,
beta_m_mab_virus_22_0_276,-1.45071667904136,
beta_m_mab_virus_69_0_65,-0.264992548151748,
beta_m_mab_virus_69_0_69,-0.703316612213571,
beta_m_mab_virus_69_0_319,-0.63564139011319,
beta_m_mab_virus_69_0_162,0.0607468994080438,
beta_m_mab_virus_69_0_218,0.509247269027053,
beta_m_mab_virus_69_0_174,-0.279552055655819,
beta_m_mab_virus_69_0_322,0.432369745253258,
beta_m_mab_virus_69_0_292,-0.0128693267855135,
beta_m_mab_virus_69_0_274,-0.0778720326794182,
beta_m_mab_virus_69_0_103,-0.0775400617791657,
beta_m_mab_virus_69_0_276,0.0789537053417982,
e_pop,0.437886667514271,
beta_e_goes_down_True,5.07222377465876e-15,
s_pop,74.052760735985,
beta_s_goes_down_True,1.46660251704799e-09,
alpha_pop,0.222399547420368,
beta_alpha_run_id_84,-1.6033804353879e-05,
beta_alpha_run_id_719,-0.131850189970439,
beta_alpha_run_id_488,-7.05744705643758e-05,
beta_alpha_run_id_847,-4.9201304713399e-12,
beta_alpha_run_id_474,-0.816120513943974,
beta_alpha_run_id_462,-5.04303428872264e-11,
beta_alpha_run_id_75,1.02925001776704,
beta_alpha_run_id_291,0.871428544314605,
beta_alpha_run_id_77,-0.108403322210273,
beta_alpha_run_id_322,5.18413637900922e-13,
beta_alpha_run_id_963,-3.71830436321583e-08,
beta_alpha_run_id_1241,-0.380802854542191,
beta_alpha_run_id_1056,-1.75671648399168e-11,
beta_alpha_run_id_1159,-0.0587807532692659,
beta_alpha_run_id_1017,0.0659444864356502,
beta_alpha_run_id_1197,8.50270140761971e-12,
beta_alpha_run_id_745,-0.600497485261778,
beta_alpha_run_id_1043,7.81331245451973e-11,
beta_alpha_run_id_1260,1.00536988492485,
beta_alpha_run_id_1042,-0.491343693193183,
beta_alpha_run_id_863,-0.492310571754663,
beta_alpha_run_id_152,-3.67363912144808e-16,
k_pop,0.228262021991711,
beta_k_run_id_84,-1.0172093923157e-12,
beta_k_run_id_719,1.76749863694051e-11,
beta_k_run_id_488,2.59570214066839e-14,
beta_k_run_id_847,-0.511705046471258,
beta_k_run_id_474,-31.3626778121924,
beta_k_run_id_462,-2.0922402587559e-12,
beta_k_run_id_75,0.71917579614737,
beta_k_run_id_291,0.861391411338919,
beta_k_run_id_77,2.10528521187582e-14,
beta_k_run_id_322,1.0209769822024e-10,
beta_k_run_id_963,1.83067993069092e-12,
beta_k_run_id_1241,1.7504965419924e-15,
beta_k_run_id_1056,2.08009661471384e-10,
beta_k_run_id_1159,7.96794925889292e-15,
beta_k_run_id_1017,-9.56255289067553e-12,
beta_k_run_id_1197,-2.77592387792979e-12,
beta_k_run_id_745,-2.60212981373647e-09,
beta_k_run_id_1043,-2.52323583386693e-12,
beta_k_run_id_1260,1.50167672379412,
beta_k_run_id_1042,-2.87109796739212e-10,
beta_k_run_id_863,-1.25351957479734e-14,
beta_k_run_id_152,-3.08232614109194e-12,
omega_m,5.38080448185843e-08,5.2626852994894e-06
a,0.0826917621961184,
b,0.00540968202128042,
