rep,id,f,h,s,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,3.56051,0.821026,4.04177,0.674308,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,3.56051,0.821026,5.7646,-7.57106,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,3.56051,0.821026,3.67629,1.69407,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,3.56051,0.821026,3.54486,-2.74195,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,3.56051,0.821026,4.76682,-4.13836,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,3.56051,0.821026,4.5426,0.538609,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,3.56051,0.821026,3.8639,-1.1561,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,3.56051,0.821026,3.68922,-1.19122,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,3.56051,0.821026,5.05195,0.597661,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,3.56051,0.821026,4.51329,-0.76737,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.27574,0.821027,0.715636,-1.33125,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.27574,0.821027,0.363277,4.53612,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1.27574,0.821027,1.53217,-1.17556,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1.27574,0.821027,1.73794,2.58183,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.27574,0.821027,0.127578,-0.0116973,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.27574,0.821027,12.2724,-0.0971646,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.27574,0.821027,1.91866,-3.10064,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.27574,0.821027,0.240185,-1.45291,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1.27574,0.821027,8.35019,3.33522,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.27574,0.821027,0.110893,-2.28383,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,1.27574,0.821027,12.5534,0.217291,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.27574,0.821027,0.961774,-1.64675,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.27574,0.821027,0.539339,-4.22436,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.27574,0.821027,0.0243032,-3.31007,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.27574,0.821027,1.64482,-1.17188,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.27574,0.821027,225.845,2.54734,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.496811,0.821027,2.04601,0.0587769,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.496811,0.821027,1.85488,1.94493,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.496811,0.821027,1.75913,-1.55962,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.496811,0.821027,1.89988,1.71439,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.33394,0.667798,2.82725,3.13807,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.33394,0.667798,2.57434,1.71988,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0.33394,0.667798,2.48622,-3.50729,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.33394,0.667798,2.46286,2.03529,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.339364,0.821081,1.80565,4.71696,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.339364,0.821081,1.66446,-5.73733,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,1.97244,0.821027,2.18734,-0.960007,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,1.97244,0.821027,0.614862,-0.739263,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,1.97244,0.821027,34.1402,-1.15775,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,1.97244,0.821027,6.59338,-2.00097,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,1.97244,0.821027,2.04195,-0.911996,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,1.97244,0.821027,11.1621,0.94594,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,1.97244,0.821027,0.0317679,4.98957,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,1.97244,0.821027,1.1131,0.178214,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,1.97244,0.821027,15.7254,4.05679,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,1.97244,0.821027,0.385671,-3.23361,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,1.97244,0.821027,0.125831,3.84908,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,1.97244,0.821027,0.286077,-2.56843,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,1.97244,0.821027,5.59354,-6.51677,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,1.97244,0.821027,0.180206,0.0189337,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,1.97244,0.821027,1.96532,0.971348,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,1.97244,0.821027,0.74876,4.46446,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,1.01015,0.926886,4.88971,-0.00901886,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,1.01015,0.926886,5.10419,2.82342,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,1.01015,0.926886,4.97103,-3.86253,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,1.01015,0.926886,5.22812,-0.0876716,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,1.2068,0.821027,15.2211,-3.03336,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,1.2068,0.821027,12.9278,-0.53012,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,1.2068,0.821027,9.34689,0.693578,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,1.2068,0.821027,9.29252,-7.69066,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,1.659,0.948992,8.93678,-1.97063,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,1.659,0.948992,9.83717,-2.90206,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,1.43361,0.821027,0.132188,-1.3409,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,1.43361,0.821027,0.358397,-7.11393,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,1.43361,0.821027,6.70064,-3.74367,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,1.43361,0.821027,1.63913,0.251974,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,1.43361,0.821027,0.405734,4.0793,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,1.43361,0.821027,0.401455,-2.05526,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,1.43361,0.821027,0.437179,2.21438,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,1.43361,0.821027,0.102881,1.56143,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,1.43361,0.821027,0.451288,1.42168,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,1.43361,0.821027,7.30959,-0.5776,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,1.43361,0.821027,0.310576,-1.97471,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,1.43361,0.821027,4.52107,-3.19719,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,1.43361,0.821027,1.47566,1.6748,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,1.43361,0.821027,0.400196,4.13233,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,1.43361,0.821027,0.519724,-2.88543,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,1.43361,0.821027,50.5518,9.50723,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,0.0687897,0.494015,0.626052,4.09806,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,0.0687897,0.494015,0.638424,2.80302,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,0.0687897,0.494015,0.626148,-3.75742,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,0.0687897,0.494015,0.597587,-0.934261,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,0.341384,0.780344,9.07045,-7.92862,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,0.341384,0.780344,8.95643,0.563261,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,0.341384,0.780344,7.8703,2.92802,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,0.341384,0.780344,8.3167,-4.16467,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,1.05957,0.820683,3.61811,0.507398,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,1.05957,0.820683,3.50275,5.21728,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,1.01814,0.821027,3.92842,-0.171485,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,1.01814,0.821027,4.05528,1.33597,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,1.01814,0.821027,0.048134,-3.30044,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,1.01814,0.821027,0.831124,2.59365,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,1.01814,0.821027,0.46536,-4.26548,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,1.01814,0.821027,0.840679,0.659593,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,1.01814,0.821027,0.753749,-1.5464,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,1.01814,0.821027,0.348831,1.16259,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,1.01814,0.821027,0.333734,4.69296,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,1.01814,0.821027,36.4279,-4.05056,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,1.01814,0.821027,0.859405,-3.5259,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,1.01814,0.821027,0.15122,-5.03847,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,1.01814,0.821027,1.55434,-6.57791,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,1.01814,0.821027,3.91323,-0.245405,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,1.01814,0.821027,0.101554,-5.58432,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,1.01814,0.821027,20.9008,2.09785,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,3.35599,0.75386,7.19996,3.02649,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,3.35599,0.75386,6.34824,-3.1003,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,3.35599,0.75386,6.94005,0.771966,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,3.35599,0.75386,7.09652,1.23658,65.0|292,1159
