id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1.43053,0.953022,2.30115,-2.52448,1.43053,0.953033,2.29561,-2.52448,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1.43053,0.953022,3.27575,-2.52448,1.43053,0.953033,3.2632,-2.52448,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1.43053,0.953022,2.1551,-2.52448,1.43053,0.953033,2.16422,-2.52448,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1.43053,0.953022,2.0542,-2.52448,1.43053,0.953033,2.06198,-2.52448,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1.43053,0.953022,2.6856,-2.52448,1.43053,0.953033,2.6874,-2.52448,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.43053,0.953022,2.80668,-2.52448,1.43053,0.953033,2.82137,-2.52448,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1.43053,0.953022,2.24956,-2.52448,1.43053,0.953033,2.26177,-2.52448,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1.43053,0.953022,2.09216,-2.52448,1.43053,0.953033,2.08287,-2.52448,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1.43053,0.953022,2.83886,-2.52448,1.43053,0.953033,2.83425,-2.52448,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1.43053,0.953022,2.65552,-2.52448,1.43053,0.953033,2.6424,-2.52448,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1.32333,0.745773,5.38336,-2.25381,1.32333,0.744417,0.999999,-2.25381,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1.32333,0.745773,5.97556,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1.32333,0.745773,7.45281,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1.32333,0.745773,6.72479,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1.32333,0.745773,9.38489,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,1.32333,0.745773,11.2291,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1.32333,0.745773,7.14953,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,1.32333,0.745773,4.84591,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1.32333,0.745773,7.30314,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,1.32333,0.745773,6.25725,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1.32333,0.745773,5.19412,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1.32333,0.745773,4.0979,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1.32333,0.745773,3.49032,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,1.32333,0.745773,6.59298,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,1.32333,0.745773,6.31678,-2.25381,1.32333,0.744417,1,-2.25381,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,1.32333,0.745773,5.96852,-2.25381,1.32333,0.744417,1.02279,-2.25381,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.767598,0.729731,2.43765,-3.67072,0.767598,0.728966,2.43038,-3.67072,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.767598,0.729731,2.31095,-3.67072,0.767598,0.728966,2.31365,-3.67072,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.767598,0.729731,2.29089,-3.67072,0.767598,0.728966,2.27955,-3.67072,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.767598,0.729731,2.37864,-3.67072,0.767598,0.728966,2.38665,-3.67072,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.372272,0.657181,2.93051,-3.15211,0.372272,0.65759,2.93574,-3.15211,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.372272,0.657181,2.75789,-3.15211,0.372272,0.65759,2.75311,-3.15211,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.372272,0.657181,2.79313,-3.15211,0.372272,0.65759,2.78056,-3.15211,28.0|322,152
