id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,0,-1.60631e-10,0,0,0,1.2669e-11,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,0,1.12674e-09,0,0,0,-7.93809e-12,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,0,2.85643e-10,0,0,0,1.23159e-11,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,0,-4.05952e-09,0,0,0,-2.6084e-11,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,0,-7.17587e-10,0,0,0,-1.95088e-12,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,0,1.11569e-09,0,0,0,1.29163e-11,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,0,-4.5057e-09,0,0,0,-2.56359e-11,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,0,-2.14411e-09,0,0,0,-2.47922e-11,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,0,-4.83812e-10,0,0,0,-2.33924e-11,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,0,-2.87703e-10,0,0,0,1.32059e-11,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,0,-1.18206e-09,0,0,0,1.76099e-11,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,0,0,-1.96979e-09,0,0,0,3.94333e-11,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,0,0,-2.96346e-11,0,0,0,3.66649e-11,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,0,0,6.09384e-10,0,0,0,-1.24367e-11,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0,0,-1.14036e-10,0,0,0,3.3217e-11,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0,0,2.72777e-09,0,0,0,-3.93645e-11,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0,0,-1.78136e-10,0,0,0,9.59544e-12,69.0|274,411
