id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.268154,1.14396,0.942327,-4.72706,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.268154,1.14396,0.942327,-4.71673,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.268154,1.14396,0.942327,-4.71248,0.268155,1.14396,0.942329,-4.72697,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.268154,1.14396,0.942327,-4.76336,0.268155,1.14396,0.942329,-4.72697,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.268154,1.14396,0.942327,-4.73157,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.268154,1.14396,0.942327,-4.71609,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.268154,1.14396,0.942327,-4.7607,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.268154,1.14396,0.942327,-4.76542,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.268154,1.14396,0.942327,-4.73644,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.268154,1.14396,0.942327,-4.72672,0.268155,1.14396,0.942329,-4.72698,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.75199,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.76205,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.76898,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.74419,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.71167,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.75074,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.76916,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.268154,1.14396,0.942327,-4.7996,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.268154,1.14396,0.942327,-4.78841,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.268154,1.14396,0.942327,-4.72043,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.268154,1.14396,0.942327,-4.73601,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.268154,1.14396,0.942327,-4.75571,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.268154,1.14396,0.942327,-4.75987,0.268155,1.14396,0.942329,-4.72698,69.0|274,411
