id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mean,h_mean,s_mean,L_gap_mean,f_mode,h_mode,s_mode,L_gap_mode,f_sd,h_sd,s_sd,L_gap_sd,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1.94449,0.937567,2.74728,-4.33642,1.9098,0.937567,2.74728,-4.33642,1.91284,0.937567,2.74728,-4.33642,0.0988087,3.16101e-08,1.36571e-07,1.19209e-07,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1.06806,0.937567,2.74728,-4.33642,1.09832,0.937567,2.74728,-4.33642,1.09519,0.937567,2.74728,-4.33642,0.0458921,3.49463e-08,5.96046e-08,1.19209e-07,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,2.05433,0.937567,2.74728,-4.33642,2.09063,0.937567,2.74728,-4.33642,2.08274,0.937567,2.74728,-4.33642,0.081073,4.71216e-08,1.19209e-07,1.46001e-07,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,2.27429,0.937567,2.74728,-4.33642,2.26208,0.937567,2.74728,-4.33642,2.2612,0.937567,2.74728,-4.33642,0.103648,5.16191e-08,9.42432e-08,1.3328e-07,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1.48783,0.937567,2.74728,-4.33642,1.46801,0.937567,2.74728,-4.33642,1.47582,0.937567,2.74728,-4.33642,0.0782084,3.79907e-08,1.07454e-07,1.3328e-07,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.35794,0.937567,2.74728,-4.33642,1.34944,0.937567,2.74728,-4.33642,1.37334,0.937567,2.74728,-4.33642,0.0607115,3.49463e-08,1.19209e-07,8.42937e-08,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1.96602,0.937567,2.74728,-4.33642,1.97357,0.937567,2.74728,-4.33642,1.94175,0.937567,2.74728,-4.33642,0.100303,4.3444e-08,1.07454e-07,1.19209e-07,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,2.22469,0.937567,2.74728,-4.33642,2.23712,0.937567,2.74728,-4.33642,2.21468,0.937567,2.74728,-4.33642,0.0990934,4.47035e-08,8.9407e-08,1.03238e-07,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1.35232,0.937567,2.74728,-4.33642,1.37698,0.937567,2.74728,-4.33642,1.33493,0.937567,2.74728,-4.33642,0.104235,3.94248e-08,1.29905e-07,1.3328e-07,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1.51577,0.937567,2.74728,-4.33642,1.49143,0.937567,2.74728,-4.33642,1.50678,0.937567,2.74728,-4.33642,0.0833108,5.16191e-08,1.1151e-07,8.42937e-08,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1.16574,1.60982,10.8264,-1.07693,1.38876,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.07246,5.96046e-08,3.95372e-07,4.21468e-08,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1.44388,1.60982,10.8264,-1.07693,1.32095,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.0183,2.10734e-08,3.95372e-07,4.21468e-08,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1.60705,1.60982,10.8264,-1.07693,1.62723,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.52312,3.65002e-08,4.29815e-07,5.5755e-08,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1.56969,1.60982,10.8264,-1.07693,1.66705,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.66501,5.5755e-08,3.95372e-07,5.77119e-08,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1.42645,1.60982,10.8264,-1.07693,1.67077,1.60982,10.8264,-1.07693,0.999999,1.60982,10.8264,-1.07693,1.70013,5.16191e-08,2.6656e-07,5.16191e-08,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,1.32008,1.60982,10.8264,-1.07693,1.44998,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.48416,3.65002e-08,4.91512e-07,3.65002e-08,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1.59766,1.60982,10.8264,-1.07693,1.30545,1.60982,10.8264,-1.07693,0.999999,1.60982,10.8264,-1.07693,1.3537,5.5755e-08,4.76837e-07,5.37269e-08,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,1.37432,1.60982,10.8264,-1.07693,1.66736,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.64003,3.65002e-08,4.76837e-07,4.71216e-08,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1.75261,1.60982,10.8264,-1.07693,1.22908,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.10545,4.71216e-08,5.19621e-07,4.21468e-08,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,1.43541,1.60982,10.8264,-1.07693,1.55514,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.53948,4.71216e-08,3.37175e-07,5.37269e-08,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1.48722,1.60982,10.8264,-1.07693,1.38073,1.60982,10.8264,-1.07693,0.999999,1.60982,10.8264,-1.07693,1.51696,4.21468e-08,4.76837e-07,3.65002e-08,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1.63976,1.60982,10.8264,-1.07693,1.54126,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.41875,4.71216e-08,4.29815e-07,5.77119e-08,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1.47159,1.60982,10.8264,-1.07693,1.39572,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.17882,2.10734e-08,4.91512e-07,5.5755e-08,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,1.42039,1.60982,10.8264,-1.07693,1.2944,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,1.43588,5.16191e-08,5.05762e-07,5.16191e-08,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,1.51573,1.60982,10.8264,-1.07693,1.2983,1.60982,10.8264,-1.07693,1,1.60982,10.8264,-1.07693,0.834953,4.71216e-08,5.05762e-07,6.49527e-08,69.0|274,411
