parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,1,,0.297821681279281,29.7821681279281,0.576861,1.73352
beta_f_mab_virus_22_0_276,0,,0.673185495477407,inf,-1.31942,1.31942
beta_f_mab_virus_22_0_292,0,,0.514268109254311,inf,-1.00795,1.00795
beta_f_mab_virus_22_0_322,0,,1.01302453320295,inf,-1.98549,1.98549
beta_f_mab_virus_28_0_103,0,,0.7881029697894,inf,-1.54465,1.54465
beta_f_mab_virus_28_0_276,0,,0.557319525628924,inf,-1.09233,1.09233
beta_f_mab_virus_28_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_322,0,,0.579423436321201,inf,-1.13565,1.13565
beta_f_mab_virus_32_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_55_0_292,0,,0.62840341324069,inf,-1.23165,1.23165
beta_f_mab_virus_65_0_103,0,,0.705595028817156,inf,-1.38294,1.38294
beta_f_mab_virus_65_0_276,0,,0.708931996362375,inf,-1.38948,1.38948
beta_f_mab_virus_65_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_322,0,,0.667716540967909,inf,-1.3087,1.3087
beta_f_mab_virus_69_0_103,0,,1.10597254913649,inf,-2.16767,2.16767
beta_f_mab_virus_69_0_274,0,,1.18952965473757,inf,-2.33144,2.33144
beta_f_mab_virus_69_0_276,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_70_0_274,0,,0.424050423541534,inf,-0.831124,0.831124
h_pop,0.833388613588648,,1.32095111882163e-07,1.58503619713917e-05,0.833388,0.833389
beta_h_mab_virus_22_0_276,0.143478475855622,,1.67896232879835e-07,0.000117018411213668,0.143478,0.143479
beta_h_mab_virus_22_0_292,0.0396987412242904,,3.96266840411365e-07,0.000998184900051444,0.039698,0.0396995
beta_h_mab_virus_22_0_322,0.00689275867420491,,nan,nan,nan,nan
beta_h_mab_virus_28_0_103,-0.122628080626964,,1.54837716108206e-07,0.000126266117284527,-0.122628,-0.122628
beta_h_mab_virus_28_0_276,0.00701896657134782,,1.10068271150253e-07,0.00156815494177681,0.00701875,0.00701918
