rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.298531,0,0,-0.744708,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-0.472818,0,0,0.023879,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.379752,0,0,0.151071,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.252101,0,0,-0.497009,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-0.101833,0,0,-0.113962,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.092324,0,0,-0.149929,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.106291,0,0,0.509118,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.291968,0,0,-0.704972,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-0.318751,0,0,-0.130328,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-0.0499446,0,0,-0.066215,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.188807,0,0,0.304254,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-0.622431,0,0,0.736233,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.329181,0,0,-0.182891,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,3.52353,0,0,-0.409809,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,-1.26202,0,0,0.622899,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-1.19627,0,0,0.21243,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,3.28022,0,0,0.365578,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.566808,0,0,0.140856,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.07943,0,0,-0.789744,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.80592,0,0,0.575726,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.622173,0,0,0.377063,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-0.922282,0,0,0.00696227,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-1.65862,0,0,0.750679,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.637921,0,0,-0.470207,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.518007,0,0,0.886413,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.446501,0,0,0.108396,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.401645,0,0,-0.273463,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.468393,0,0,-1.01475,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.442568,0,0,0.122598,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.55738,0,0,0.72716,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,-0.787126,0,0,-0.229453,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-0.544784,0,0,-0.0397899,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,-0.37267,0,0,-0.745648,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,-0.437143,0,0,0.143932,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.176891,0,0,-0.248865,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.235235,0,0,-0.0858066,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0.261723,0,0,0.08059,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,1.18186,0,0,-1.02569,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,2.08074,0,0,-0.233344,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0.523467,0,0,0.185047,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,0.298699,0,0,0.307515,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,-0.856438,0,0,-0.20989,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,0.82144,0,0,-0.84501,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,1.57174,0,0,-0.595607,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,-0.846964,0,0,-0.0873271,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,1.09477,0,0,0.43886,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,-1.79699,0,0,0.123098,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-1.44169,0,0,-0.113638,69.0|322,152
