rep,id,f,h,s,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,3.17171,0.861347,3.51726,-0.220197,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.67984,0.861347,3.51726,-2.69173,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,2.97924,0.861347,3.51726,-3.21509,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,3.21958,0.861347,3.51726,-2.30194,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,2.37507,0.861347,3.51726,-3.87734,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,2.14514,0.861347,3.51726,-2.74853,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,2.95092,0.861347,3.51726,-4.29931,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,3.38861,0.861347,3.51726,-3.17982,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.98389,0.861347,3.51726,-4.50809,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,2.20325,0.861347,3.51726,-1.35987,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.14059,0.889577,3.51726,-2.54088,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.49216,0.889577,3.51726,-2.61832,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,3.07591,0.889577,3.51726,-2.84111,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,2.19449,0.889577,3.51726,-3.43127,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,2.58175,0.889577,3.51726,-1.54177,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.25782,0.889577,3.51726,-1.65722,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.64469,0.889577,3.51726,-1.08927,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,2.36913,0.889577,3.51726,-3.0127,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,2.073,0.889577,3.51726,-3.38311,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.50934,0.889577,3.51726,-1.99865,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,2.32467,0.889577,3.51726,-1.93972,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.99009,0.889577,3.51726,-3.65585,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.99342,0.889577,3.51726,-3.61605,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.94961,0.889577,3.51726,-2.99431,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,2.2805,0.889577,3.51726,-1.52919,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.4815,0.889577,3.51726,-1.00737,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,1.68648,0.620903,3.51726,-1.77878,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,1.76436,0.620903,3.51726,-1.91297,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,1.71755,0.620903,3.51726,-3.04236,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,2.10624,0.620903,3.51726,-0.188403,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.530823,0.602733,3.51726,-3.08366,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.608062,0.602733,3.51726,0.0844227,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0.730461,0.602733,3.51726,-2.2472,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.793534,0.602733,3.51726,-2.54843,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,1.58026,0.620958,3.51726,-1.25754,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,1.68745,0.620958,3.51726,-1.89091,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,8.005,0.620903,3.51726,-0.21495,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,8.77228,0.620903,3.51726,-3.13694,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,8.59204,0.620903,3.51726,-3.73807,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,5.65207,0.620903,3.51726,0.722673,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,5.94553,0.620903,3.51726,-2.17229,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,4.67959,0.620903,3.51726,-1.66175,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,4.66674,0.620903,3.51726,-1.69424,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,7.33558,0.620903,3.51726,-2.52367,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,6.93752,0.620903,3.51726,-1.4566,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,4.76797,0.620903,3.51726,-0.823469,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,5.69081,0.620903,3.51726,-0.398239,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,6.0398,0.620903,3.51726,-2.4722,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,5.23936,0.620903,3.51726,-4.09616,69.0|322,152
