id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,133.748841
9|411|9|411|sample|3|274|3|274|70.0,132.663323
9|411|9|411|sample|5|274|5|274|70.0,154.467631
9|411|9|411|sample|6|274|6|274|70.0,157.064947
9|411|9|411|sample|8|274|8|274|70.0,131.565379
9|411|9|411|sample|7|274|7|274|70.0,98.169901
9|411|9|411|sample|9|274|9|274|70.0,155.421480
9|411|9|411|sample|10|274|10|274|70.0,154.809580
9|411|9|411|sample|12|274|12|274|70.0,131.030332
9|411|9|411|sample|11|274|11|274|70.0,132.981427
9|411|9|411|cc|1|1|274|1|274|69.0,12.309529
9|411|9|411|cc|2|1|274|1|274|69.0,-21.047725
9|411|9|411|cc|3|1|274|1|274|69.0,12.161448
9|411|9|411|cc|4|1|274|1|274|69.0,12.233659
9|411|9|411|cc|5|1|274|1|274|69.0,12.562131
9|411|9|411|cc|6|1|274|1|274|69.0,12.206245
9|411|9|411|cc|7|1|274|1|274|69.0,12.392931
9|411|9|411|cc|8|1|274|1|274|69.0,13.407487
9|411|9|411|vc|1|2|274|2|274|69.0,-13.680832
9|411|9|411|vc|2|2|274|2|274|69.0,19.709159
9|411|9|411|vc|3|2|274|2|274|69.0,19.924411
9|411|9|411|vc|4|2|274|2|274|69.0,19.727849
9|411|9|411|vc|5|2|274|2|274|69.0,19.843915
9|411|9|411|vc|6|2|274|2|274|69.0,19.777141
9|411|9|411|vc|7|2|274|2|274|69.0,19.989591
9|411|9|411|vc|8|2|274|2|274|69.0,19.636315
8|152|8|152|sample|8|322|8|322|65.0,143.562168
8|152|8|152|sample|7|322|7|322|65.0,145.910365
8|152|8|152|sample|6|322|6|322|65.0,155.933626
8|152|8|152|sample|5|322|5|322|65.0,158.284366
8|152|8|152|sample|12|322|12|322|28.0,137.022575
8|152|8|152|sample|11|322|11|322|28.0,137.453771
8|152|8|152|sample|10|322|10|322|28.0,148.202040
8|152|8|152|sample|9|322|9|322|28.0,145.339648
8|152|8|152|sample|3|322|3|322|22.0,154.860543
8|152|8|152|sample|4|322|4|322|22.0,147.615316
8|152|8|152|cc|1|1|322|1|322|69.0,12.067500
8|152|8|152|cc|2|1|322|1|322|69.0,11.950606
8|152|8|152|cc|3|1|322|1|322|69.0,11.918849
8|152|8|152|cc|4|1|322|1|322|69.0,12.065061
8|152|8|152|cc|5|1|322|1|322|69.0,11.900931
8|152|8|152|cc|6|1|322|1|322|69.0,11.898738
8|152|8|152|cc|7|1|322|1|322|69.0,11.982483
8|152|8|152|cc|8|1|322|1|322|69.0,11.982931
8|152|8|152|vc|1|2|322|2|322|69.0,-12.546070
8|152|8|152|vc|2|2|322|2|322|69.0,20.679348
8|152|8|152|vc|3|2|322|2|322|69.0,20.829088
8|152|8|152|vc|4|2|322|2|322|69.0,-12.725292
8|152|8|152|vc|5|2|322|2|322|69.0,20.618582
8|152|8|152|vc|6|2|322|2|322|69.0,20.664687
8|152|8|152|vc|7|2|322|2|322|69.0,-12.706859
8|152|8|152|vc|8|2|322|2|322|69.0,20.615634
