id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.699309,7.80678e-09,0,0.00309156,0.682283,1.9762e-14,0,-0.00543487,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.141145,7.05382e-10,0,0.041795,0.123197,3.56382e-14,0,0.0208561,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.780764,2.06822e-09,0,0.316507,0.766731,-1.4877e-14,0,-0.00284895,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.876504,-7.1204e-10,0,-0.579259,0.853677,-6.77236e-14,0,0.0225425,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.446295,4.92616e-09,0,-0.359903,0.422957,-1.15463e-14,0,-0.0542443,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.36767,-1.95134e-09,0,-0.583146,0.349594,1.22125e-15,0,-0.0248477,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.731571,3.60742e-10,0,-0.14895,0.699558,-4.64073e-14,0,0.0175156,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.821757,3.77878e-09,0,-0.249661,0.827987,-4.21885e-15,0,-0.00328083,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.333909,-1.00464e-08,0,-0.737399,0.325593,-5.4845e-14,0,-0.00427069,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.447121,-2.68791e-09,0,-0.536132,0.444285,-1.64313e-14,0,0.0157577,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.154831,-1.86245e-10,0,0.502859,5.45856e-08,-3.55271e-15,0,3.45223e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-0.00437778,-4.44922e-09,0,-0.245705,-7.67195e-08,0,0,4.06599e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-0.139841,-5.52285e-10,0,-0.322459,-4.68603e-09,-7.99361e-15,0,-1.62002e-07,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.100463,2.34831e-09,0,-0.114713,-4.70468e-08,-4.44089e-16,0,-2.20574e-07,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,-0.169584,7.85546e-10,0,-0.00540305,2.0792e-07,-6.21725e-15,0,-4.16728e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.0252555,7.58968e-09,0,-0.0351203,-1.65649e-07,-1.5099e-14,0,-3.74656e-07,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-0.0135733,6.66584e-09,0,-0.0307163,2.51877e-08,-2.66454e-15,0,-3.78996e-07,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-0.0890247,4.72828e-09,0,-0.117244,2.63129e-07,1.42109e-14,0,5.10683e-07,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,-0.0928427,-3.93598e-10,0,-0.0979978,2.84052e-07,-4.44089e-16,0,4.42628e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-0.10195,-7.61235e-09,0,0.249637,3.19899e-07,-1.77636e-15,0,5.035e-07,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.234223,-5.99108e-09,0,-0.133243,1.44275e-07,8.88178e-16,0,3.06266e-09,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.0391529,1.50661e-09,0,-0.0140147,2.70131e-07,2.66454e-15,0,1.56948e-08,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.0348701,-5.97913e-09,0,0.196101,3.2896e-07,-4.88498e-15,0,2.2861e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-0.0400514,4.95601e-10,0,-0.061349,-2.61857e-07,4.88498e-15,0,6.8846e-08,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,-0.0738787,6.34448e-10,0,0.227098,3.15557e-08,-1.37668e-14,0,3.43596e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0.0960538,-2.32118e-09,0,-0.310755,1.66098e-07,6.21725e-15,0,2.48143e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.062672,1.34674e-08,0,-1.21507,0.0493046,2.57572e-14,0,-0.0211215,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.182859,3.60672e-09,0,0.328722,0.152962,1.33227e-15,0,0.0379535,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.136214,8.936e-09,0,2.88845,0.189702,-2.10276e-13,0,0.146421,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.0478251,3.18324e-09,0,1.80827,0.0782249,-1.31783e-13,0,0.165281,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-1.10263,2.0823e-09,0,-0.317895,-1.12921,-1.5099e-13,0,-0.0078872,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-0.917587,1.75981e-08,0,-0.13778,-0.952633,3.81917e-14,0,-0.0438543,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-0.973403,-1.2985e-08,0,-0.438401,-0.975272,5.9841e-14,0,0.0477056,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,-0.770235,-7.63323e-10,0,0.275918,-0.791724,3.4639e-14,0,-0.0115555,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-0.522542,-5.16438e-09,0,1.45551,-0.524419,-7.70495e-14,0,0.26632,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-0.387465,3.4195e-09,0,0.20086,-0.400163,9.21485e-15,0,0.106222,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.0306045,4.43158e-09,0,0.102767,1.60952e-07,0,0,-3.03369e-07,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,-0.060162,4.14785e-09,0,-0.260158,-1.8402e-07,-1.68754e-14,0,-9.16259e-07,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.0409269,-7.41389e-10,0,0.0662424,4.5358e-07,1.95399e-14,0,-6.61234e-07,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0.00751116,2.45632e-09,0,0.138186,-0.000311258,6.21725e-15,0,1.96324e-06,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-0.0544628,1.72415e-09,0,0.244221,3.6006e-07,-6.66134e-15,0,1.84103e-08,69.0|322,152
