parameter,value,CV
f_pop,1,
beta_f_mab_virus_22_0_276,0,
beta_f_mab_virus_22_0_292,0,
beta_f_mab_virus_22_0_322,0,
beta_f_mab_virus_28_0_103,0,
beta_f_mab_virus_28_0_276,0,
beta_f_mab_virus_28_0_292,0,
beta_f_mab_virus_28_0_322,0,
beta_f_mab_virus_32_0_292,0,
beta_f_mab_virus_55_0_292,0,
beta_f_mab_virus_65_0_103,0,
beta_f_mab_virus_65_0_276,0,
beta_f_mab_virus_65_0_292,0,
beta_f_mab_virus_65_0_322,0,
beta_f_mab_virus_69_0_103,0,
beta_f_mab_virus_69_0_274,0,
beta_f_mab_virus_69_0_276,0,
beta_f_mab_virus_69_0_292,0,
beta_f_mab_virus_69_0_322,0,
beta_f_mab_virus_70_0_274,0,
h_pop,0.893270183348453,
beta_h_mab_virus_22_0_276,0.197191694699943,
beta_h_mab_virus_22_0_292,0.202148918177262,
beta_h_mab_virus_22_0_322,-0.411799133291616,
beta_h_mab_virus_28_0_103,-0.12852873655348,
beta_h_mab_virus_28_0_276,0.0370971255181481,
beta_h_mab_virus_28_0_292,0.126219828533507,
beta_h_mab_virus_28_0_322,-0.459522415454142,
beta_h_mab_virus_32_0_292,0.330916158177312,
beta_h_mab_virus_55_0_292,-0.314010767295813,
beta_h_mab_virus_65_0_103,-0.112631728070162,
beta_h_mab_virus_65_0_276,0.158493667203594,
beta_h_mab_virus_65_0_292,0.11336695704621,
beta_h_mab_virus_65_0_322,-0.400025200987423,
beta_h_mab_virus_69_0_103,-0.122630187942786,
beta_h_mab_virus_69_0_274,0.867068966631936,
beta_h_mab_virus_69_0_276,0.169457353713846,
beta_h_mab_virus_69_0_292,-0.875588818235741,
beta_h_mab_virus_69_0_322,1.44739542679522,
beta_h_mab_virus_70_0_274,-0.44239905275896,
beta_h_run_id_1159,-0.12351479818498,
beta_h_run_id_1197,0.147259474875237,
beta_h_run_id_152,0.17604867706205,
beta_h_run_id_411,0.424669913872957,
beta_h_run_id_462,-0.293432925412295,
s_pop,3.53683374817308,
L_gap_pop,0,
beta_L_gap_run_id_1159,0,
beta_L_gap_run_id_1197,0,
beta_L_gap_run_id_152,0,
beta_L_gap_run_id_411,0,
beta_L_gap_run_id_462,0,
omega_f,1.75582642592076,456.313162990194
omega_h,7.89781895799262e-08,8.84146712295645e-06
omega_L_gap,2.70167780115425,inf
a,83.6332110388853,
b,0.0823351113801107,
