rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.660529,2.15654e-08,1.06947e-08,-1.5722,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.0845369,1.81024e-08,-1.34992e-07,-2.34333,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.786241,2.08709e-08,8.22223e-08,0.583852,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.774145,-2.66258e-08,7.2723e-09,-0.27434,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.364447,6.44978e-08,-3.09179e-08,1.28207,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.350554,-6.5042e-08,-1.60768e-08,-0.281826,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.576436,2.52023e-08,4.70052e-09,1.29192,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.740366,-1.4766e-08,1.70437e-07,-2.02149,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.149055,-3.38322e-08,2.00711e-08,2.56974,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.405147,1.02478e-08,9.4849e-08,-2.51329,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-0.0713367,1.75819e-10,-2.99378e-08,0.871863,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.151287,1.52147e-08,-3.6416e-08,0.406388,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-0.556591,-3.22718e-08,4.33633e-08,-0.569639,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-2.04074,-2.32739e-08,-1.37198e-07,-0.538539,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.0410441,-5.54127e-08,-3.74653e-08,-1.30188,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.97363,-4.29875e-08,-5.33951e-09,-0.154822,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-0.759622,-3.9357e-08,1.79922e-08,-3.0591,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.016929,2.30513e-08,8.43835e-08,-1.67672,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-3.09065,-9.21015e-09,-1.21263e-07,-1.3414,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-0.297274,-3.5933e-08,-1.35157e-07,0.670331,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.154262,-1.07088e-09,2.98473e-08,-2.53654,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.749735,2.06538e-09,4.20405e-08,-0.854298,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.884678,-3.26548e-08,6.22711e-08,-1.12115,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.374459,-2.25014e-08,-2.34265e-08,-0.0862471,69.0|274,411
